dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
vggss,-0BIyqJj9ZU_000030,0,532,25,96,1514
vggss,-0UuUoXQUoI_000107,1,707,450,76,952
vggss,-2-wdcN5vOw_000017,2,0,130,2837,370
vggss,-23CeprtibU_000030,3,5552,1873,14,375
vggss,-2Dm0VjW8oM_000001,4,72,9,1400,909
vggss,-2sOH8XovEE_000484,5,5319,0,0,0
vggss,-3Kv4fdm7Uk_000030,6,11462,110,0,73
vggss,-4bPiXbovf0_000008,7,1096,0,975,1844
vggss,-5CGQGSFGyg_000060,8,2341,28,1,1712
vggss,-5z9IXBJefc_000227,9,1798,18,520,237
vggss,-79qo5MUYBk_000207,10,506,90,57,242
vggss,-7TanrCbmME_000030,11,857,2901,0,3298
vggss,-7sg--aJdrc_000049,12,882,468,883,7414
vggss,-7tYmeOmsRg_000058,13,2660,73,52,1836
vggss,-7tYmeOmsRg_000180,14,1258,0,0,3465
vggss,-86gl1hp1Aw_000105,15,86,0,386,1988
vggss,-8cgbhIR_pw_000030,16,1992,0,967,360
vggss,-A3zsFeU_OI_000030,17,402,1,186,705
vggss,-ANxUxvGASw_000010,18,1685,0,0,149
vggss,-ByoSbgzr4M_000000,19,60,475,435,0
vggss,-CZ1LIc8aos_000020,20,765,0,0,1967
vggss,-Cr0WQoFQQs_000045,21,774,0,0,845
vggss,-Cv3gOXEoxA_000040,22,26,0,99,3335
vggss,-D64b_8YJK4_000046,23,0,0,0,392
vggss,-E5o64ACjm0_000017,24,5694,199,22,45
vggss,-FoTxwPOz3U_000000,25,2638,235,0,0
vggss,-GOaBCyC5Js_000087,26,1162,0,0,348
vggss,-GW1J75oAKU_000304,27,0,1005,1962,545
vggss,-HMEhGV38GM_000216,28,1297,0,183,2183
vggss,-IKnJa9U66I_000150,29,3650,56,0,929
vggss,-Igq1W20Gi8_000000,30,3950,0,0,0
vggss,-JGpAlLrSD0_000458,31,246,930,480,617
vggss,-JUBdOr8Hes_000030,32,344,207,479,56
vggss,-JUhUI_KvUI_000026,33,42,141,2204,472
vggss,-K-ccLMFE5M_000259,34,238,725,1048,0
vggss,-K1BRF6qng8_000030,35,41,0,1201,5355
vggss,-KBH8YmHR-0_000050,36,558,0,0,2330
vggss,-Lmibx_Iu_E_000173,37,327,965,3544,752
vggss,-Lv13WPa4xk_000170,38,114,827,0,260
vggss,-N00SskHxS4_000529,39,1199,0,99,295
vggss,-NCa3eFLULw_000221,40,0,2361,408,312
vggss,-NwBdmVSg1w_000000,41,2284,471,364,20
vggss,-OAyRsvFGgc_000030,42,163,1344,271,0
vggss,-OVb-UG8yJw_000030,43,607,285,117,407
vggss,-PvlrLjIAYo_000009,44,1132,731,88,788
vggss,-Q3MX7Tgx_E_000111,45,118,1971,1377,1027
vggss,-RBs9pPhHY8_000030,46,451,286,377,2036
vggss,-S-TDT5oq0Q_000290,47,1775,0,48,305
vggss,-SWaCArvQug_000021,48,1031,13274,694,46
vggss,-Vo4CAMX26U_000030,49,2295,3357,2,9
vggss,-W3WpZvJX2o_000027,50,389,1,2,2043
vggss,-Wd5YV97ftU_000320,51,1100,11,0,1802
vggss,-XwtCzUaN1I_000160,52,493,2118,191,4
vggss,-Y-UegG9tLw_000282,53,2256,0,187,535
vggss,-YwPSwhe2jo_000030,54,121,0,255,2526
vggss,-Z1ZSWDouUU_000030,55,1119,0,0,1028
vggss,-ZJqu_4zLMc_000030,56,16,3139,228,20
vggss,-ZSgg6jFUd8_000688,57,1955,53,30,1875
vggss,-_QPd-VskKY_000030,58,3508,80,117,0
vggss,-_umX4zgLVY_000028,59,10,415,1018,91
vggss,-aK9JKAGme0_000041,60,1075,2,26,1126
