dataset,model,sample_id,sample_index,readout,iou
vggss,mean_cram,-0BIyqJj9ZU_000030,0,AUD,0.31362862010221465
vggss,mean_cram,-0UuUoXQUoI_000107,1,AUD,0.49802173586417586
vggss,mean_cram,-2-wdcN5vOw_000017,2,AUD,0.5716436205672997
vggss,mean_cram,-23CeprtibU_000030,3,AUD,0.4340978688831948
vggss,mean_cram,-2Dm0VjW8oM_000001,4,AUD,0.47945485798477533
vggss,mean_cram,-2sOH8XovEE_000484,5,AUD,0.12818264712071264
vggss,mean_cram,-3Kv4fdm7Uk_000030,6,AUD,0.18071404738071406
vggss,mean_cram,-4bPiXbovf0_000008,7,AUD,0.37594203953835514
vggss,mean_cram,-5CGQGSFGyg_000060,8,AUD,0.3322692652329749
vggss,mean_cram,-5z9IXBJefc_000227,9,AUD,0.21512309495896834
vggss,mean_cram,-79qo5MUYBk_000207,10,AUD,0.32136325267304444
vggss,mean_cram,-7TanrCbmME_000030,11,AUD,0.29045681523950434
vggss,mean_cram,-7sg--aJdrc_000049,12,AUD,0.5195758804006226
vggss,mean_cram,-7tYmeOmsRg_000058,13,AUD,0.19537263216112827
vggss,mean_cram,-7tYmeOmsRg_000180,14,AUD,0.2387918270654427
vggss,mean_cram,-86gl1hp1Aw_000105,15,AUD,0.6475797224018706
vggss,mean_cram,-8cgbhIR_pw_000030,16,AUD,0.27913905583808496
vggss,mean_cram,-A3zsFeU_OI_000030,17,AUD,0.14721240571760114
vggss,mean_cram,-ANxUxvGASw_000010,18,AUD,0.08813559322033898
vggss,mean_cram,-ByoSbgzr4M_000000,19,AUD,0.33823920560333365
vggss,mean_cram,-CZ1LIc8aos_000020,20,AUD,0.42246201277251705
vggss,mean_cram,-Cr0WQoFQQs_000045,21,AUD,0.38579895827096927
vggss,mean_cram,-Cv3gOXEoxA_000040,22,AUD,0.2838128176911387
vggss,mean_cram,-D64b_8YJK4_000046,23,AUD,0.2640790292470442
vggss,mean_cram,-E5o64ACjm0_000017,24,AUD,0.1710043161759969
vggss,mean_cram,-FoTxwPOz3U_000000,25,AUD,0.18538045954566165
vggss,mean_cram,-GOaBCyC5Js_000087,26,AUD,0.3902727525744503
vggss,mean_cram,-GW1J75oAKU_000304,27,AUD,0.48152682555229076
vggss,mean_cram,-HMEhGV38GM_000216,28,AUD,0.17507370678102385
vggss,mean_cram,-IKnJa9U66I_000150,29,AUD,0.30595752678068033
vggss,mean_cram,-Igq1W20Gi8_000000,30,AUD,0.27872805787673155
vggss,mean_cram,-JGpAlLrSD0_000458,31,AUD,0.628702984577832
vggss,mean_cram,-JUBdOr8Hes_000030,32,AUD,0.6668289516390782
vggss,mean_cram,-JUhUI_KvUI_000026,33,AUD,0.5900505778581376
vggss,mean_cram,-K-ccLMFE5M_000259,34,AUD,0.5790599329217907
vggss,mean_cram,-K1BRF6qng8_000030,35,AUD,0.4748790601243953
vggss,mean_cram,-KBH8YmHR-0_000050,36,AUD,0.15065611182427613
vggss,mean_cram,-Lmibx_Iu_E_000173,37,AUD,0.5205489820117567
vggss,mean_cram,-Lv13WPa4xk_000170,38,AUD,0.6095633615965853
vggss,mean_cram,-N00SskHxS4_000529,39,AUD,0.29801211013366846
vggss,mean_cram,-NCa3eFLULw_000221,40,AUD,0.6085459425751701
vggss,mean_cram,-NwBdmVSg1w_000000,41,AUD,0.5090634441087614
vggss,mean_cram,-OAyRsvFGgc_000030,42,AUD,0.38762793723880784
vggss,mean_cram,-OVb-UG8yJw_000030,43,AUD,0.6374866554826902
vggss,mean_cram,-PvlrLjIAYo_000009,44,AUD,0.11577250748330647
vggss,mean_cram,-Q3MX7Tgx_E_000111,45,AUD,0.5823821633449642
vggss,mean_cram,-RBs9pPhHY8_000030,46,AUD,0.5107632782272248
vggss,mean_cram,-S-TDT5oq0Q_000290,47,AUD,0.5482033855641558
