dataset,model,readout,cIoU,AUC
vggss,mean_cram,AUD,0.4342768514928267,0.4296238852268321
vggss,mean_cram,IMG_QUERY,0.38755331523846454,0.4122237301279566
vggss,mean_cram,IQR,0.42031795269484296,0.42475765800697945
vggss,mean_cram,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,mean_cram,OGL,0.45230709577355566,0.4400542846064367
vggss,mean_cram,EXTRA_IQR_OGL,0.444552151996898,0.4352074447460256
vggss,hard_cram,AUD,0.42749127568825124,0.428324932144242
vggss,hard_cram,IMG_QUERY,0.38619620007754946,0.41168088406359055
vggss,hard_cram,IQR,0.41644048080651414,0.4239918573090345
vggss,hard_cram,OBJ_PRIOR,0.34780922838309425,0.3924195424583172
vggss,hard_cram,OGL,0.44649088794106245,0.43854207056998834
vggss,hard_cram,EXTRA_IQR_OGL,0.4395114385420706,0.4345385808452889
