epoch,learning_rate,epoch_seconds,gradient_l2_mean,parameter_l2,info_loss,recon_loss,div_loss,a2v_loss,v2a_loss,original_match_loss,d_pos,d_neg,g_match,cram_loss,weighted_cram_loss,total_loss,AUD_cIoU,AUD_AUC,IQR_cIoU,IQR_AUC
1,5e-05,615.3420989513397,inf,199.358894242887,9.570958193510878,5.881198625123374,0.03991297579965359,1.569246591011943e-05,1.5093541665669443e-05,3.078600768755396e-05,1.5692465827180633e-05,1.770180577237573e-05,2.0093399193146503e-06,0.6931461718370906,0.6931461718370906,10.859294127739197,0.3611865063978286,0.3919057774331136,0.36545172547499033,0.39589957347809235
2,5e-05,600.7559516429901,27.206664087425324,199.73158224476467,8.238106685176863,4.827858800141413,0.0008928165667494792,2.3395038551760832e-05,1.309408744572501e-05,3.648912607071473e-05,2.339503868284459e-05,3.0832903511350764e-05,7.437864806254303e-06,0.6931434603560438,0.6931434603560438,9.417774176682443,0.36991081814656845,0.39992245056223347,0.3782473827064754,0.4015703761147731
3,5e-05,589.6905806064606,26.105207556513957,200.05614600129505,7.471847843020837,4.47510694099915,0.0010250734751116074,3.270581100392694e-05,2.6482243098318732e-05,5.918805403508548e-05,3.270581104276657e-05,4.294898565756066e-05,1.0243174510008e-05,0.6931420539197548,0.6931420539197548,8.618521918605655,0.3586661496704149,0.39858472276076007,0.36991081814656845,0.40225862737495155
4,5e-05,589.8683474063873,33.22003513874045,200.36629824162705,6.905834275208334,4.272600246918159,0.0012073126150083022,3.866754482858926e-05,3.328135943648894e-05,7.194890433790252e-05,3.8667544757383274e-05,5.017691566594346e-05,1.1509370906537293e-05,0.6931414213893252,0.6931414213893252,8.03355135187984,0.33074835207444747,0.3861283443195037,0.3400542846064366,0.3908685537029857
5,5e-05,589.1632306575775,32.20740512679163,200.6623184165899,6.441866221377009,4.110127362916478,0.00140177360213829,4.762369834262177e-05,6.858422062299678e-05,0.00011620791917276325,4.762369819373651e-05,6.144815135964282e-05,1.3824453025112642e-05,0.6931402656743535,0.6931402656743535,7.557780187749354,0.3462582396277627,0.3969367972082203,0.3522683210546724,0.3996413338503296
6,5e-05,590.5911531448364,29.841427595590442,200.933760066169,6.027952992619144,3.9771915771783033,0.0015867495432071838,5.106234630956969e-05,8.971909834578463e-05,0.0001407814447071405,5.1062346283676606e-05,6.666400501584498e-05,1.5601658637092198e-05,0.6931393763772957,0.6931393763772957,7.133048349428007,0.36467623109732455,0.4038193098100039,0.3722373012795657,0.40673710740597124
7,5e-05,592.2066049575806,35.97082531137722,201.20219798129813,5.661388780722839,3.8564282244210566,0.0016474660305352716,5.42175350211013e-05,0.00010787448306450724,0.00016209201787199056,5.42175350211013e-05,6.936553779602535e-05,1.5148002564138127e-05,0.6931396042961243,0.6931396042961243,6.756545163558472,0.3801861186506398,0.40944164404808064,0.3854207056998837,0.4118456766188445
8,5e-05,591.6745369434357,33.13357895324871,201.45820779688097,5.306132684823033,3.7521112003360355,0.0017733552714385543,6.136028079119854e-05,0.00013843998943705748,0.00019980027079143068,6.136028075883218e-05,7.856403586706992e-05,1.720375531376412e-05,0.6931385751084501,0.6931385751084501,6.394639740635068,0.36545172547499033,0.4028790228770842,0.36758433501357113,0.40524428072896473
9,5e-05,589.8076033592224,39.46675488100863,201.70659089960074,4.994223220492597,3.665192877270573,0.0019346764783484338,6.263255194963447e-05,0.00017235231400613286,0.00023498486646068254,6.263255193021465e-05,8.133748633554205e-05,1.8704934249968876e-05,0.6931378277171125,0.6931378277171125,6.077572286341114,0.3365645599069407,0.39452307095773553,0.3400542846064366,0.396083753392788
10,5e-05,589.5044057369232,43.414182730612175,201.95247246824243,4.673369027541626,3.592668762834895,0.0019255847611308787,6.732200627505002e-05,0.0002018858306710625,0.00026920783661597565,6.732200634625602e-05,8.70262451810237e-05,1.9704239004691072e-05,0.6931373251078392,0.6931373251078392,5.752886590584317,0.3501357115160915,0.40087243117487403,0.3580845288871656,0.40308259015122144
