scale,dataset,comparison,signal,mean,median,ci_low,ci_high,n,mean_difference,mannwhitney_p,rank_biserial,n_left,n_right
10k,vggss,margin_diagnostic,violation_pos_ge_mean_fraction,0.24311748739821637,0.0,0.23148507173322994,0.25494862349747965,5158.0,,,,,
10k,vggss,margin_diagnostic,hard_but_mean_easy_fraction,0.41547111283443194,0.0,0.4017060876308647,0.4286593640946103,5158.0,,,,,
10k,vggss,margin_diagnostic,mean_pairwise_negative_correlation,0.41061204002053203,0.4125403729338066,0.40056097126859413,0.4196590971276251,6.0,,,,,
10k,flickr,margin_diagnostic,violation_pos_ge_mean_fraction,0.516,1.0,0.4559,0.576,250.0,,,,,
10k,flickr,margin_diagnostic,hard_but_mean_easy_fraction,0.316,0.0,0.256,0.372,250.0,,,,,
10k,flickr,margin_diagnostic,mean_pairwise_negative_correlation,0.9426973683047496,0.9379590849580224,0.9339909603386491,0.9526773049825413,6.0,,,,,
144k,vggss,GroupA_vs_nonA,D_min,,,-2.06730596179412e-06,7.60986245092379e-06,,2.4194795876197173e-06,0.9861939469211657,-0.0005048309656003891,428.0,4730.0
144k,vggss,GroupA_vs_nonA,D_mean,,,-1.9434699590109717e-06,1.504980322031576e-05,,6.0441420365685945e-06,0.2206886375767958,-0.03569480942878034,428.0,4730.0
144k,vggss,GroupA_vs_nonA,D_max,,,-1.4543317510331813e-06,2.7910254019984865e-05,,1.2470492730025232e-05,0.0974957761093698,-0.04829780087332791,428.0,4730.0
144k,vggss,GroupA_vs_nonA,D_std,,,-6.967940015081518e-07,9.110542849396173e-06,,3.7817396150655595e-06,0.0737937416450663,-0.05210922526723438,428.0,4730.0
144k,vggss,GroupA_vs_nonA,mean_minus_min,,,-1.8025567353230052e-06,9.949500616299634e-06,,3.6246624489489856e-06,0.07732313540727453,-0.05148386714350628,428.0,4730.0
144k,vggss,GroupA_vs_nonA,pos_minus_min,,,-1.5002444997132183e-06,9.636918204344994e-06,,3.991758446871867e-06,0.4106672756627785,-0.02397897690225448,428.0,4730.0
144k,vggss,GroupA_vs_nonA,pos_minus_mean,,,-6.617279180179688e-06,6.767053441169007e-06,,3.6709599792209365e-07,0.6262282317592758,0.014195530615873975,428.0,4730.0
144k,vggss,GroupA_vs_nonA,negative_cv,,,-0.002980163694229723,0.0397526144708916,,0.018273400856533728,0.14114685159030044,-0.042888897670466886,428.0,4730.0
144k,vggss,GroupA_vs_nonA,weight_max,,,-0.00827238275363231,0.028810335957379984,,0.010603400198599733,0.1089231199504907,-0.04672205646993732,428.0,4730.0
144k,vggss,GroupA_vs_nonA,N_eff,,,-0.1363252149426979,0.01864802653552119,,-0.06072872167236998,0.09202509864733756,0.04910493766177315,428.0,4730.0
144k,vggss,GroupA_vs_nonA,weight_entropy,,,-0.05021318409965858,0.015299457453048204,,-0.017183999230455216,0.09536323130931286,0.04860801011637783,428.0,4730.0
144k,vggss,OGLhelp_vs_AUDbetter,D_min,,,-3.669144871562848e-06,1.061894458506613e-05,,3.572621909732919e-06,0.8209594133750491,-0.010327648278119161,428.0,257.0
144k,vggss,OGLhelp_vs_AUDbetter,D_mean,,,-2.3297921014008314e-06,2.2297887923670557e-05,,9.951568766067216e-06,0.08961474265067675,-0.0774028146478054,428.0,257.0
144k,vggss,OGLhelp_vs_AUDbetter,D_max,,,1.2209337071764645e-06,4.0638986644058175e-05,,2.1211402934696185e-05,0.0287320934885479,-0.09973089930542933,428.0,257.0
144k,vggss,OGLhelp_vs_AUDbetter,D_std,,,2.160513348114766e-07,1.311199379157442e-05,,6.666216069351681e-06,0.013835438646648742,-0.11224044510709486,428.0,257.0
144k,vggss,OGLhelp_vs_AUDbetter,mean_minus_min,,,-1.2311277738195836e-06,1.437776252869931e-05,,6.378946856334284e-06,0.010205684496760197,-0.11713153205571114,428.0,257.0
144k,vggss,OGLhelp_vs_AUDbetter,pos_minus_min,,,-5.5039261801687786e-06,9.380305695295161e-06,,1.6954798773947367e-06,0.44827622203249573,-0.03458307574820907,428.0,257.0
144k,vggss,OGLhelp_vs_AUDbetter,pos_minus_mean,,,-1.29757892784638e-05,4.858437394710435e-06,,-4.683466978939047e-06,0.14446657424260942,0.06654787446816246,428.0,257.0
144k,vggss,OGLhelp_vs_AUDbetter,negative_cv,,,0.0034324276801529913,0.06732666228508864,,0.03536595713297175,0.05253798810691423,-0.08840321466235146,428.0,257.0
