scale,dataset,model,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,coverage,precision,activated_area,RemoveFP,RemoveTP,AddTP,AddFP
10k,vggss,baseline,0.7895523849051067,0.7544763412822056,0.0371133002036898,0.6128670371727237,0.8643417079289523,0.4841305887316201,0.5201213983466836,0.0,0.0,0.0,0.0
10k,vggss,mean,0.7832935814123638,0.7433827543757819,0.04204624994634995,0.61790854083943,0.8512523728137723,0.49904300903922394,0.4925587716426238,2690.5965490500193,870.2981775882125,616.3881349360217,1561.524234199302
10k,vggss,hard_default,0.7948090456559086,0.7601521998790685,0.03667281862550181,0.615943152529611,0.8733557516849091,0.48264766875841586,0.5270492959779638,2012.4635517642498,587.0971306708026,815.0998449011245,2132.0750290810392
10k,flickr,baseline,0.7586782310009003,0.6951276121834512,0.0639494491009577,0.646611964866205,0.8403951123723705,0.6685136884174567,0.572184231505102,0.0,0.0,0.0,0.0
10k,flickr,mean,0.773469527721405,0.6955632169237022,0.0782405857132514,0.6766776847700754,0.8623663065890734,0.6620384582793066,0.5954273756377552,2634.416,1824.224,2354.932,3269.956
10k,flickr,hard_default,0.7885953726768493,0.7114916909561466,0.07732801567687679,0.6858419051517348,0.887660273008003,0.6518172434347744,0.6231281887755102,2276.152,1284.44,2562.944,3553.812
144k,vggss,baseline,0.7979034993124157,0.7861899683628176,0.014974401860401549,0.5919623857614168,0.8677180259190166,0.49643870399451273,0.507799509665489,0.0,0.0,0.0,0.0
144k,vggss,mean,0.7630600732678217,0.7203488923293616,0.045514206909781016,0.6255593936957632,0.8109505163965264,0.5375669992972066,0.43028378031005926,3887.74098487786,1497.0044590926716,441.61147731678943,1053.7047305157037
144k,vggss,hard_default,0.7580955052694857,0.7146720226586158,0.046430039734675965,0.6260254957058415,0.8029047093786273,0.5422804121664032,0.42363790276373736,4019.60624272974,1633.1287320666925,409.2628925940287,1020.5792943001163
144k,vggss,hard_adjusted,0.7590483342975818,0.7177313427737194,0.04427360234002174,0.6232577799363093,0.8027391102452244,0.5404440533218717,0.4231258239318653,4014.0942225668864,1593.6277626987205,390.6865063978286,968.4486234974796
144k,flickr,baseline,0.8059670724868775,0.7639529941535672,0.04270621518857083,0.6600211886019148,0.9113650997263851,0.644890094346536,0.6475452806122449,0.0,0.0,0.0,0.0
144k,flickr,mean,0.7562584300041199,0.658956853363678,0.09807458737118524,0.7078278416012178,0.8369354929139093,0.7256452877149907,0.5275173788265306,4183.672,2734.844,366.972,529.024
144k,flickr,hard_default,0.7532763154506683,0.6703304509643601,0.08374059164089713,0.6926280987776293,0.8292138248334573,0.7147420183685649,0.5281866230867347,4077.632,2880.176,360.832,608.036
144k,flickr,hard_adjusted,0.7855312802791595,0.7103889853606823,0.07557589286252071,0.6959840699572758,0.8844482112417659,0.6845914960699185,0.5903171237244897,2845.1,1408.032,510.22,871.432
