scale,dataset,comparison,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
10k,vggss,hard_default-minus-mean,gt_response,0.011515464243544823,0.011446326971054077,-0.01692754030227661,0.040230825543403625,0.05715836584568024,0.010169335631285184,0.012890776190718907,5156
10k,vggss,hard_default-minus-mean,nearfp_response,0.016769445503286542,0.015829145908355713,-0.016589105129241943,0.04829663038253784,0.06488573551177979,0.015271337035914948,0.018217791488678584,5075
10k,vggss,hard_default-minus-mean,gt_nearfp_gap,-0.005373431320848136,-0.005416393280029297,-0.027917951345443726,0.01737484335899353,0.045292794704437256,-0.0065032489784245424,-0.004247029680336639,5075
10k,vggss,hard_default-minus-mean,gt_vs_nearfp_auroc,-0.001965388309819036,-0.0018157958984375,-0.054412841796875,0.051177978515625,0.1055908203125,-0.004535020944202112,0.0007063987972437358,5075
10k,vggss,hard_default-minus-mean,coverage,0.02210337887113698,0.004283677797625507,-0.0026332627597928926,0.054003475829476344,0.05663673858926924,0.01968928913765165,0.02439042148061091,5158
10k,vggss,hard_default-minus-mean,precision,-0.01639534028080803,-0.010658139020585267,-0.03915491702594709,0.006024056017512217,0.0451789730434593,-0.017733271614625307,-0.015088462889167278,5158
10k,vggss,hard_default-minus-mean,pred_area_ratio,0.03449052433533999,0.03361168686224486,-0.007717833227040755,0.07768156090561223,0.08539939413265299,0.0325073361967503,0.03641576947709398,5158
10k,flickr,hard_default-minus-mean,gt_response,0.015125844955444336,0.012054264545440674,-0.000711783766746521,0.0312684029340744,0.03198018670082092,0.012022920686006546,0.01835565339922905,250
10k,flickr,hard_default-minus-mean,nearfp_response,0.01592847403244451,0.014158189296722412,-0.007484495639801025,0.04105740785598755,0.048541903495788574,0.011733957069364155,0.02034044351413665,247
10k,flickr,hard_default-minus-mean,gt_nearfp_gap,-0.0009125700363746056,-0.002167820930480957,-0.017310619354248047,0.014216303825378418,0.031526923179626465,-0.0043492564637410015,0.002506936045914042,247
10k,flickr,hard_default-minus-mean,gt_vs_nearfp_auroc,0.009164220381659236,0.0047149658203125,-0.019532717191256044,0.0338897705078125,0.053422487699068544,0.002598839856352401,0.015773823386744445,247
10k,flickr,hard_default-minus-mean,coverage,0.025293966418929534,0.01252729368013672,0.0,0.0490730724415081,0.0490730724415081,0.020182392986751795,0.030497263095870017,250
10k,flickr,hard_default-minus-mean,precision,-0.010221214844532093,-0.008257085067651326,-0.02583036281093329,0.008512551142961566,0.034342913953894855,-0.014600107050037253,-0.006018422320816291,250
10k,flickr,hard_default-minus-mean,pred_area_ratio,0.02770081313775511,0.025430484693877625,-0.0012256855867346789,0.049102160395408184,0.05032784598214286,0.022369017059948985,0.03318560267857143,250
144k,vggss,hard_default-minus-mean,gt_response,-0.004964567998336025,-0.0040985941886901855,-0.02465498447418213,0.016009509563446045,0.040664494037628174,-0.005950473400686858,-0.0039497030890258454,5156
144k,vggss,hard_default-minus-mean,nearfp_response,-0.005676869670745774,-0.004750609397888184,-0.030787020921707153,0.01969781517982483,0.05048483610153198,-0.00681373355864304,-0.004486046943905319,5075
144k,vggss,hard_default-minus-mean,gt_nearfp_gap,0.0009158328248949474,0.0009275078773498535,-0.014721512794494629,0.01671949028968811,0.03144100308418274,0.00010963966943360315,0.0017261261619957791,5075
144k,vggss,hard_default-minus-mean,gt_vs_nearfp_auroc,0.00046610201007833067,0.0012664794921875,-0.02948760986328125,0.0312652587890625,0.06075286865234375,-0.0012272686185528143,0.002149119918236041,5075
144k,vggss,hard_default-minus-mean,coverage,-0.008045807017899007,0.0,-0.03399670386106039,0.018649562931826347,0.05264626679288674,-0.009988398102312458,-0.006012750146068727,5158
144k,vggss,hard_default-minus-mean,precision,0.0047134128691965396,0.0011763427810780325,-0.016443578051203042,0.02356986294476266,0.0400134409959657,0.0035001320217189955,0.006006249345541905,5158
144k,vggss,hard_default-minus-mean,pred_area_ratio,-0.0066458775463219405,-0.006816007653061229,-0.039132254464285754,0.027373644770408156,0.06650589923469391,-0.008310514244608878,-0.004991949083699977,5158
144k,vggss,hard_adjusted-minus-mean,gt_response,-0.0040117389702399265,-0.003156423568725586,-0.024206221103668213,0.017096713185310364,0.04130293428897858,-0.005038492537130327,-0.002991772452304307,5156
144k,vggss,hard_adjusted-minus-mean,nearfp_response,-0.0026175495556422642,-0.002684295177459717,-0.027231216430664062,0.02196568250656128,0.04919689893722534,-0.003732275091662196,-0.0014911084423217874,5075
144k,vggss,hard_adjusted-minus-mean,gt_nearfp_gap,-0.0012406045697592749,-0.00030118227005004883,-0.017549961805343628,0.015123963356018066,0.032673925161361694,-0.002144706358169687,-0.00038947600919037625,5075
144k,vggss,hard_adjusted-minus-mean,gt_vs_nearfp_auroc,-0.002301613759453865,-0.0005645751953125,-0.03334808349609375,0.03021240234375,0.06356048583984375,-0.0041655550981385394,-0.0004595896534075214,5075
144k,vggss,hard_adjusted-minus-mean,coverage,-0.008211406151302293,0.0,-0.032902208238598685,0.0196057190716947,0.052507927310293384,-0.01021672569645747,-0.006147289073754839,5158
144k,vggss,hard_adjusted-minus-mean,precision,0.0028770540246651254,0.0009278182832422408,-0.017402725183677498,0.02154496951250856,0.03894769469618606,0.0015752975930611443,0.004127349261246457,5158
144k,vggss,hard_adjusted-minus-mean,pred_area_ratio,-0.007157956378193968,-0.00619818239795919,-0.03935646524234697,0.02779715401785715,0.06715361926020412,-0.00890107042288307,-0.005454341528212318,5158
144k,flickr,hard_default-minus-mean,gt_response,-0.002982114553451538,-0.0010161995887756348,-0.03166453540325165,0.024734050035476685,0.05639858543872833,-0.0084840149641037,0.0023894505560398045,250
144k,flickr,hard_default-minus-mean,nearfp_response,0.011373597600682062,0.007969200611114502,-0.029533743858337402,0.05041113495826721,0.07994487881660461,0.003507935403570955,0.019257570528670363,247
144k,flickr,hard_default-minus-mean,gt_nearfp_gap,-0.014333995730288115,-0.009294688701629639,-0.040638625621795654,0.018658950924873352,0.059297576546669006,-0.020578163310221814,-0.008285632777793211,247
144k,flickr,hard_default-minus-mean,gt_vs_nearfp_auroc,-0.015199742823588592,-0.0075836181640625,-0.06344819680238378,0.033660888671875,0.09710908547425878,-0.02587541541589899,-0.004194439323597167,247
