scale,dataset,model,readout,cIoU,AUC,n,stored_cIoU,stored_AUC,replay_cIoU_error,replay_AUC_error,Delta_OGL,Delta_OGL_AUC
10k,vggss,baseline,AUD,0.41120589375727024,0.414055835595192,5158,0.41120589375727024,0.414055835595192,0.0,0.0,-0.04148894920511831,-0.02100620395502134
10k,vggss,baseline,IMG_QUERY,0.4063590538968592,0.4093544009305933,5158,0.4063590538968592,0.4093544009305933,0.0,0.0,,
10k,vggss,baseline,IQR,0.4131446297014347,0.41344513377278025,5158,0.4131446297014347,0.41344513377278025,0.0,0.0,,
10k,vggss,baseline,OBJ_PRIOR,0.34780922838309425,0.3924195424583172,5158,0.34780922838309425,0.3924195424583172,0.0,0.0,,
10k,vggss,baseline,OGL,0.45269484296238854,0.43506203955021333,5158,0.45269484296238854,0.43506203955021333,0.0,0.0,,
10k,vggss,baseline,EXTRA_IQR_OGL,0.4377665761923226,0.42613416052733616,5158,0.4377665761923226,0.42613416052733616,0.0,0.0,,
10k,vggss,mean,AUD,0.42594028693291974,0.42088987979837156,5158,,,,,-0.03373400542846061,-0.016537417603722238
10k,vggss,mean,IMG_QUERY,0.41450174486234975,0.4144048080651415,5158,,,,,,
10k,vggss,mean,IQR,0.42516479255525397,0.4195618456766188,5158,,,,,,
10k,vggss,mean,OBJ_PRIOR,0.34780922838309425,0.3924195424583172,5158,,,,,,
10k,vggss,mean,OGL,0.45967429236138035,0.4374272974020938,5158,,,,,,
10k,vggss,mean,EXTRA_IQR_OGL,0.44842962388522684,0.43065141527723927,5158,,,,,,
10k,vggss,hard_default,AUD,0.4162466072120977,0.41818534315626216,5158,,,,,-0.042652190771616916,-0.018272586273749503
10k,vggss,hard_default,IMG_QUERY,0.4143078712679333,0.4127956572314851,5158,,,,,,
10k,vggss,hard_default,IQR,0.41993020550601007,0.4182435052345871,5158,,,,,,
10k,vggss,hard_default,OBJ_PRIOR,0.34780922838309425,0.3924195424583172,5158,,,,,,
10k,vggss,hard_default,OGL,0.45889879798371463,0.43645792943001166,5158,,,,,,
10k,vggss,hard_default,EXTRA_IQR_OGL,0.44280728964715005,0.42891624660721217,5158,,,,,,
10k,flickr,baseline,AUD,0.804,0.6164000000000001,250,0.804,0.6164000000000001,0.0,0.0,-0.04799999999999993,-0.01759999999999995
10k,flickr,baseline,IMG_QUERY,0.752,0.5890000000000001,250,0.752,0.5890000000000001,0.0,0.0,,
10k,flickr,baseline,IQR,0.784,0.6073999999999999,250,0.784,0.6073999999999999,0.0,0.0,,
10k,flickr,baseline,OBJ_PRIOR,0.448,0.4668,250,0.448,0.4668,0.0,0.0,,
10k,flickr,baseline,OGL,0.852,0.634,250,0.852,0.634,0.0,0.0,,
10k,flickr,baseline,EXTRA_IQR_OGL,0.816,0.6259999999999999,250,0.816,0.6259999999999999,0.0,0.0,,
10k,flickr,mean,AUD,0.784,0.619,250,,,,,-0.07199999999999995,-0.024799999999999933
10k,flickr,mean,IMG_QUERY,0.724,0.5886,250,,,,,,
10k,flickr,mean,IQR,0.776,0.6120000000000001,250,,,,,,
