scale,dataset,comparison,candidate,reference,delta_cIoU,success_count_change,wins,ties,losses,mean,median,q1,q3,iqr,ci_low,ci_high,valid
10k,vggss,Mean-minus-Baseline,mean,baseline,0.014734393175649507,76,2958,4,2196,0.00668447397931777,0.006080617791593891,-0.023846117975514364,0.03750915793892618,0.061355275914440545,0.005007513615486874,0.008291593351791028,5158
10k,vggss,Hard-default-minus-Mean,hard_default,mean,-0.009693679720822024,-50,2281,6,2871,-0.00234791066576878,-0.0039448147896225215,-0.029966992448302258,0.02147036894189574,0.051437361390198,-0.0038267290085703004,-0.0008227697728976685,5158
10k,flickr,Mean-minus-Baseline,mean,baseline,-0.020000000000000018,-5,130,0,120,0.003596208262700397,0.004466266300372307,-0.07245349993677304,0.06703571547792697,0.1394892154147,-0.011719120248317085,0.01955798879594031,250
10k,flickr,Hard-default-minus-Mean,hard_default,mean,0.01200000000000001,3,131,0,119,0.006307572780717229,0.0018718860348495292,-0.018966332492975774,0.028768141311949186,0.04773447380492496,0.0014530926667139295,0.011059602297352802,250
144k,vggss,Mean-minus-Baseline,mean,baseline,0.007367196587824754,38,2936,7,2215,0.006839204594964355,0.008407041253962053,-0.034352485634813565,0.051390742686348814,0.08574322832116238,0.004541810990385728,0.008980966173560558,5158
144k,vggss,Hard-default-minus-Mean,hard_default,mean,-0.00678557580457545,-35,2494,12,2652,-0.0017830018007183495,-0.0007851096255166966,-0.024364441465863543,0.02126526139897192,0.04562970286483546,-0.0030641215423032665,-0.0005069601232405263,5158
144k,vggss,Hard-adjusted-minus-Mean,hard_adjusted,mean,-0.008918185343156249,-46,2536,11,2611,-0.0019767252263619257,-0.0004058945217707277,-0.02431411562577123,0.0218702526545438,0.04618436828031503,-0.003266933958796419,-0.0006299256565152694,5158
144k,vggss,Hard-adjusted-minus-Hard-default,hard_adjusted,hard_default,-0.0021326095385807986,-11,2587,14,2557,-0.00019372342564357624,0.0001172789720903511,-0.023086549372848375,0.023157561011305464,0.04624411038415384,-0.0015010467300198332,0.0012063320561920086,5158
144k,flickr,Mean-minus-Baseline,mean,baseline,0.08399999999999996,21,149,0,101,0.017058647280962756,0.018494345226967995,-0.041279596355122655,0.0686417461145983,0.10992134246972096,0.006453017320073997,0.028245217235480416,250
144k,flickr,Hard-default-minus-Mean,hard_default,mean,-0.02400000000000002,-6,119,0,131,-0.0113505793886308,-0.004807704790425249,-0.049978165742491115,0.035202215464627484,0.0851803812071186,-0.019596116101811483,-0.0028734795623966388,250
144k,flickr,Hard-adjusted-minus-Mean,hard_adjusted,mean,-0.04800000000000004,-12,123,0,127,0.0015185007939518022,-0.0021479477125656565,-0.045461087235389,0.041644144032633154,0.08710523126802215,-0.007501214593253317,0.010182479595560357,250
144k,flickr,Hard-adjusted-minus-Hard-default,hard_adjusted,hard_default,-0.02400000000000002,-6,136,0,114,0.012869080182582603,0.009942583656809001,-0.03298103077485848,0.05877387367959419,0.09175490445445267,0.003202477542352275,0.023153358817569882,250
