dataset scale  hard_effect_cIoU  hard_effect_AUC  hard_effect_gt_nearfp_gap  hard_effect_gt_vs_nearfp_auroc  hard_effect_coverage  hard_effect_precision  hard_effect_pred_area_ratio
  vggss   10k         -0.009694        -0.002705                  -0.005373                       -0.001965              0.022103              -0.016395                     0.034491
  vggss  144k         -0.006786        -0.001299                   0.000916                        0.000466             -0.008046               0.004713                    -0.006646
 flickr   10k          0.012000         0.006200                  -0.000913                        0.009164              0.025294              -0.010221                     0.027701
 flickr  144k         -0.024000        -0.010200                  -0.014334                       -0.015200             -0.007722              -0.010903                     0.000669
dataset scale         model      group   n  cIoU_success_count      iou  gt_response  nearfp_response  gt_nearfp_gap  gt_vs_nearfp_auroc  precision  coverage  pred_area_ratio    RemoveFP    RemoveTP      AddTP       AddFP  vs_mean_RemoveFP  vs_mean_RemoveTP  vs_mean_AddTP  vs_mean_AddFP
  vggss  144k      baseline A_ogl_help 428                 125 0.410513     0.825870         0.791094       0.036533            0.649832   0.444938  0.911585         0.517062    0.000000    0.000000   0.000000    0.000000       1950.964953        313.761682    1164.971963    4204.642523
  vggss  144k hard_adjusted A_ogl_help 428                 138 0.424369     0.790096         0.728925       0.062846            0.676552   0.482187  0.853852         0.438002 4656.855140 1207.768692 302.591121 1595.144860       2152.721963        442.621495     388.654206    1344.689252
  vggss  144k  hard_default A_ogl_help 428                 140 0.429229     0.790910         0.724147       0.068360            0.689932   0.489251  0.855873         0.434645 4797.252336 1236.214953 324.378505 1573.771028       2177.420561        415.642523     355.016355    1207.616822
  vggss  144k          mean A_ogl_help 428                 126 0.410639     0.797423         0.733907       0.064922            0.687604   0.465202  0.860751         0.455182 4204.642523 1164.971963 313.761682 1950.964953               NaN               NaN            NaN            NaN
scale dataset           comparison                             signal     mean   median        ci_low   ci_high      n  mean_difference  mannwhitney_p  rank_biserial  n_left  n_right
  10k   vggss    margin_diagnostic     violation_pos_ge_mean_fraction 0.243117 0.000000  2.314851e-01  0.254949 5158.0              NaN            NaN            NaN     NaN      NaN
  10k   vggss    margin_diagnostic        hard_but_mean_easy_fraction 0.415471 0.000000  4.017061e-01  0.428659 5158.0              NaN            NaN            NaN     NaN      NaN
  10k   vggss    margin_diagnostic mean_pairwise_negative_correlation 0.410612 0.412540  4.005610e-01  0.419659    6.0              NaN            NaN            NaN     NaN      NaN
  10k  flickr    margin_diagnostic     violation_pos_ge_mean_fraction 0.516000 1.000000  4.559000e-01  0.576000  250.0              NaN            NaN            NaN     NaN      NaN
  10k  flickr    margin_diagnostic        hard_but_mean_easy_fraction 0.316000 0.000000  2.560000e-01  0.372000  250.0              NaN            NaN            NaN     NaN      NaN
  10k  flickr    margin_diagnostic mean_pairwise_negative_correlation 0.942697 0.937959  9.339910e-01  0.952677    6.0              NaN            NaN            NaN     NaN      NaN
 144k   vggss       GroupA_vs_nonA                              D_min      NaN      NaN -2.067306e-06  0.000008    NaN     2.419480e-06       0.986194      -0.000505   428.0   4730.0
 144k   vggss       GroupA_vs_nonA                             D_mean      NaN      NaN -1.943470e-06  0.000015    NaN     6.044142e-06       0.220689      -0.035695   428.0   4730.0
 144k   vggss       GroupA_vs_nonA                              D_max      NaN      NaN -1.454332e-06  0.000028    NaN     1.247049e-05       0.097496      -0.048298   428.0   4730.0
 144k   vggss       GroupA_vs_nonA                              D_std      NaN      NaN -6.967940e-07  0.000009    NaN     3.781740e-06       0.073794      -0.052109   428.0   4730.0
 144k   vggss       GroupA_vs_nonA                     mean_minus_min      NaN      NaN -1.802557e-06  0.000010    NaN     3.624662e-06       0.077323      -0.051484   428.0   4730.0
