scale dataset         model       readout     cIoU      AUC    n  stored_cIoU  stored_AUC  replay_cIoU_error  replay_AUC_error  Delta_OGL  Delta_OGL_AUC
  10k   vggss      baseline           AUD 0.411206 0.414056 5158     0.411206    0.414056                0.0          0.000000  -0.041489      -0.021006
  10k   vggss      baseline     IMG_QUERY 0.406359 0.409354 5158     0.406359    0.409354                0.0          0.000000        NaN            NaN
  10k   vggss      baseline           IQR 0.413145 0.413445 5158     0.413145    0.413445                0.0          0.000000        NaN            NaN
  10k   vggss      baseline     OBJ_PRIOR 0.347809 0.392420 5158     0.347809    0.392420                0.0          0.000000        NaN            NaN
  10k   vggss      baseline           OGL 0.452695 0.435062 5158     0.452695    0.435062                0.0          0.000000        NaN            NaN
  10k   vggss      baseline EXTRA_IQR_OGL 0.437767 0.426134 5158     0.437767    0.426134                0.0          0.000000        NaN            NaN
  10k   vggss          mean           AUD 0.425940 0.420890 5158          NaN         NaN                NaN               NaN  -0.033734      -0.016537
  10k   vggss          mean     IMG_QUERY 0.414502 0.414405 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss          mean           IQR 0.425165 0.419562 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss          mean     OBJ_PRIOR 0.347809 0.392420 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss          mean           OGL 0.459674 0.437427 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss          mean EXTRA_IQR_OGL 0.448430 0.430651 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss  hard_default           AUD 0.416247 0.418185 5158          NaN         NaN                NaN               NaN  -0.042652      -0.018273
  10k   vggss  hard_default     IMG_QUERY 0.414308 0.412796 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss  hard_default           IQR 0.419930 0.418244 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss  hard_default     OBJ_PRIOR 0.347809 0.392420 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss  hard_default           OGL 0.458899 0.436458 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k   vggss  hard_default EXTRA_IQR_OGL 0.442807 0.428916 5158          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr      baseline           AUD 0.804000 0.616400  250     0.804000    0.616400                0.0          0.000000  -0.048000      -0.017600
  10k  flickr      baseline     IMG_QUERY 0.752000 0.589000  250     0.752000    0.589000                0.0          0.000000        NaN            NaN
  10k  flickr      baseline           IQR 0.784000 0.607400  250     0.784000    0.607400                0.0          0.000000        NaN            NaN
  10k  flickr      baseline     OBJ_PRIOR 0.448000 0.466800  250     0.448000    0.466800                0.0          0.000000        NaN            NaN
  10k  flickr      baseline           OGL 0.852000 0.634000  250     0.852000    0.634000                0.0          0.000000        NaN            NaN
  10k  flickr      baseline EXTRA_IQR_OGL 0.816000 0.626000  250     0.816000    0.626000                0.0          0.000000        NaN            NaN
  10k  flickr          mean           AUD 0.784000 0.619000  250          NaN         NaN                NaN               NaN  -0.072000      -0.024800
  10k  flickr          mean     IMG_QUERY 0.724000 0.588600  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr          mean           IQR 0.776000 0.612000  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr          mean     OBJ_PRIOR 0.448000 0.466800  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr          mean           OGL 0.856000 0.643800  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr          mean EXTRA_IQR_OGL 0.832000 0.634600  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr  hard_default           AUD 0.796000 0.625200  250          NaN         NaN                NaN               NaN  -0.072000      -0.022800
  10k  flickr  hard_default     IMG_QUERY 0.748000 0.603000  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr  hard_default           IQR 0.792000 0.621200  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr  hard_default     OBJ_PRIOR 0.448000 0.466800  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr  hard_default           OGL 0.868000 0.648000  250          NaN         NaN                NaN               NaN        NaN            NaN
  10k  flickr  hard_default EXTRA_IQR_OGL 0.836000 0.643600  250          NaN         NaN                NaN               NaN        NaN            NaN
 144k   vggss      baseline           AUD 0.426910 0.422974 5158     0.426910    0.422955                0.0          0.000019  -0.030050      -0.017119
 144k   vggss      baseline     IMG_QUERY 0.406941 0.416615 5158     0.406941    0.416615                0.0          0.000000        NaN            NaN
 144k   vggss      baseline           IQR 0.423032 0.423420 5158     0.423032    0.423420                0.0          0.000000        NaN            NaN
 144k   vggss      baseline     OBJ_PRIOR 0.347809 0.392420 5158     0.347809    0.392420                0.0          0.000000        NaN            NaN
 144k   vggss      baseline           OGL 0.456960 0.440093 5158     0.456960    0.440103                0.0         -0.000010        NaN            NaN
 144k   vggss      baseline EXTRA_IQR_OGL 0.444746 0.434316 5158     0.444746    0.434325                0.0         -0.000010        NaN            NaN
