dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C2,12345,0,10000130166,FP,0.6799774169921875,0.5464330413016271,3995
flickr,C2,12345,0,10000130166,NearFP,0.6816253662109375,0.550584141188168,4023
flickr,C2,12345,0,10000130166,FarFP,,,0
flickr,C2,12345,0,10000130166,HighAUDFP,,,0
flickr,C2,12345,1,10007936344,FP,0.64605712890625,0.3312901342673672,3426
flickr,C2,12345,1,10007936344,NearFP,0.6558837890625,0.3622409823484267,3909
flickr,C2,12345,1,10007936344,FarFP,0.7104949951171875,0.3111936832326986,2153
flickr,C2,12345,1,10007936344,HighAUDFP,,,0
flickr,C2,12345,2,10008553263,FP,0.4073944091796875,0.28421269579554825,4852
flickr,C2,12345,2,10008553263,NearFP,0.4816131591796875,0.44167371090448015,4732
flickr,C2,12345,2,10008553263,FarFP,0.2703399658203125,0.20354775129905034,5581
flickr,C2,12345,2,10008553263,HighAUDFP,0.12240953947368421,0.2013400335008375,2985
flickr,C2,12345,3,10009662863,FP,0.543060302734375,0.46505958829902494,3692
flickr,C2,12345,3,10009662863,NearFP,0.4774627685546875,0.40092640247040656,3886
flickr,C2,12345,3,10009662863,FarFP,0.6558837890625,0.6258971291866029,3344
flickr,C2,12345,3,10009662863,HighAUDFP,0.6284722222222222,0.6105919003115264,321
flickr,C2,12345,4,10013411946,FP,0.686187744140625,0.6315632458233891,3352
flickr,C2,12345,4,10013411946,NearFP,0.510589599609375,0.4955798231929277,3846
flickr,C2,12345,4,10013411946,FarFP,0.79290771484375,0.7471264367816092,3132
flickr,C2,12345,4,10013411946,HighAUDFP,,,0
flickr,C2,12345,5,10016382545,FP,0.6140594482421875,0.7389367816091954,6960
flickr,C2,12345,5,10016382545,NearFP,0.6284637451171875,0.8124371678874048,6963
flickr,C2,12345,5,10016382545,FarFP,0.629852294921875,0.6764411386067801,6991
flickr,C2,12345,5,10016382545,HighAUDFP,0.42103040540540543,0.7391304347826086,2392
flickr,C2,12345,6,10031203703,FP,0.7449951171875,0.6111438679245284,3392
