dataset,group,seed,sample_index,sample_id,mean_spearman,mean_top10_jaccard,mean_map_mae,matched_minus_wrong_abs_mean
flickr,C2,12345,0,10000130166,0.9890561224489796,0.9545454545454546,0.00035045523873122875,0.0002654333075042814
flickr,C2,12345,1,10007936344,0.985127551020408,0.6695804195804196,0.0003206035053153755,0.00024301144003402442
flickr,C2,12345,2,10008553263,0.9829464285714284,0.6564685314685315,0.0004274730308679864,0.0004018945328425616
flickr,C2,12345,3,10009662863,0.9871301020408163,0.7992424242424243,0.00031061739173310343,0.00029716634890064597
flickr,C2,12345,4,10013411946,0.9786479591836734,0.9583333333333333,0.00024253163974208292,0.0001316888228757307
flickr,C2,12345,5,10016382545,0.9634948979591836,0.821969696969697,0.00036224089126335457,0.00034340572892688215
flickr,C2,12345,6,10031203703,0.9690943877551019,0.5132783882783882,0.0002468118109391071,0.00017566462338436395
flickr,C2,12345,7,10035917404,0.9786989795918366,0.6564685314685315,0.0002719553558563348,0.00021794605709146708
flickr,C2,12345,8,10045181004,0.9892474489795917,0.8636363636363638,0.000368387860362418,0.0002888836897909641
flickr,C2,12345,9,10060697266,0.9927295918367346,0.9090909090909092,0.00032799735708977096,0.0002741847129072994
flickr,C2,12345,10,10061269855,0.994579081632653,0.9545454545454546,0.0002835540271917125,0.00014992720389273018
flickr,C2,12345,11,10067897816,0.9821301020408162,0.7141608391608392,0.0004414042050484568,0.0003788284957408905
flickr,C2,12345,12,10069511285,0.984234693877551,0.6885198135198135,0.000278937142866198,0.00018176475714426488
flickr,C2,12345,13,10079676496,0.984094387755102,0.6695804195804196,0.000278349980362691,0.00015836935199331492
flickr,C2,12345,14,10080652613,0.9869642857142856,0.821969696969697,0.0003295510850875871,0.0002707436797209084
flickr,C2,12345,15,10106776154,0.9740306122448978,0.5384615384615384,0.000432722685218323,0.00040277463267557323
flickr,C2,12345,16,10109936483,0.9873852040816327,0.6914335664335665,0.0003042326425202191,0.000217399574466981
flickr,C2,12345,17,10110769444,0.9708545918367346,0.7293123543123543,0.00033261796852457337,0.00021783000556752086
flickr,C2,12345,18,10111706074,0.9860204081632652,0.7992424242424243,0.0002162228793167742,0.00012985138164367527
flickr,C2,12345,19,10119607346,0.9600892857142856,0.6896020646020646,0.0004291271907277405,0.0003513769479468465
flickr,C2,12345,20,10119736773,0.98297193877551,0.7424242424242424,0.00025680483304313384,0.00016342411981895566
flickr,C2,12345,21,10129791115,0.9904974489795917,0.8863636363636365,0.0004584673934004968,0.00039898575050756335
flickr,C2,12345,22,10129813456,0.9518494897959183,0.5757159507159507,0.0003272670437581837,0.0002825460978783667
flickr,C2,12345,23,10163352444,0.9838775510204081,0.7803030303030303,0.0003340620896779001,0.00031694790231995285
flickr,C2,12345,24,10165890496,0.9922066326530612,0.7689393939393939,0.0002991057353938231,0.00018250934954266995
flickr,C2,12345,25,10173808724,0.9848596938775509,0.821969696969697,0.00029985768014739733,0.0001540984376333654
flickr,C2,12345,26,10202025415,0.9931632653061224,0.9090909090909092,0.00023619330568180885,0.00013555804616771638
flickr,C2,12345,27,10221582415,0.9784821428571427,0.840909090909091,0.00033433170756325126,0.00028063234640285373
flickr,C2,12345,28,10234680056,0.9890688775510204,0.8636363636363638,0.0004402085796755273,0.0004631922929547727
flickr,C2,12345,29,10246013484,0.99125,0.840909090909091,0.00025032335361174773,0.00015550261014141142
flickr,C2,12345,30,10268129763,0.9848086734693877,0.752039627039627,0.00031278000642487314,0.00014201719022821635
flickr,C2,12345,31,10278084464,0.9862627551020406,0.7840909090909092,0.00031656024657422677,0.0002466911100782454
flickr,C2,12345,32,10283938426,0.9806887755102041,0.7718531468531469,0.00018491244645701954,0.00014800106873735785
flickr,C2,12345,33,10289643764,0.9901147959183673,0.8636363636363638,0.0003190653569618007,0.0002743328223004937
flickr,C2,12345,34,10304554474,0.9686096938775509,0.6631701631701632,0.0004744492798636202,0.000380073266569525
flickr,C2,12345,35,10308472565,0.9805484693877551,0.8863636363636365,0.00040517364504921716,0.0003346540033817291
flickr,C2,12345,36,10369815925,0.9778954081632651,0.6657925407925408,0.00035740265957429074,0.0002737884933594614
flickr,C2,12345,37,10389014583,0.9874362244897958,0.8901515151515151,0.00035050187216256745,0.00029133184580132365
flickr,C2,12345,38,10409146004,0.9832015306122448,0.8257575757575758,0.00024674078485986684,0.0001587033038958907
flickr,C2,12345,39,10409351364,0.9802295918367345,0.8636363636363638,0.000361714162863791,0.00031069881515577435
flickr,C2,12345,40,10413912845,0.9786862244897958,0.7424242424242424,0.0005234882282820763,0.0004924245877191424
flickr,C2,12345,41,10437048305,0.9793877551020407,0.840909090909091,0.0003581524797482416,0.00024160667089745402
flickr,C2,12345,42,10440265465,0.9711989795918367,0.7491258741258742,0.0002627942849358078,0.0001990265300264582
flickr,C2,12345,43,10441843213,0.9886607142857142,0.6535547785547786,0.0002999452917720191,0.00028604158433154225
flickr,C2,12345,44,10446128125,0.9828571428571429,0.8295454545454546,0.00031480556208407506,0.0002394485636614263
flickr,C2,12345,45,10451898725,0.9895280612244897,0.9128787878787878,0.00021773620937892701,0.00012999548926018178
flickr,C2,12345,46,10468313544,0.9882015306122448,0.7840909090909092,0.00041275702096754685,0.00039602693868801
flickr,C2,12345,47,10476442285,0.9945918367346938,1.0,0.0003628041667980142,0.00031797628616914153
flickr,C2,12345,48,10476446674,0.9874617346938774,0.8863636363636365,0.00037726924347225577,0.00033114192774519324
flickr,C2,12345,49,10477544895,0.9896556122448978,0.9090909090909092,0.0003923252570530167,0.0003583744401112199
flickr,C2,12345,50,10481128583,0.9870663265306122,0.8863636363636365,0.0004609020506904926,0.0004114482144359499
flickr,C2,12345,51,10520382525,0.9958418367346937,1.0,0.0005789680963061983,0.0005770266288891435
flickr,C2,12345,52,10545790805,0.9897321428571428,0.8901515151515151,0.00037211660310276784,0.0003291629545856267
flickr,C2,12345,53,10548273474,0.9535586734693877,0.5590659340659341,0.0004673205694416538,0.000426655838964507
flickr,C2,12345,54,10549911663,0.9819260204081632,0.8446969696969697,0.00036737179834744893,0.00030656775925308466
flickr,C2,12345,55,10555704135,0.9950510204081632,0.9772727272727273,0.00022230913873499958,0.00010285135067533702
flickr,C2,12345,56,10557361454,0.9943622448979591,0.8257575757575757,0.0002933045198005857,0.00024982428294606507
flickr,C2,12345,57,10610974774,0.991173469387755,0.7992424242424243,0.000303677126794355,0.00014714979624841362
flickr,C2,12345,58,10624261424,0.9912372448979591,0.8636363636363638,0.0002485822569724405,0.00022035233268979937
flickr,C2,12345,59,10635080206,0.9912244897959183,0.8181818181818182,0.00021233438928902615,0.00011970562627539039
flickr,C2,12345,60,10654057765,0.9883163265306121,0.840909090909091,0.0003137063522444805,0.00025582712260074914
flickr,C2,12345,61,10659354545,0.8984183673469387,0.378533231474408,0.0004416409119585296,0.00040937616722658277
flickr,C2,12345,62,10666396623,0.9897959183673468,0.9772727272727273,0.0003165310699841939,0.0001881157950265333
flickr,C2,12345,63,10667001125,0.9855357142857142,0.7613636363636365,0.00039671519698458724,0.00034290042822249234
flickr,C2,12345,64,10701841844,0.9768112244897958,0.8636363636363638,0.0004285540671844501,0.00029287301003932953
flickr,C2,12345,65,10743985374,0.9834948979591835,0.7083333333333333,0.00040775399065751117,0.0003816877433564514
flickr,C2,12345,66,10751849775,0.9817602040816324,0.7803030303030303,0.00032608421679469757,0.0002798120549414307
flickr,C2,12345,67,10761625676,0.9955357142857142,0.9356060606060606,0.0002984767870657379,0.00023002794478088617
flickr,C2,12345,68,10771238614,0.9950765306122449,1.0,0.00025292719874414615,9.82428973657079e-05
flickr,C2,12345,69,10795023275,0.99109693877551,0.803030303030303,0.00029620725763379596,0.00018003863806370646
flickr,C2,12345,70,10796050285,0.9846811224489795,0.7803030303030303,0.00038790720282122493,0.0003539673634804785
flickr,C2,12345,71,10805310706,0.9908545918367346,0.7045454545454546,0.0003038313971046591,0.00027205573860555887
flickr,C2,12345,72,10847897294,0.9783418367346938,0.803030303030303,0.0003798145735345315,0.0003467494389042258
flickr,C2,12345,73,10859255295,0.9897066326530611,0.7642773892773893,0.0003168861112499144,0.00012934679398313165
flickr,C2,12345,74,10862172945,0.9936862244897958,0.9318181818181819,0.0003062365522055188,0.00026390523998998106
flickr,C2,12345,75,10939270325,0.9703571428571427,0.821969696969697,0.00037318321847124025,0.00028402419411577284
flickr,C2,12345,76,10952523225,0.9895663265306122,0.840909090909091,0.0002965622097690357,0.000224010887905024
flickr,C2,12345,77,10979853044,0.9907270408163265,1.0,0.0002943562412838219,0.00020855083130300045
flickr,C2,12345,78,10980225216,0.9929591836734692,1.0,0.0002914965461968677,0.00018353523046243936
flickr,C2,12345,79,11002352834,0.9923852040816326,0.9090909090909092,0.0002605940080684377,0.00013060726632829756
flickr,C2,12345,80,11036641226,0.992563775510204,0.7992424242424243,0.0003022393866558559,0.00012180722114862874
flickr,C2,12345,81,11050409385,0.9920408163265305,0.8636363636363638,0.00045670898907701485,0.00043504664790816605
flickr,C2,12345,82,11071986404,0.9852933673469387,0.9128787878787878,0.00040731163608143106,0.0003322786360513419
flickr,C2,12345,83,11101358996,0.9920663265306121,0.6885198135198135,0.0004228435045661172,0.00040074039134196937
flickr,C2,12345,84,11154049584,0.989094387755102,0.8863636363636365,0.00040112240094458684,0.00036002675187774
flickr,C2,12345,85,11314266424,0.991109693877551,0.6506410256410255,0.0002511409902581363,0.00019779615104198456
flickr,C2,12345,86,11650557765,0.9898596938775509,0.8863636363636365,0.00035475132881401805,0.00024190986005123705
flickr,C2,12345,87,11764496003,0.9840561224489794,0.8636363636363638,0.00029073312362015713,0.00015490478835999966
flickr,C2,12345,88,11765015695,0.9918367346938775,0.8901515151515151,0.0003081335162278265,0.00012998946476727724
flickr,C2,12345,89,11776645404,0.9837244897959183,0.7803030303030303,0.00022704233651893446,0.00011304024519631639
flickr,C2,12345,90,12015590114,0.9880994897959183,0.6666666666666666,0.00031462164042750373,0.00029151487979106605
flickr,C2,12345,91,12031178616,0.9786989795918366,0.7331002331002331,0.000289132003672421,0.00021633246797136962
flickr,C2,12345,92,12048726756,0.9797193877551019,0.7803030303030303,0.000277524181001354,0.00021404160361271352
