dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
vggss,C1,12345,0,-0BIyqJj9ZU_000030,FP,0.48175048828125,0.33818615751789977,4190
vggss,C1,12345,0,-0BIyqJj9ZU_000030,NearFP,0.4599609375,0.4168722249629995,6081
vggss,C1,12345,0,-0BIyqJj9ZU_000030,FarFP,0.4701995849609375,0.20623281393217233,3273
vggss,C1,12345,0,-0BIyqJj9ZU_000030,HighAUDFP,0.3034104567307692,0.12987012987012986,1155
vggss,C1,12345,1,-0UuUoXQUoI_000107,FP,0.722686767578125,0.5589430894308943,4428
vggss,C1,12345,1,-0UuUoXQUoI_000107,NearFP,0.7124786376953125,0.5447588126159555,4312
vggss,C1,12345,1,-0UuUoXQUoI_000107,FarFP,,,0
vggss,C1,12345,1,-0UuUoXQUoI_000107,HighAUDFP,,,0
vggss,C1,12345,2,-2-wdcN5vOw_000017,FP,0.4181976318359375,0.6105909888823874,3418
vggss,C1,12345,2,-2-wdcN5vOw_000017,NearFP,0.4209136962890625,0.6177723676202069,3286
vggss,C1,12345,2,-2-wdcN5vOw_000017,FarFP,,,0
vggss,C1,12345,2,-2-wdcN5vOw_000017,HighAUDFP,,,0
vggss,C1,12345,3,-23CeprtibU_000030,FP,0.5524139404296875,0.4136486819413649,4059
vggss,C1,12345,3,-23CeprtibU_000030,NearFP,0.411376953125,0.39431127422869594,8719
vggss,C1,12345,3,-23CeprtibU_000030,FarFP,0.615325927734375,0.42072480181200456,1766
vggss,C1,12345,3,-23CeprtibU_000030,HighAUDFP,0.31742527173913043,0.5615079365079365,1008
vggss,C1,12345,4,-2Dm0VjW8oM_000001,FP,0.333404541015625,0.09600210415570752,3802
vggss,C1,12345,4,-2Dm0VjW8oM_000001,NearFP,0.3230743408203125,0.1291390728476821,3926
vggss,C1,12345,4,-2Dm0VjW8oM_000001,FarFP,,,0
vggss,C1,12345,4,-2Dm0VjW8oM_000001,HighAUDFP,0.09388469827586207,0.16555183946488294,598
vggss,C1,12345,5,-2sOH8XovEE_000484,FP,0.63934326171875,0.19333003136866436,6057
vggss,C1,12345,5,-2sOH8XovEE_000484,NearFP,0.567840576171875,0.30121200079475463,10066
vggss,C1,12345,5,-2sOH8XovEE_000484,FarFP,0.6288299560546875,0.1878408726339429,6234
vggss,C1,12345,5,-2sOH8XovEE_000484,HighAUDFP,0.24368640988372092,0.14061930783242257,5490
vggss,C1,12345,6,-3Kv4fdm7Uk_000030,FP,0.8471221923828125,0.4983303365014128,3893
vggss,C1,12345,6,-3Kv4fdm7Uk_000030,NearFP,0.7849578857421875,0.505803156917363,4308
vggss,C1,12345,6,-3Kv4fdm7Uk_000030,FarFP,0.91827392578125,0.4803466419065305,3231
vggss,C1,12345,6,-3Kv4fdm7Uk_000030,HighAUDFP,0.14697265625,0.2505854800936768,427
