dataset,group,seed,sample_index,sample_id,mean_spearman,mean_top10_jaccard,mean_map_mae,matched_minus_wrong_abs_mean
vggss,C2,12345,0,-0BIyqJj9ZU_000030,0.9674744897959182,0.6185897435897436,0.000287596734779072,0.00020339990442153066
vggss,C2,12345,1,-0UuUoXQUoI_000107,0.9685076530612244,0.7453379953379953,0.0003372055034560617,0.0003058990987483412
vggss,C2,12345,2,-2-wdcN5vOw_000017,0.9777423469387754,0.7103729603729604,0.00027794070047093555,0.00024540384765714407
vggss,C2,12345,3,-23CeprtibU_000030,0.8401403061224489,0.5433732933732934,0.0003092028564424254,0.00023814538144506514
vggss,C2,12345,4,-2Dm0VjW8oM_000001,0.9666709183673468,0.7045454545454546,0.00036565319169312716,0.0003409816708881408
vggss,C2,12345,5,-2sOH8XovEE_000484,0.9820408163265304,0.8674242424242424,0.00029666160298802424,0.00024123759067151695
vggss,C2,12345,6,-3Kv4fdm7Uk_000030,0.9651147959183672,0.7689393939393939,0.0005205727102293167,0.0005248024826869369
vggss,C2,12345,7,-4bPiXbovf0_000008,0.9561989795918366,0.6666666666666666,0.00025221911710104905,0.00019475190492812544
vggss,C2,12345,8,-5CGQGSFGyg_000060,0.9591071428571428,0.9583333333333333,0.0003766229565371759,0.0003573966969270259
vggss,C2,12345,9,-5z9IXBJefc_000227,0.972079081632653,1.0,0.0007688482310186373,0.0008295788429677486
vggss,C2,12345,10,-79qo5MUYBk_000207,0.9774489795918366,0.6791958041958042,0.00029842762523912825,0.0002495167136657983
vggss,C2,12345,11,-7TanrCbmME_000030,0.9426530612244897,0.8446969696969697,0.00033914099185494706,0.0003170908894389868
vggss,C2,12345,12,-7sg--aJdrc_000049,0.9218749999999999,0.6129703629703629,0.00029601770620502066,0.00025264587020501494
vggss,C2,12345,13,-7tYmeOmsRg_000058,0.9385969387755102,0.6724941724941724,0.00028219600062584504,0.00019054765289183706
vggss,C2,12345,14,-7tYmeOmsRg_000180,0.9009183673469386,0.7045454545454546,0.0002797188481054036,0.00023565415176562965
vggss,C2,12345,15,-86gl1hp1Aw_000105,0.9917091836734693,0.9545454545454546,0.0002917206547863316,0.0002474318607710302
vggss,C2,12345,16,-8cgbhIR_pw_000030,0.9518494897959182,0.6937229437229437,0.00043433353494037874,0.0003699499065987766
vggss,C2,12345,17,-A3zsFeU_OI_000030,0.9888010204081632,0.7613636363636364,0.00029685962363146245,0.00022919350885786116
vggss,C2,12345,18,-ANxUxvGASw_000010,0.9756632653061224,0.8636363636363638,0.00029024763898632955,0.00019367894856259227
vggss,C2,12345,19,-ByoSbgzr4M_000000,0.9288392857142856,0.7071262071262071,0.0003488918864604784,0.00020870915614068508
vggss,C2,12345,20,-CZ1LIc8aos_000020,0.9320025510204081,0.6494338994338994,0.0005307167402861523,0.0005549911875277758
vggss,C2,12345,21,-Cr0WQoFQQs_000045,0.9871811224489795,0.9545454545454546,0.00023147254978539422,0.00017515680519863963
vggss,C2,12345,22,-Cv3gOXEoxA_000040,0.9892219387755101,0.8257575757575758,0.00021796676628582645,0.00014052084588911384
vggss,C2,12345,23,-D64b_8YJK4_000046,0.9591836734693877,0.5230082417582418,0.0003189488070347579,0.00021255822503007948
vggss,C2,12345,24,-E5o64ACjm0_000017,0.9402168367346938,0.4177776879982762,0.0003025025962415384,0.00024513574317097664
vggss,C2,12345,25,-FoTxwPOz3U_000000,0.976594387755102,0.9356060606060606,0.00030295964825199917,0.00021799129899591208
vggss,C2,12345,26,-GOaBCyC5Js_000087,0.9840561224489794,0.8446969696969697,0.0008572728402214125,0.0009264305117540061
vggss,C2,12345,27,-GW1J75oAKU_000304,0.9635969387755101,0.7878787878787878,0.0005044175868533785,0.00048000167589634657
vggss,C2,12345,28,-HMEhGV38GM_000216,0.9852423469387754,0.9090909090909092,0.0002752793825493427,0.0002032085758401081
vggss,C2,12345,29,-IKnJa9U66I_000150,0.9221201639067305,0.7112470862470862,0.0003128026582999155,0.000230274599744007
vggss,C2,12345,30,-Igq1W20Gi8_000000,0.9697321428571428,1.0,0.0003475232097116532,0.00023266099742613733
vggss,C2,12345,31,-JGpAlLrSD0_000458,0.98297193877551,0.7974941724941724,0.00025192794782924466,0.00012110500392736867
vggss,C2,12345,32,-JUBdOr8Hes_000030,0.9887755102040815,0.840909090909091,0.0003769366376218386,0.00022204333799891174
vggss,C2,12345,33,-JUhUI_KvUI_000026,0.9770153061224489,0.8097319347319347,0.00019157895894750254,0.00013667467283084989
vggss,C2,12345,34,-K-ccLMFE5M_000259,0.9728954081632653,0.770979020979021,0.00028368972925818525,0.0002385647821938619
vggss,C2,12345,35,-K1BRF6qng8_000030,0.9814540816326529,0.8484848484848484,0.00022506341156258713,0.00014097391976974905
vggss,C2,12345,36,-KBH8YmHR-0_000050,0.9682397959183673,0.5471611721611721,0.00022317268121696543,0.0001491457223892212
vggss,C2,12345,37,-Lmibx_Iu_E_000173,0.9592857142857142,0.7680652680652681,0.00036517585431283806,0.00031278887763619423
vggss,C2,12345,38,-Lv13WPa4xk_000170,0.9805357142857143,0.7316017316017316,0.0003278980693721678,0.00028373522218316793
vggss,C2,12345,39,-N00SskHxS4_000529,0.9787117346938774,0.9772727272727273,0.0005031516775488853,0.00043301668483763933
vggss,C2,12345,40,-NCa3eFLULw_000221,0.9811607142857142,0.8446969696969697,0.00024845466032275,0.0001835266884882003
vggss,C2,12345,41,-NwBdmVSg1w_000000,0.9516836734693876,0.8551864801864801,0.0003509946800477337,0.00027925035101361573
vggss,C2,12345,42,-OAyRsvFGgc_000030,0.9778316326530611,0.8181818181818182,0.0010488031912245788,0.0010125230764970183
vggss,C2,12345,43,-OVb-UG8yJw_000030,0.9805612244897959,0.9318181818181819,0.0002752091459115036,0.0001308784558204934
vggss,C2,12345,44,-PvlrLjIAYo_000009,0.9845408163265305,1.0,0.00028208323783474043,0.00021616141020786017
vggss,C2,12345,45,-Q3MX7Tgx_E_000111,0.9819770408163264,0.9772727272727273,0.0003518967168929521,0.0003259005898144096
vggss,C2,12345,46,-RBs9pPhHY8_000030,0.9783035714285714,0.7234848484848485,0.00034870347371906973,0.0003190289717167616
vggss,C2,12345,47,-S-TDT5oq0Q_000290,0.9923086734693876,0.7840909090909092,0.0003058401471207617,0.00011447691940702498
vggss,C2,12345,48,-SWaCArvQug_000021,0.9564285714285714,0.7907925407925408,0.0002053278458333807,0.00010242369899060577
vggss,C2,12345,49,-Vo4CAMX26U_000030,0.956173469387755,0.8484848484848485,0.0002677509837667458,0.00018964616174343973
vggss,C2,12345,50,-W3WpZvJX2o_000027,0.8835969387755103,0.5409982174688057,0.0003029873278137529,0.00012356571096461266
vggss,C2,12345,51,-Wd5YV97ftU_000320,0.982142857142857,0.8446969696969697,0.0002999380903929705,0.00023964351566974074
vggss,C2,12345,52,-XwtCzUaN1I_000160,0.9612882653061223,0.7803030303030303,0.000708371437212918,0.0007662493153475225
vggss,C2,12345,53,-Y-UegG9tLw_000282,0.9899744897959182,0.7613636363636364,0.00039176319842226803,0.0001605730940354988
vggss,C2,12345,54,-YwPSwhe2jo_000030,0.9755867346938775,0.6754079254079255,0.00019775783312070416,0.00010189729800913483
vggss,C2,12345,55,-Z1ZSWDouUU_000030,0.9821045918367346,0.8446969696969697,0.00043465097951411735,0.00041818394674919546
vggss,C2,12345,56,-ZJqu_4zLMc_000030,0.9720408163265305,0.8863636363636365,0.00025590407949493965,0.0001704592868918553
vggss,C2,12345,57,-ZSgg6jFUd8_000688,0.9629591836734692,0.6398185148185148,0.00027605499781202525,0.00016476046585012227
vggss,C2,12345,58,-_QPd-VskKY_000030,0.9840051020408163,0.9128787878787878,0.00021109987756062765,0.00015818419342394918
vggss,C2,12345,59,-_umX4zgLVY_000028,0.9961862244897958,0.8446969696969697,0.0003534364623192232,0.0003153475117869675
vggss,C2,12345,60,-aK9JKAGme0_000041,0.9838647959183673,0.7112470862470862,0.0002519104764360236,0.00017282518092542887
vggss,C2,12345,61,-aK9JKAGme0_000051,0.9803061224489795,0.7529137529137528,0.0002677735228644451,0.00017271940305363387
vggss,C2,12345,62,-aUJLRXkj-Y_000118,0.9632780612244897,0.7613636363636364,0.0003093586492468603,0.0002000572858378291
vggss,C2,12345,63,-cA9HsnV1ao_000030,0.974438775510204,0.7103729603729604,0.00019752609659917653,0.00014184426981955767
vggss,C2,12345,64,-d1KR2BSfHM_000065,0.988673469387755,0.821969696969697,0.00030517836967192125,0.0002656019350979477
vggss,C2,12345,65,-e4wXAy1iVo_000000,0.9625765306122449,0.7907925407925408,0.00063902463807608,0.0006531826220452785
vggss,C2,12345,66,-fAVezaAX18_000126,0.9709056122448978,0.7937062937062938,0.00045047750063531566,0.0004275599785614759
vggss,C2,12345,67,-fJsZm3YRc0_000030,0.9504209183673469,0.591117216117216,0.0002598409355414333,0.00019193277694284916
vggss,C2,12345,68,-fPdOa99Iwg_000030,0.9699617346938775,0.7234848484848485,0.0002929411111836089,0.00021130488312337548
