dataset,group,seed,kind,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C0,12345,best,0,10000130166,FP,0.95050048828125,0.9450181412224393,3583
flickr,C0,12345,best,0,10000130166,NearFP,0.946807861328125,0.9383107523782069,3469
flickr,C0,12345,best,0,10000130166,FarFP,,,0
flickr,C0,12345,best,0,10000130166,HighAUDFP,,,0
flickr,C0,12345,best,1,10007936344,FP,0.401641845703125,0.18879437869822485,5408
flickr,C0,12345,best,1,10007936344,NearFP,0.468902587890625,0.23498168498168498,5460
flickr,C0,12345,best,1,10007936344,FarFP,0.4286956787109375,0.14216517316541535,4129
flickr,C0,12345,best,1,10007936344,HighAUDFP,0.11106418918918919,0.10703125,1280
flickr,C0,12345,best,2,10008553263,FP,0.711273193359375,0.7636730575176589,4955
flickr,C0,12345,best,2,10008553263,NearFP,0.6532745361328125,0.8523512556885219,5933
flickr,C0,12345,best,2,10008553263,FarFP,0.687469482421875,0.4998740236835475,3969
flickr,C0,12345,best,2,10008553263,HighAUDFP,0.5038034539473685,0.8367016976556184,2474
flickr,C0,12345,best,3,10009662863,FP,0.46624755859375,0.5069238377843719,6066
flickr,C0,12345,best,3,10009662863,NearFP,0.4143524169921875,0.4948366701791359,4745
flickr,C0,12345,best,3,10009662863,FarFP,0.5666656494140625,0.5746557139405654,8278
flickr,C0,12345,best,3,10009662863,HighAUDFP,0.3715322066326531,0.4418604651162791,3225
flickr,C0,12345,best,4,10013411946,FP,0.616180419921875,0.5358395989974938,3990
flickr,C0,12345,best,4,10013411946,NearFP,0.4516143798828125,0.5012774655084312,5871
flickr,C0,12345,best,4,10013411946,FarFP,0.78509521484375,0.6626821068360105,2677
flickr,C0,12345,best,4,10013411946,HighAUDFP,0.37578125,0.5323636363636364,1375
flickr,C0,12345,best,5,10016382545,FP,0.1602630615234375,0.12458889533758948,5169
flickr,C0,12345,best,5,10016382545,NearFP,0.3577728271484375,0.27866779089376054,4744
flickr,C0,12345,best,5,10016382545,FarFP,0.0452728271484375,0.05914085914085914,5005
flickr,C0,12345,best,5,10016382545,HighAUDFP,0.023555871212121212,0.09585889570552147,1304
flickr,C0,12345,best,6,10031203703,FP,0.479156494140625,0.2032,2500
flickr,C0,12345,best,6,10031203703,NearFP,0.542083740234375,0.21670533642691414,2155
flickr,C0,12345,best,6,10031203703,FarFP,,,0
flickr,C0,12345,best,6,10031203703,HighAUDFP,,,0
flickr,C0,12345,best,7,10035917404,FP,0.4260101318359375,0.3889819857561793,4774
flickr,C0,12345,best,7,10035917404,NearFP,0.409515380859375,0.3557968045882835,4882
flickr,C0,12345,best,7,10035917404,FarFP,0.558929443359375,0.6617988715565881,3013
flickr,C0,12345,best,7,10035917404,HighAUDFP,0.07933728448275862,0.06736242884250475,1054
flickr,C0,12345,best,8,10045181004,FP,0.8242340087890625,0.8906542056074767,5350
flickr,C0,12345,best,8,10045181004,NearFP,0.8164215087890625,0.8832432432432432,5550
