dataset,group,seed,kind,sample_index,sample_id,specific_audio_switch_spearman
vggss,C0,12345,best,0,-0BIyqJj9ZU_000030,0.24325255102040816
vggss,C0,12345,best,1,-0UuUoXQUoI_000107,-0.06813775510204083
vggss,C0,12345,best,2,-2-wdcN5vOw_000017,-0.04732142857142858
vggss,C0,12345,best,3,-23CeprtibU_000030,-0.04107142857142857
vggss,C0,12345,best,4,-2Dm0VjW8oM_000001,0.37448979591836734
vggss,C0,12345,best,5,-2sOH8XovEE_000484,-0.1517984693877551
vggss,C0,12345,best,6,-3Kv4fdm7Uk_000030,-0.07428571428571429
vggss,C0,12345,best,7,-4bPiXbovf0_000008,0.03360969387755103
vggss,C0,12345,best,8,-5CGQGSFGyg_000060,-0.08211734693877551
vggss,C0,12345,best,9,-5z9IXBJefc_000227,0.14614795918367346
vggss,C0,12345,best,10,-79qo5MUYBk_000207,-0.4329081632653061
vggss,C0,12345,best,11,-7TanrCbmME_000030,-0.6375255102040815
vggss,C0,12345,best,12,-7sg--aJdrc_000049,-0.23040816326530614
vggss,C0,12345,best,13,-7tYmeOmsRg_000058,0.0034948979591836737
vggss,C0,12345,best,14,-7tYmeOmsRg_000180,0.14639030612244897
vggss,C0,12345,best,15,-86gl1hp1Aw_000105,0.5828954081632652
vggss,C0,12345,best,16,-8cgbhIR_pw_000030,-0.3192474489795918
vggss,C0,12345,best,17,-A3zsFeU_OI_000030,-0.02942602040816325
vggss,C0,12345,best,18,-ANxUxvGASw_000010,-0.05093112244897959
vggss,C0,12345,best,19,-ByoSbgzr4M_000000,0.24987244897959182
vggss,C0,12345,best,20,-CZ1LIc8aos_000020,-0.13776785714285716
vggss,C0,12345,best,21,-Cr0WQoFQQs_000045,0.2575765306122449
vggss,C0,12345,best,22,-Cv3gOXEoxA_000040,0.363265306122449
vggss,C0,12345,best,23,-D64b_8YJK4_000046,0.02565051020408165
vggss,C0,12345,best,24,-E5o64ACjm0_000017,-0.08119897959183674
vggss,C0,12345,best,25,-FoTxwPOz3U_000000,-0.07720663265306121
vggss,C0,12345,best,26,-GOaBCyC5Js_000087,-0.02517857142857141
vggss,C0,12345,best,27,-GW1J75oAKU_000304,-0.19381377551020407
vggss,C0,12345,best,28,-HMEhGV38GM_000216,-0.05817602040816328
vggss,C0,12345,best,29,-IKnJa9U66I_000150,-0.041249999999999995
vggss,C0,12345,best,30,-Igq1W20Gi8_000000,-0.05104591836734694
vggss,C0,12345,best,31,-JGpAlLrSD0_000458,0.03065051020408162
vggss,C0,12345,best,32,-JUBdOr8Hes_000030,0.38266581632653063
vggss,C0,12345,best,33,-JUhUI_KvUI_000026,0.17293367346938773
vggss,C0,12345,best,34,-K-ccLMFE5M_000259,0.08147959183673469
vggss,C0,12345,best,35,-K1BRF6qng8_000030,0.11077806122448983
vggss,C0,12345,best,36,-KBH8YmHR-0_000050,0.16394132653061227
vggss,C0,12345,best,37,-Lmibx_Iu_E_000173,0.04911989795918367
vggss,C0,12345,best,38,-Lv13WPa4xk_000170,-0.09110969387755102
vggss,C0,12345,best,39,-N00SskHxS4_000529,0.09607142857142857
vggss,C0,12345,best,40,-NCa3eFLULw_000221,0.15385204081632653
vggss,C0,12345,best,41,-NwBdmVSg1w_000000,0.046594387755101996
vggss,C0,12345,best,42,-OAyRsvFGgc_000030,-0.7671301020408163
vggss,C0,12345,best,43,-OVb-UG8yJw_000030,0.004426020408163242
vggss,C0,12345,best,44,-PvlrLjIAYo_000009,-0.021313775510204094
vggss,C0,12345,best,45,-Q3MX7Tgx_E_000111,-0.06802295918367346
vggss,C0,12345,best,46,-RBs9pPhHY8_000030,-0.06700255102040817
vggss,C0,12345,best,47,-S-TDT5oq0Q_000290,-0.0018239795918367427
vggss,C0,12345,best,48,-SWaCArvQug_000021,-0.0884311224489796
vggss,C0,12345,best,49,-Vo4CAMX26U_000030,-0.09422193877551022
vggss,C0,12345,best,50,-W3WpZvJX2o_000027,-0.0034311224489796018
vggss,C0,12345,best,51,-Wd5YV97ftU_000320,-0.0364030612244898
vggss,C0,12345,best,52,-XwtCzUaN1I_000160,-0.3906377551020408
vggss,C0,12345,best,53,-Y-UegG9tLw_000282,0.39086734693877545
vggss,C0,12345,best,54,-YwPSwhe2jo_000030,0.22684948979591837
vggss,C0,12345,best,55,-Z1ZSWDouUU_000030,0.07414540816326529
vggss,C0,12345,best,56,-ZJqu_4zLMc_000030,-0.04169642857142858
vggss,C0,12345,best,57,-ZSgg6jFUd8_000688,0.22655612244897957
vggss,C0,12345,best,58,-_QPd-VskKY_000030,0.23059948979591835
vggss,C0,12345,best,59,-_umX4zgLVY_000028,0.17161989795918367
vggss,C0,12345,best,60,-aK9JKAGme0_000041,0.36179846938775506
vggss,C0,12345,best,61,-aK9JKAGme0_000051,-0.1029591836734694
vggss,C0,12345,best,62,-aUJLRXkj-Y_000118,-0.1623469387755102
vggss,C0,12345,best,63,-cA9HsnV1ao_000030,-0.09244897959183673
vggss,C0,12345,best,64,-d1KR2BSfHM_000065,0.1780484693877551
vggss,C0,12345,best,65,-e4wXAy1iVo_000000,-0.270625
vggss,C0,12345,best,66,-fAVezaAX18_000126,0.09297193877551016
vggss,C0,12345,best,67,-fJsZm3YRc0_000030,0.11714285714285716
vggss,C0,12345,best,68,-fPdOa99Iwg_000030,0.16598214285714286
vggss,C0,12345,best,69,-fTfRh0_RQ4_000030,-0.16989795918367348
vggss,C0,12345,best,70,-g-GjgEq8l4_000017,-0.12252551020408162
vggss,C0,12345,best,71,-gCqnkIUmp0_000140,0.1889540816326531
vggss,C0,12345,best,72,-gSfPQqi6nI_000030,0.2103188775510204
vggss,C0,12345,best,73,-hYRFCQdbLg_000030,-0.25580357142857146
vggss,C0,12345,best,74,-hedbpc8T0E_000030,-0.1848469387755102
vggss,C0,12345,best,75,-hss7xpzIVc_000030,-0.33357142857142863
vggss,C0,12345,best,76,-iF4a6f5PJ8_000000,-0.36633928571428576
vggss,C0,12345,best,77,-iF4a6f5PJ8_000060,0.04309948979591839
vggss,C0,12345,best,78,-jZENGDFArw_000080,0.14811224489795918
vggss,C0,12345,best,79,-kPDH9n0PG4_000310,0.20798469387755103
vggss,C0,12345,best,80,-kZVoaYYU6o_000000,0.11772959183673468
vggss,C0,12345,best,81,-lPXTBXa0tE_000030,0.36869897959183673
vggss,C0,12345,best,82,-mKtgDnG0oM_000030,0.06784438775510203
vggss,C0,12345,best,83,-nQ9a0P1TlY_000023,0.10196428571428573
vggss,C0,12345,best,84,-oGJwGEsIiA_000090,-0.14455357142857145
vggss,C0,12345,best,85,-oOARU0JwWE_000153,-0.05590561224489797
vggss,C0,12345,best,86,-oSzD8P2BtU_000030,0.21502551020408162
vggss,C0,12345,best,87,-ocADGlyaHc_000030,0.2593622448979591
vggss,C0,12345,best,88,-r2-9oyIzkQ_000030,-0.10080357142857144
vggss,C0,12345,best,89,-r3nM90RCNs_000161,-0.055471938775510196
vggss,C0,12345,best,90,-rTTPoBJNI4_000123,0.2439923469387755
vggss,C0,12345,best,91,-rb6uia1wSo_000190,0.16146683673469386
vggss,C0,12345,best,92,-rqhMzJRYoc_000030,0.028099489795918357
vggss,C0,12345,best,93,-t-htrAtNvM_000030,0.13809948979591835
vggss,C0,12345,best,94,-u-40BIU1HE_000003,0.08927295918367345
vggss,C0,12345,best,95,-uD3ZbhFTnk_000077,-0.10753826530612244
vggss,C0,12345,best,96,-vAtBe4LMCQ_000063,0.11395408163265307
vggss,C0,12345,best,97,-wi8kPVJLcw_000205,-0.1247448979591837
vggss,C0,12345,best,98,-wnDAPcoPsk_000030,0.015841836734693873
vggss,C0,12345,best,99,-xQbyezhw_k_000040,0.2990051020408163
vggss,C0,12345,best,100,-yicwYUKKuo_000304,-0.2126530612244898
vggss,C0,12345,best,101,-z3AAq0FK-0_000001,0.032321428571428584
vggss,C0,12345,best,102,-z4OZ7ls5Bo_000540,-0.27223214285714287
vggss,C0,12345,best,103,-zCtwbk005g_000030,-0.13316326530612246
vggss,C0,12345,best,104,-zSyfcXmHdk_001083,-0.021122448979591812
