margin_metric,outcome,n,spearman_rho,p_value,bootstrap_ci_low,bootstrap_ci_high
margin,delta_iou,5158,0.022035867827952263,0.11355661074087701,-0.005943285144191564,0.046951268242741366
margin,aud_precision,5158,-0.0022201839756159493,0.8733431617119582,-0.02826310744195782,0.021899687403760738
margin,aud_area,5158,-0.17738291244001814,9.998611104627518e-38,-0.20442038872310098,-0.1523062787013859
margin,aud_gap,5075,-0.004598215770818621,0.7432946660650102,-0.027894788719904,0.023477908827085597
margin,aud_nearfp_response,5075,0.0073913128065017835,0.598591234048282,-0.023395536589619275,0.03473963129845475
violation,delta_iou,5158,0.0007261571114097249,0.9584176171145851,-0.026291611513459583,0.02971588689952793
violation,aud_precision,5158,-0.03361895403116273,0.01575317836428631,-0.060967364314333215,-0.006155115136661381
violation,aud_area,5158,0.04044329485905289,0.003671471317170849,0.012299294461731655,0.06592137774125412
violation,aud_gap,5075,-0.011349904772961243,0.41887006854510667,-0.03787985448683068,0.012919137406349293
violation,aud_nearfp_response,5075,-0.006358395426041118,0.6506503144983656,-0.036104206442357,0.020204582785098596
softplus_loss,delta_iou,5158,-0.022035867827952263,0.11355661074087701,-0.04925068962121988,0.003337581852914966
softplus_loss,aud_precision,5158,0.0022201839756159493,0.8733431617119582,-0.02378812966511976,0.02620655661969933
softplus_loss,aud_area,5158,0.17738291244001814,9.998611104627518e-38,0.15129617263943265,0.20272471880865628
softplus_loss,aud_gap,5075,0.004598215770818621,0.7432946660650102,-0.021410025797170863,0.03378358962980314
softplus_loss,aud_nearfp_response,5075,-0.0073913128065017835,0.598591234048282,-0.03421827061708353,0.020489334076981214
normalized_margin,delta_iou,5158,0.020480752211358796,0.14136973878348438,-0.005372615222600475,0.048510788916063495
normalized_margin,aud_precision,5158,0.03163186302215162,0.023098986143622675,0.004995885040659085,0.05776187343991713
normalized_margin,aud_area,5158,-0.13299911893975053,8.621158452420934e-22,-0.1594488031343845,-0.10566414218250346
normalized_margin,aud_gap,5075,0.0045046532623583884,0.7483394315451969,-0.026330361872852853,0.033690950682887424
normalized_margin,aud_nearfp_response,5075,0.013933502800709086,0.32099612857876014,-0.011433642785865766,0.0400911831674275
