comparison,metric,left_n,left_mean,left_median,left_p10,left_p25,left_p75,left_p90,left_bootstrap_mean_ci_low,left_bootstrap_mean_ci_high,right_n,right_mean,right_median,right_p10,right_p25,right_p75,right_p90,right_bootstrap_mean_ci_low,right_bootstrap_mean_ci_high,mean_diff_left_minus_right,bootstrap_ci_low,bootstrap_ci_high,mannwhitney_p,rank_biserial
fixed Group-A vs non-Group-A positive AUD map,gt_response,428,0.7974234150252609,0.8230203986167908,0.6484200417995453,0.7506804466247559,0.8705261647701263,0.9028530716896058,0.7869159276971471,0.8070351176416484,4728,0.75994934774494,0.7612834572792053,0.629538381099701,0.6947277635335922,0.8307232409715652,0.8919743239879608,0.757300895330214,0.7629260121334136,0.03747406728032088,0.028225131639254754,0.04801099301051382,1.6527028267686489e-19,0.26330905956955575
fixed Group-A vs non-Group-A positive AUD map,nearfp_response,426,0.7339069522182706,0.7413628101348877,0.6382332146167755,0.6942631602287292,0.7874412536621094,0.8259274363517761,0.7263415250664865,0.7421950435991718,4649,0.7191065319265492,0.72533118724823,0.5892482399940491,0.6542080044746399,0.7910191416740417,0.8422258615493774,0.7163809661949596,0.7218329076412212,0.014800420291721461,0.0063568960631911085,0.02281736134429007,0.0013492004048967583,0.09368868260830499
fixed Group-A vs non-Group-A positive AUD map,background_response,428,0.4914231104689224,0.4910963475704193,0.3841829270124435,0.4429115429520607,0.5430169105529785,0.59574676156044,0.48443491545932316,0.4992623993813574,4727,0.4526928444638271,0.4510169327259063,0.32433854341506957,0.38012589514255524,0.5248643755912781,0.585183608531952,0.44954806424453553,0.4553593692422758,0.03873026600509527,0.0305774463829251,0.04751672992566427,1.3537160617973404e-16,0.24100267107430184
fixed Group-A vs non-Group-A positive AUD map,gt_nearfp_gap,426,0.06492153355773063,0.0857449471950531,-0.0473127663135528,0.036115579307079274,0.12512187659740442,0.15391004085540766,0.056697879079292045,0.07400553572590639,4649,0.043735862932145694,0.0531853437423706,-0.0752439379692077,-0.0109034776687622,0.1073851585388183,0.15396188497543328,0.04145882416185599,0.04597858595310242,0.021185670625584935,0.012104320471960492,0.03096841737747356,8.857333516498623e-11,0.18955916613901524
fixed Group-A vs non-Group-A positive AUD map,gt_nearfp_auroc,426,0.6876037326164828,0.7244873046875,0.43109130859375,0.5993232727050781,0.8288497924804688,0.894195556640625,0.6701154934695727,0.7055148973366041,4649,0.6198741090366481,0.6356201171875,0.372845458984375,0.502655029296875,0.75750732421875,0.848779296875,0.6142983516241699,0.6251826429443522,0.0677296235798347,0.051375442199511186,0.08611344436606273,2.6197416633555554e-17,0.24734836205877997
fixed Group-A vs non-Group-A positive AUD map,precision,428,0.46520162911413404,0.45021260231447424,0.2455795420685383,0.322918737660739,0.5744119181826166,0.7240298349518761,0.44688347705705256,0.48234889205799103,4730,0.5441150708486558,0.56351358374588,0.11317607628492521,0.25968398550155264,0.835932214687675,0.9502112990125794,0.5353685854390297,0.551937012589833,-0.0789134417345218,-0.09782392001605932,-0.05912890596873498,3.389612021791448e-07,-0.1486529608187943
fixed Group-A vs non-Group-A positive AUD map,coverage,428,0.8607506425616062,0.9531643986701965,0.5640926003456116,0.7965431958436966,0.9997775107622147,1.0,0.8448111932968425,0.8755725064506389,4730,0.8064442893169254,0.8318264782428741,0.5606088459491729,0.694141760468483,0.9755730181932449,1.0,0.8021436278652607,0.8105036044252463,0.054306353244680805,0.0333219709162869,0.07457231756299085,7.745026301132362e-15,0.22588221928039354
fixed Group-A vs non-Group-A positive AUD map,activated_area,428,0.4551817322650438,0.4385363520408163,0.2975286989795918,0.3589764030612244,0.5495505819515306,0.6291314572704082,0.4422845252933971,0.4666784251211436,4730,0.42803085780757866,0.411930006377551,0.2675462372448979,0.32722815688775503,0.5156997369260203,0.6147042410714286,0.4240574167303186,0.43178694252046745,0.02715087445746517,0.014718607617524655,0.03906564809408568,6.531013454229e-06,0.13140028847483753
fixed Group-A vs non-Group-A positive AUD map,entropy,428,0.9914116691219859,0.9919576187916859,0.9869893854932572,0.9897414189739383,0.9939746828996673,0.9951285641963293,0.9910518180861223,0.9917367982977467,4730,0.9901880969894928,0.9906718717665057,0.9850189200224925,0.9880286095587985,0.9929486714003557,0.9946990654778851,0.9900862701552541,0.9902972603994972,0.0012235721324930227,0.0008910354064201153,0.0015743371062853782,6.411861502500712e-12,0.20023463278733877
fixed Group-A vs non-Group-A positive AUD map,fp_area_ratio,428,0.24774648377896719,0.2375538105867347,0.10054607780612242,0.16657864317602036,0.3220663265306122,0.4140884088010204,0.2356846645136223,0.2591419441882331,4730,0.1964755730020602,0.1646105707908163,0.020390226403061207,0.06551937181122447,0.29805086096938777,0.41670918367346965,0.19220392031887076,0.20052937360280393,0.051270910776906986,0.03835220600386918,0.0630161716479476,2.9722266761695552e-18,0.25392948173322005
fixed Group-A vs non-Group-A positive AUD map,outside_inside_activation_ratio,428,1.3944850998586684,1.093391866017973,0.2560933019035758,0.6352474989421942,1.8756256439305141,2.7305580474500672,1.2850872766799448,1.5018631359037211,4730,193408002.04198357,0.6459656906961813,0.033247469095168486,0.1433990862680566,2.5039244186046528,7.182003434258495,3.019905350014965,467276964.30811536,-193408000.6474985,-503635239.713802,-1.728980047100186,2.952257985163877e-07,0.1494131710497717
