dataset,model,source,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,original_1.3g_final,counterfactual,audio_swap_spearman,0.9876314156834016,0.9902232142857144,0.983874362244898,0.9938042091836734,0.00992984693877541,0.9864839850027857,0.9886418411923333,250
flickr,original_1.3g_final,counterfactual,audio_swap_spearman_min,0.9734069387755103,0.9800510204081633,0.9656632653061225,0.9872193877551021,0.021556122448979642,0.9706820204081632,0.9760129081632651,250
flickr,original_1.3g_final,counterfactual,audio_swap_pearson,0.9925812373161316,0.9946626126766205,0.9907208979129791,0.9965769648551941,0.005856066942214966,0.9917705362081528,0.9932801464796066,250
flickr,original_1.3g_final,counterfactual,audio_swap_cosine,0.9999355916976929,0.9999469220638275,0.9999193102121353,0.9999653697013855,4.6059489250183105e-05,0.9999301632225513,0.9999406401276589,250
flickr,original_1.3g_final,counterfactual,audio_map_mae,0.00017149050225270912,0.0001599387833266519,0.00013224971917225048,0.0001992814795812592,6.703176040900871e-05,0.00016514379800719326,0.0001781169178757409,250
flickr,original_1.3g_final,counterfactual,audio_top10_jaccard,0.8455351315351315,0.840909090909091,0.7840909090909091,0.9128787878787878,0.12878787878787878,0.8339547286047286,0.8577738178488178,250
flickr,original_1.3g_final,matched_audio,gt_response,0.8059670724868775,0.8137479424476624,0.7664981931447983,0.8472030311822891,0.08070483803749084,0.7984411828637122,0.8137155508339405,250
flickr,original_1.3g_final,matched_audio,nearfp_response,0.7639529941535672,0.7624324560165405,0.7245131433010101,0.8008564412593842,0.07634329795837402,0.7560620296278946,0.7715421393151708,247
flickr,original_1.3g_final,matched_audio,farfp_response,0.7046414666537997,0.7004031836986542,0.656084343791008,0.7539027780294418,0.09781843423843384,0.6941941101339799,0.7147561956904357,158
flickr,original_1.3g_final,matched_audio,background_response,0.5169068597555161,0.5157148241996765,0.45246345549821854,0.5683090537786484,0.11584559828042984,0.5056730720818042,0.5285076688200235,250
flickr,original_1.3g_final,matched_audio,gt_nearfp_gap,0.04270621518857083,0.053158581256866455,0.0035441815853118896,0.09708172082901001,0.09353753924369812,0.033038907983766394,0.05208602603147869,247
flickr,original_1.3g_final,matched_audio,gt_vs_nearfp_auroc,0.6600211886019148,0.6843414306640625,0.5557861328125,0.7888107299804688,0.23302459716796875,0.637667379306606,0.682906817015366,247
flickr,original_1.3g_final,matched_audio,wrong_gt_response,0.809708030462265,0.8154517114162445,0.7734911292791367,0.8470255136489868,0.07353438436985016,0.8024725910007954,0.816864486670494,250
flickr,original_1.3g_final,matched_audio,wrong_nearfp_response,0.7689817989403419,0.7658936977386475,0.7279516756534576,0.8049217164516449,0.07697004079818726,0.7617210679932644,0.7761618136092718,247
flickr,original_1.3g_final,matched_audio,matched_minus_wrong_gt,5.894126166822389e-06,4.155049282417167e-06,-6.404615760402521e-06,1.7242097328562522e-05,2.3646713088965043e-05,2.6303279350031516e-06,9.052032101135409e-06,250
flickr,original_1.3g_final,matched_audio,matched_minus_wrong_nearfp,2.177314530603959e-06,2.4365053832298145e-06,-1.131005228671711e-05,1.660543421166949e-05,2.79154864983866e-05,-4.4735113386247285e-07,4.697015868311317e-06,247
flickr,original_1.3g_final,matched_audio,counterfactual_gt_nearfp_gap,3.7109541765007434e-06,2.0729657990159467e-06,-1.21080038297805e-05,1.8719065337791108e-05,3.082706916757161e-05,1.0217705008096388e-07,7.223219181800566e-06,247
flickr,original_1.3g_final,matched_audio,iou,0.6368762798827685,0.6570743255920111,0.5361422949405792,0.7453950289552775,0.20925273401469835,0.6170112299353053,0.656380552394026,250
flickr,original_1.3g_final,matched_audio,counterfactual_gt_vs_nearfp_auroc,0.5334268074427687,0.5424575805664062,0.370452880859375,0.7053031921386719,0.3348503112792969,0.5063994733742511,0.5618701347320186,247
flickr,original_1.3g_final,matched_audio,counterfactual_gt_vs_nearfp_conditional_auroc,0.4877936588266348,0.481375,0.31333193825612915,0.6571132781713312,0.3437813399152021,0.4579255867466422,0.5152581984034529,247
flickr,original_1.3g_final,matched_audio,precision,0.644890094346536,0.6586219810418947,0.5227518014207264,0.7772564533273248,0.25450465190659843,0.622979442639731,0.6656796669610257,250
flickr,original_1.3g_final,matched_audio,coverage,0.9113650997263851,0.9483132541234456,0.8570969830767197,0.9821363335735888,0.1250393504968691,0.8995700594083816,0.9220528566792797,250
flickr,original_1.3g_final,matched_audio,pred_area_ratio,0.6475452806122449,0.6493642378826531,0.5898885921556123,0.7157206632653061,0.12583207110969385,0.6356627032844387,0.6591888911033162,250
flickr,original_1.3g_final,matched_audio,fp_area_ratio,0.1905322863520408,0.17157605229591838,0.09878726881377552,0.2649673150510204,0.16618004623724486,0.1757467075892857,0.20573126793686225,250
flickr,original_1.3g_final,matched_audio,AddTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,original_1.3g_final,matched_audio,AddFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,original_1.3g_final,matched_audio,RemoveTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,original_1.3g_final,matched_audio,RemoveFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,original_1.3g_final,matched_audio,addtp_rate_vs_baseline_fn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,original_1.3g_final,matched_audio,removefp_rate_vs_baseline_fp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250
flickr,cram_c3_stage1,counterfactual,audio_swap_spearman,0.9860376530612246,0.9888966836734694,0.9843399234693878,0.992095025510204,0.0077551020408161975,0.9846090369897958,0.9873835752551021,250
flickr,cram_c3_stage1,counterfactual,audio_swap_spearman_min,0.9732444897959183,0.9793877551020408,0.9691071428571428,0.9859948979591837,0.01688775510204088,0.9704285306122448,0.9758908571428571,250
flickr,cram_c3_stage1,counterfactual,audio_swap_pearson,0.9908174865245819,0.9926222860813141,0.9889693707227707,0.9948988705873489,0.005929499864578247,0.989922951412201,0.9916748104274272,250
flickr,cram_c3_stage1,counterfactual,audio_swap_cosine,0.9998132939338684,0.9998388588428497,0.9997663050889969,0.9998801201581955,0.0001138150691986084,0.9998007663071156,0.9998254914999009,250
flickr,cram_c3_stage1,counterfactual,audio_map_mae,0.0003033966731163673,0.0002882889530155808,0.0002516927197575569,0.00034956632589455694,9.787360613700002e-05,0.000294676167871512,0.0003127902723805164,250
flickr,cram_c3_stage1,counterfactual,audio_top10_jaccard,0.8350920745920746,0.8446969696969697,0.7803030303030303,0.9090909090909092,0.1287878787878789,0.8222636103479853,0.848271313061938,250
flickr,cram_c3_stage1,matched_audio,gt_response,0.7131541931629181,0.713550329208374,0.6611090153455734,0.7606387883424759,0.09952977299690247,0.7047789174318313,0.7218368636488914,250
flickr,cram_c3_stage1,matched_audio,nearfp_response,0.6253758674932395,0.6187291145324707,0.5555984079837799,0.6921636462211609,0.13656523823738098,0.6123078523859804,0.6388809307987391,247
flickr,cram_c3_stage1,matched_audio,farfp_response,0.5179815450801125,0.5116976797580719,0.43967630714178085,0.6053246706724167,0.16564836353063583,0.49768251964138654,0.5390338201429459,158
flickr,cram_c3_stage1,matched_audio,background_response,0.37789281100034716,0.36596839129924774,0.3026377633213997,0.4354635328054428,0.13282576948404312,0.3658297865614295,0.3911178445890546,250
flickr,cram_c3_stage1,matched_audio,gt_nearfp_gap,0.08890445379593112,0.09679025411605835,0.021660268306732178,0.17385417222976685,0.15219390392303467,0.07500575322974548,0.10263505286653997,247
flickr,cram_c3_stage1,matched_audio,gt_vs_nearfp_auroc,0.6731663717996365,0.6945648193359375,0.5748367309570312,0.8060150146484375,0.23117828369140625,0.6520471163606837,0.6942158105130088,247
flickr,cram_c3_stage1,matched_audio,wrong_gt_response,0.7155684320926666,0.7187027037143707,0.6638521105051041,0.7581607550382614,0.09430864453315735,0.7067502230882644,0.7241074462711812,250
flickr,cram_c3_stage1,matched_audio,wrong_nearfp_response,0.6297183996028746,0.6212858557701111,0.5615785717964172,0.6999129056930542,0.13833433389663696,0.6170376261568021,0.6429895196999857,247
flickr,cram_c3_stage1,matched_audio,matched_minus_wrong_gt,3.880628284241538e-05,3.240239675506018e-05,-4.726297629531473e-05,0.00011670377716654912,0.00016396675346186385,1.7585964416866776e-05,6.068897539807949e-05,250
flickr,cram_c3_stage1,matched_audio,matched_minus_wrong_nearfp,-2.688532786786477e-06,-9.349168976768851e-06,-8.34933998703491e-05,8.780824282439426e-05,0.00017130164269474335,-2.1572446800345192e-05,1.591785094776724e-05,247
flickr,cram_c3_stage1,matched_audio,counterfactual_gt_nearfp_gap,4.124140943038119e-05,3.6156343412585557e-05,-7.328074934775941e-05,0.00016135763144120574,0.00023463838078896515,1.7195145492702356e-05,6.517436277982754e-05,247
flickr,cram_c3_stage1,matched_audio,iou,0.6183831997752788,0.6160101076035662,0.5429663165026763,0.7048969067413491,0.16193059023867273,0.6033263888497639,0.6344773727320088,250
flickr,cram_c3_stage1,matched_audio,counterfactual_gt_vs_nearfp_auroc,0.5393263155765825,0.5539093017578125,0.3820152282714844,0.7080497741699219,0.3260345458984375,0.5116342332551478,0.5678939800486192,247
flickr,cram_c3_stage1,matched_audio,counterfactual_gt_vs_nearfp_conditional_auroc,0.4789274506322262,0.46915704104202505,0.28613463756014157,0.671125594717366,0.3849909571572244,0.4504390022075741,0.5066943655191166,247
flickr,cram_c3_stage1,matched_audio,precision,0.7492012545570964,0.7701610737259306,0.6319013212784518,0.8908465359317315,0.2589452146532797,0.7277183058281873,0.7698937019928767,250
flickr,cram_c3_stage1,matched_audio,coverage,0.7655397488727091,0.7660003555586742,0.666876932838842,0.8672366931333666,0.20035976029452462,0.7493433102683187,0.7827122146677494,250
flickr,cram_c3_stage1,matched_audio,pred_area_ratio,0.46311256377551024,0.44973692602040816,0.3852638711734694,0.5350914779974489,0.14982760682397955,0.4501259765625,0.47563091119260203,250
flickr,cram_c3_stage1,matched_audio,fp_area_ratio,0.09446412627551021,0.07162786989795919,0.02762775031887755,0.14185566804846939,0.11422791772959184,0.08353629623724489,0.10648234813456632,250
flickr,cram_c3_stage1,matched_audio,AddTP,222.364,0.0,0.0,72.0,72.0,142.8245,317.84349999999995,250
flickr,cram_c3_stage1,matched_audio,AddFP,355.06,1.5,0.0,270.25,270.25,255.1123,459.10819999999995,250
flickr,cram_c3_stage1,matched_audio,RemoveTP,4656.144,4100.5,2263.5,6599.5,4336.0,4255.620800000001,5060.0062,250
flickr,cram_c3_stage1,matched_audio,RemoveFP,5175.376,4562.0,2515.5,7385.75,4870.25,4767.9304,5589.6084,250
