dataset,model,sample_index,sample_id,gt_response,nearfp_response,farfp_response,background_response,gt_nearfp_gap,gt_vs_nearfp_auroc,wrong_gt_response,wrong_nearfp_response,matched_minus_wrong_gt,matched_minus_wrong_nearfp,counterfactual_gt_nearfp_gap,counterfactual_gt_vs_nearfp_auroc,counterfactual_gt_vs_nearfp_conditional_auroc,counterfactual_gt_vs_nearfp_conditional_pairs,iou,precision,coverage,pred_area_ratio,fp_area_ratio,AddTP,AddFP,RemoveTP,RemoveFP,addtp_rate_vs_baseline_fn,removefp_rate_vs_baseline_fp
flickr,original_1.3g_final,0,10000130166,0.7883765697479248,0.7189038991928101,,0.5120818614959717,0.06947267055511475,0.6939239501953125,0.7761435508728027,0.7288159132003784,6.460988515755162e-06,-3.114125502179377e-05,3.760224353754893e-05,0.886962890625,0.8858510966944702,6474,0.7799756972899652,0.8256603547817764,0.8629087725880072,0.6662348533163265,0.06778140943877552,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,1,10007936344,0.8608758449554443,0.7816275954246521,0.6998811364173889,0.5971607565879822,0.07924824953079224,0.79718017578125,0.8442928791046143,0.7618107795715332,1.7436404959880747e-05,8.35945684229955e-06,9.076948117581196e-06,0.6075973510742188,0.5329136690647482,5560,0.643244233840354,0.6360341703339374,0.9748452626567211,0.769889987244898,0.2589485012755102,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,2,10008553263,0.8137784004211426,0.8238111734390259,0.7439938187599182,0.658391535282135,-0.0100327730178833,0.5892181396484375,0.8146920204162598,0.824411928653717,1.678725311649032e-06,2.066282831947319e-06,-3.8755752029828727e-07,0.5030364990234375,0.3743835971969894,7706,0.3685962111857362,0.32542278238672623,0.8814822817631807,0.7495216836734694,0.3850247130102041,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,3,10009662863,0.8750447630882263,0.7846893072128296,0.7782939672470093,0.6707623600959778,0.09035545587539673,0.7578277587890625,0.8765984773635864,0.7819545865058899,1.4181034202920273e-05,2.6120305847143754e-06,1.1569003618205898e-05,0.5939254760742188,0.375,7112,0.6527465584486593,0.6116284894576256,0.9875369938052609,0.8752790178571429,0.27804129464285715,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,4,10013411946,0.7680720090866089,0.7624324560165405,0.6516085863113403,0.5520786643028259,0.005639553070068359,0.573760986328125,0.7574316263198853,0.7405715584754944,-7.838878445909359e-06,7.430318873957731e-06,-1.526919731986709e-05,0.252288818359375,0.17240275332159435,6247,0.5230990753430599,0.5092551933794967,0.8166012186865268,0.5900231186224489,0.2064532844387755,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,5,10016382545,0.7128827571868896,0.7590025067329407,0.6999844312667847,0.5165632963180542,-0.046119749546051025,0.42047119140625,0.7196125984191895,0.7420536279678345,-5.157637133379467e-06,3.6611123505281284e-05,-4.1768762457650155e-05,0.1910858154296875,0.1627519110493398,7195,0.6273317650177264,0.6447202642421765,0.8433630289532293,0.5852798150510204,0.15407764668367346,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,6,10031203703,0.841590166091919,0.7169261574745178,,0.4920143485069275,0.12466400861740112,0.833770751953125,0.8094863295555115,0.6682676076889038,-2.7005409720004536e-05,2.5695324438856915e-05,-5.2700735977850854e-05,0.1695098876953125,0.2436830835117773,4670,0.8400152418279306,0.830364829961257,0.9720936092475354,0.7407525510204082,0.09948979591836735,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,7,10035917404,0.8182573318481445,0.7741710543632507,0.6737591028213501,0.5639892816543579,0.0440862774848938,0.7021331787109375,0.8281558752059937,0.7595637440681458,-2.4715103791095316e-05,2.474579196132254e-05,-4.946089757140726e-05,0.1495819091796875,0.3014093529788597,6244,0.681939433971851,0.7566809494277499,0.8458326768552071,0.7069913903061225,0.1520049426020408,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,8,10045181004,0.7633994221687317,0.7260112762451172,,0.5274754166603088,0.0373881459236145,0.6396942138671875,0.7826941013336182,0.7858083248138428,6.201275391504169e-05,-1.249898923560977e-05,7.451174315065145e-05,0.7948074340820312,0.749924265374129,6602,0.6421705522040332,0.7161711060637346,0.836653466540696,0.5791214923469388,0.15013153698979592,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,9,10060697266,0.7772217988967896,0.6772909760475159,,0.4380022883415222,0.09993082284927368,0.76287841796875,0.7692286968231201,0.6689701676368713,-3.44029649568256e-06,-1.2086511560482904e-06,-2.2316453396342695e-06,0.4775848388671875,0.5267841862057162,5843,0.86928011404134,0.9037049234315824,0.9319250819310251,0.6051698022959183,0.042291135204081634,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,10,10061269855,0.7054218053817749,0.7021568417549133,,0.3734907805919647,0.0032649636268615723,0.521209716796875,0.7202496528625488,0.7403240203857422,1.3896396922064014e-05,-2.8636051865760237e-05,4.253244696883485e-05,0.8552093505859375,0.8879478827361563,4605,0.6964758159998831,0.9441604248404867,0.718748585823541,0.5028898278061225,0.02112563775510204,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,11,10067897816,0.8223742246627808,0.7900528907775879,0.7211929559707642,0.6098294258117676,0.03232133388519287,0.6899871826171875,0.8376625776290894,0.7531615495681763,-4.698897828347981e-05,2.702990241232328e-05,-7.40188843337819e-05,0.08335113525390625,0.13998804542737597,8365,0.3571332926665972,0.35251270302816695,0.9412226012625966,0.6785514987244898,0.41563695790816324,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,12,10069511285,0.8512538075447083,0.820336639881134,,0.537761926651001,0.03091716766357422,0.6604232788085938,0.8429713845252991,0.8127515316009521,-1.8943337636301294e-06,-5.047077138442546e-07,-1.3896260497858748e-06,0.50537109375,0.5037418721629248,8151,0.8027168069650958,0.7909356347381205,0.9600125450838952,0.7713050063775511,0.12452168367346939,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,13,10079676496,0.8364086151123047,0.7606256604194641,,0.5350046753883362,0.07578295469284058,0.7537078857421875,0.8336817026138306,0.7537376284599304,1.1749163604690693e-05,1.0917094186879694e-05,8.320694178109989e-07,0.5431137084960938,0.5152264940997335,5254,0.7591026527932685,0.6991392089043768,0.9693342227189962,0.7663624043367347,0.1530811543367347,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,14,10080652613,0.8112080693244934,0.7183452248573303,,0.3896259367465973,0.09286284446716309,0.7784881591796875,0.8345677852630615,0.7235796451568604,-1.0271831342834048e-05,1.657294706092216e-05,-2.684477840375621e-05,0.2303314208984375,0.2578555231616456,6174,0.8630861423220973,0.8579448994787788,0.9705357142857143,0.6691446109693877,0.07364078443877552,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,15,10106776154,0.6818603277206421,0.7409039735794067,,0.4692973792552948,-0.05904364585876465,0.38958740234375,0.6848398447036743,0.6955865621566772,-2.8515170924947597e-05,1.6969512216746807e-05,-4.5484681322705e-05,0.21380615234375,0.1400800457404231,6996,0.6832728927374764,0.8608630693860533,0.7480036831856537,0.573600924744898,0.06253985969387756,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,16,10109936483,0.8778873682022095,0.8047164678573608,0.7546237707138062,0.5600290894508362,0.07317090034484863,0.73895263671875,0.8702820539474487,0.7814452052116394,-9.009475616039708e-05,-3.681211092043668e-05,-5.32826452399604e-05,0.2177886962890625,0.3141945773524721,10032,0.5154831567294006,0.4904155758177605,0.9993254844248222,0.6622887436224489,0.30506616709183676,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,17,10110769444,0.7951217889785767,0.7492428421974182,0.6787382960319519,0.5533580183982849,0.04587894678115845,0.68182373046875,0.7873710989952087,0.7556139230728149,1.4647544958279468e-05,-1.4615918189520016e-05,2.9263463147799484e-05,0.8629913330078125,0.8231594143122293,9698,0.6744996400287977,0.6587725712999943,0.95826855412814,0.7085857780612245,0.20493861607142858,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,18,10111706074,0.7440587282180786,0.7533198595046997,0.7380117774009705,0.45149940252304077,-0.009261131286621094,0.553009033203125,0.7489851713180542,0.7525831460952759,-1.2429649359546602e-05,-5.837939170305617e-06,-6.591710189240985e-06,0.3740234375,0.313140368852459,7808,0.6329745749493059,0.6644833797281807,0.7715415620959769,0.6085578762755102,0.11473612882653061,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,19,10119607346,0.7435780167579651,0.7933996915817261,0.5820332169532776,0.4980083107948303,-0.049821674823760986,0.5300445556640625,0.7596310973167419,0.7885993719100952,-2.1728883439209312e-06,1.7399026546627283e-05,-1.9571914890548214e-05,0.280181884765625,0.34796926454445665,8199,0.5694041189655951,0.5948078071471226,0.7275628087576649,0.6341079400510204,0.14399314413265307,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,20,10119736773,0.8141911029815674,0.6934674978256226,,0.3204840421676636,0.12072360515594482,0.7736378205128205,0.8095430135726929,0.6767438650131226,-4.884941517957486e-06,1.7711223335936666e-05,-2.2596164853894152e-05,0.15044070512820512,0.04795204795204795,1001,0.9629781869998904,0.8856545188769596,0.9644582281260292,0.7907764668367347,0.0011160714285714285,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,21,10129791115,0.812919557094574,0.7195054292678833,,0.49107053875923157,0.09341412782669067,0.735687255859375,0.8159841299057007,0.7189943194389343,-2.91397373075597e-05,-1.4385464965016581e-05,-1.4754272342543118e-05,0.3954010009765625,0.4482139293554181,5011,0.6873584198432229,0.7105050368922879,0.9121520794134821,0.5915377869897959,0.15068957270408162,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,22,10129813456,0.8317071199417114,0.6827523708343506,,0.5543020367622375,0.14895474910736084,0.88037109375,0.8309406042098999,0.6670289039611816,-2.9749598979833536e-05,1.5264455214492045e-05,-4.501405419432558e-05,0.1542205810546875,0.39414983164983164,4752,0.8093123229562569,0.777366075090924,0.9909713628361773,0.7288145727040817,0.1283282844387755,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,23,10163352444,0.8190754652023315,0.7179046869277954,,0.4834077060222626,0.10117077827453613,0.7574310302734375,0.8332289457321167,0.7235109806060791,1.8806877051247284e-06,1.3597113138530403e-05,-1.1716425433405675e-05,0.426239013671875,0.2271080368906456,6072,0.8064857243567148,0.8121077888519749,0.9587824133827252,0.7018694196428571,0.11226482780612244,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,24,10165890496,0.7456923723220825,0.7606513500213623,0.609229326248169,0.5094670057296753,-0.014958977699279785,0.5507659912109375,0.7563912272453308,0.7731364965438843,-3.3868382161017507e-06,-7.786698915879242e-06,4.399860699777491e-06,0.5810012817382812,0.34232982734669576,5039,0.5360557338343614,0.6593586387434555,0.729395262550621,0.4872448979591837,0.15886080994897958,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,25,10173808724,0.8137174844741821,0.7166217565536499,,0.42182204127311707,0.09709572792053223,0.774078369140625,0.8020952939987183,0.6825568675994873,-1.3185217540012673e-06,2.6829704438569024e-05,-2.814822619257029e-05,0.272918701171875,0.15577342047930284,3672,0.790263980284052,0.870212349271186,0.8788426763110307,0.7123525191326531,0.07906170280612244,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,26,10202025415,0.7795229554176331,0.689459502696991,,0.34383442997932434,0.09006345272064209,0.76971435546875,0.7719219326972961,0.6888424158096313,1.063001218426507e-05,-5.10993049829267e-06,1.573994268255774e-05,0.8121566772460938,0.6682711592458885,4986,0.86358387640524,0.939458257529816,0.893295989675577,0.6901506696428571,0.024972098214285716,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,27,10221582415,0.7640256881713867,0.6900467276573181,0.6571089029312134,0.5683366656303406,0.0739789605140686,0.7280731201171875,0.7827123403549194,0.7260423898696899,3.0587110813939944e-05,-8.407365385210142e-06,3.8994476199150085e-05,0.6998825073242188,0.6510152284263959,6304,0.66682201250534,0.732904584388606,0.8590010839656467,0.7003547512755102,0.1722138073979592,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,28,10234680056,0.763022780418396,0.7380841970443726,,0.4512774348258972,0.024938583374023438,0.6330413818359375,0.7613435983657837,0.7291713953018188,1.904973032651469e-07,1.1361928045516834e-05,-1.1171430742251687e-05,0.35715484619140625,0.3946063236205828,6452,0.7826325293434799,0.7466621546791362,0.8633065376680658,0.6478396045918368,0.05775669642857143,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,29,10246013484,0.7957853078842163,0.7073625326156616,,0.46727198362350464,0.08842277526855469,0.7513275146484375,0.8040311336517334,0.7317768335342407,2.3134789444156922e-05,-1.2089316442143172e-05,3.522410406731069e-05,0.7718048095703125,0.639216815433343,6946,0.8345762370250932,0.7430686406460296,0.9563669258603433,0.6663544323979592,0.07555404974489796,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,30,10268129763,0.8541765213012695,0.8156554698944092,,0.5587154030799866,0.03852105140686035,0.6729736328125,0.8256969451904297,0.7542847394943237,-9.417075489182025e-06,2.8099590053898282e-05,-3.7516663724090904e-05,0.177642822265625,0.20537923614846693,9295,0.6724718431559502,0.645396053760366,0.9801745852514548,0.6969467474489796,0.20998086734693877,0,0,0,0,0.0,0.0
flickr,original_1.3g_final,31,10278084464,0.772804856300354,0.8041941523551941,0.7614623308181763,0.5728750228881836,-0.03138929605484009,0.44244384765625,0.7947990894317627,0.8078429698944092,-4.6390101488213986e-05,-2.7521191441337578e-05,-1.8868910046876408e-05,0.3107147216796875,0.26439758293254406,8109,0.5673484816665967,0.5657248157248157,0.9388596714778862,0.7138073979591837,0.28164859693877553,0,0,0,0,0.0,0.0
flickr,cram_c3_stage1,0,10000130166,0.6514215469360352,0.4515222907066345,,0.22454692423343658,0.19989925622940063,0.766815185546875,0.6574634909629822,0.4739722013473511,0.00010121060768142343,-0.00012634292943403125,0.00022755353711545467,0.831451416015625,0.7012457531143828,4415,0.6407647095604327,0.971488837275442,0.6407647095604327,0.4204599808673469,0.0,0,0,8931,3401,0.0,1.0
