dataset,model,baseline,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,cram_c3_stage1,original_1.3g_final,audio_swap_spearman,-0.001593762622177079,-0.0016836734693877475,-0.005988520408163306,0.0027582908163265862,0.008746811224489892,-0.002925453948707698,-0.0002171741004965995,250
flickr,cram_c3_stage1,original_1.3g_final,audio_swap_spearman_min,-0.00016244897959183645,-0.0011224489795917947,-0.011734693877550995,0.010306122448979549,0.022040816326530543,-0.0031572551020408153,0.002899693877551022,250
flickr,cram_c3_stage1,original_1.3g_final,audio_swap_pearson,-0.0017637507915496827,-0.002000153064727783,-0.00415879487991333,0.0009208321571350098,0.00507962703704834,-0.002544948422908783,-0.0009507166147232059,250
flickr,cram_c3_stage1,original_1.3g_final,audio_swap_cosine,-0.00012229776382446288,-9.876489639282227e-05,-0.00016131997108459473,-6.595253944396973e-05,9.5367431640625e-05,-0.0001342963457107544,-0.00011131101250648499,250
flickr,cram_c3_stage1,original_1.3g_final,audio_map_mae,0.00013190617063082755,0.0001256839241250418,8.380753024539445e-05,0.00017138775729108602,8.758022704569157e-05,0.0001226628376956796,0.00014201677625314915,250
flickr,cram_c3_stage1,original_1.3g_final,audio_top10_jaccard,-0.010443056943056942,0.0,-0.09090909090909083,0.07386363636363641,0.16477272727272724,-0.025391915376290368,0.004694409756909757,250
flickr,cram_c3_stage1,original_1.3g_final,gt_response,-0.09281287932395935,-0.09215351939201355,-0.1310155838727951,-0.055379077792167664,0.07563650608062744,-0.09971091859340668,-0.08572086672782897,250
flickr,cram_c3_stage1,original_1.3g_final,nearfp_response,-0.13857712666032768,-0.14150023460388184,-0.197353333234787,-0.0860990583896637,0.11125427484512329,-0.1498618858757048,-0.1272225305980999,247
flickr,cram_c3_stage1,original_1.3g_final,farfp_response,-0.18665992157368722,-0.191059410572052,-0.2577623575925827,-0.10873836278915405,0.14902399480342865,-0.20608367164018035,-0.16736661900023497,158
flickr,cram_c3_stage1,original_1.3g_final,background_response,-0.13901404875516893,-0.1412312537431717,-0.1870630756020546,-0.09508347883820534,0.09197959676384926,-0.14819084333330393,-0.12947864636778833,250
flickr,cram_c3_stage1,original_1.3g_final,gt_nearfp_gap,0.04619823860736028,0.054086148738861084,0.0029309093952178955,0.09384021162986755,0.09090930223464966,0.03633521112654856,0.055640710139202194,247
flickr,cram_c3_stage1,original_1.3g_final,gt_vs_nearfp_auroc,0.013145183197721618,0.0167083740234375,-0.057840474446614554,0.10034942626953125,0.1581899007161458,-0.0029705404366558857,0.0288859117433288,247
flickr,cram_c3_stage1,original_1.3g_final,wrong_gt_response,-0.09413959836959838,-0.09782910346984863,-0.1242499053478241,-0.05677814781665802,0.06747175753116608,-0.10089676793217658,-0.08741169479489327,250
flickr,cram_c3_stage1,original_1.3g_final,wrong_nearfp_response,-0.1392633993374674,-0.1424371600151062,-0.19728624820709229,-0.08758199214935303,0.10970425605773926,-0.1495689608337667,-0.12867190101549694,247
flickr,cram_c3_stage1,original_1.3g_final,matched_minus_wrong_gt,3.2912156675593e-05,2.0034364752063993e-05,-5.038655262978864e-05,0.00011108246098956442,0.00016146901361935306,1.3611729185868171e-05,5.262265021101483e-05,250
flickr,cram_c3_stage1,original_1.3g_final,matched_minus_wrong_nearfp,-4.865847317390436e-06,-1.3621520338347182e-05,-9.001187390822452e-05,8.031867128011072e-05,0.00017033054518833524,-2.192950784262618e-05,1.2892823042420786e-05,247
flickr,cram_c3_stage1,original_1.3g_final,counterfactual_gt_nearfp_gap,3.7530455253880446e-05,3.4767801480484195e-05,-8.182092187780654e-05,0.00014104960064287297,0.00022287052252067951,1.4652614129271926e-05,5.936236021360402e-05,247
flickr,cram_c3_stage1,original_1.3g_final,iou,-0.01849308010748971,-0.019347147823797817,-0.10323292729377506,0.06888465682163727,0.17211758411541234,-0.033179954348497964,-0.0028126992776506565,250
flickr,cram_c3_stage1,original_1.3g_final,counterfactual_gt_vs_nearfp_auroc,0.005899508133813697,-0.01151275634765625,-0.18348312377929688,0.19372940063476562,0.3772125244140625,-0.028625847515405974,0.03924497276281599,247
