dataset,model,source,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,original_1.3g_final,counterfactual,audio_swap_spearman,0.9754615950822624,0.9824234693877552,0.969968112244898,0.9892091836734693,0.019241071428571344,0.9748657769057807,0.9760928728292274,5158
vggss,original_1.3g_final,counterfactual,audio_swap_spearman_min,0.9490743704956608,0.9646938775510204,0.9377551020408164,0.9794897959183674,0.04173469387755102,0.9476977221139081,0.9504186482190076,5158
vggss,original_1.3g_final,counterfactual,audio_swap_pearson,0.9806625528153452,0.9860159754753113,0.9760629683732986,0.9920241087675095,0.015961140394210815,0.9801923439782019,0.9811718894445352,5158
vggss,original_1.3g_final,counterfactual,audio_swap_cosine,0.9999000563460665,0.9999432563781738,0.9999047070741653,0.9999611377716064,5.6430697441101074e-05,0.9998965286902907,0.9999032961884272,5158
vggss,original_1.3g_final,counterfactual,audio_map_mae,0.00020327872621242764,0.00016905290249269456,0.00014041502436157316,0.00022294518566923216,8.2530161307659e-05,0.00020027822665096947,0.00020624001880746357,5158
vggss,original_1.3g_final,counterfactual,audio_top10_jaccard,0.8187680940059306,0.8257575757575758,0.7462121212121212,0.9090909090909092,0.16287878787878796,0.8156238973686019,0.8219439672269332,5158
vggss,original_1.3g_final,matched_audio,gt_response,0.7979034993124157,0.806538850069046,0.7369124889373779,0.8705896139144897,0.13367712497711182,0.7951484836106202,0.8005574959461036,5156
vggss,original_1.3g_final,matched_audio,nearfp_response,0.7861899683628176,0.7905629277229309,0.7422546148300171,0.8347292542457581,0.09247463941574097,0.7842471327121034,0.7879791619795297,5075
vggss,original_1.3g_final,matched_audio,farfp_response,0.7164927968198138,0.7147887349128723,0.6662565469741821,0.7687978148460388,0.10254126787185669,0.7143043299375429,0.7187177526288815,3921
vggss,original_1.3g_final,matched_audio,background_response,0.5046125020336805,0.5072184801101685,0.43807895481586456,0.5769925713539124,0.1389136165380478,0.5019613316756331,0.5072275465374919,5155
vggss,original_1.3g_final,matched_audio,gt_nearfp_gap,0.014974401860401549,0.029069066047668457,-0.029822885990142822,0.07226046919822693,0.10208335518836975,0.012724512357576727,0.017159087984139107,5075
vggss,original_1.3g_final,matched_audio,gt_vs_nearfp_auroc,0.5919623857614168,0.61248779296875,0.4657783508300781,0.7382659912109375,0.2724876403808594,0.5863811903447619,0.5976494607684466,5075
vggss,original_1.3g_final,matched_audio,wrong_gt_response,0.8024422616413899,0.8100247383117676,0.7433231920003891,0.8715774267911911,0.128254234790802,0.7998606794583846,0.8050325266336278,5156
vggss,original_1.3g_final,matched_audio,wrong_nearfp_response,0.7911243062066328,0.7962026000022888,0.7479260861873627,0.8394507169723511,0.0915246307849884,0.7893668907152609,0.7929023695629219,5075
vggss,original_1.3g_final,matched_audio,matched_minus_wrong_gt,2.9280302397199933e-05,1.4408232345886063e-05,-1.8958685359393712e-06,4.265936149749905e-05,4.455523003343842e-05,2.7769205989266136e-05,3.083889355594621e-05,5156
vggss,original_1.3g_final,matched_audio,matched_minus_wrong_nearfp,2.6502792584262593e-05,1.590460306033492e-05,-1.6994099496514536e-06,3.953931081923656e-05,4.1238720768888015e-05,2.5117467781021346e-05,2.7780950838740858e-05,5075
vggss,original_1.3g_final,matched_audio,counterfactual_gt_nearfp_gap,2.952564076389392e-06,2.0553743524942547e-06,-1.099644123314647e-05,1.5928367247397546e-05,2.6924808480544016e-05,2.0246522692974088e-06,3.8947989421446285e-06,5075
vggss,original_1.3g_final,matched_audio,iou,0.42293380826945803,0.43595364229843075,0.2301054130055559,0.6138491747525567,0.38374376174700087,0.41679678148897775,0.4289430703113887,5158
vggss,original_1.3g_final,matched_audio,counterfactual_gt_vs_nearfp_auroc,0.522942003950785,0.529205322265625,0.37847137451171875,0.6709213256835938,0.292449951171875,0.5175900067895416,0.5287175253529476,5075
vggss,original_1.3g_final,matched_audio,counterfactual_gt_vs_nearfp_conditional_auroc,0.49994010287963003,0.49723837209302324,0.33118336185336317,0.6677294465953086,0.3365460847419455,0.4938095046195373,0.5060847403560039,5073
vggss,original_1.3g_final,matched_audio,precision,0.49643870399451273,0.481153641093786,0.23492228654267283,0.7576722025462322,0.5227499160035594,0.4885655740390977,0.504411297493878,5158
vggss,original_1.3g_final,matched_audio,coverage,0.8677180259190166,0.9262695172611374,0.7853445513582873,1.0,0.2146554486417127,0.8633651967260063,0.8724880030063842,5158
vggss,original_1.3g_final,matched_audio,pred_area_ratio,0.507799509665489,0.5037667410714286,0.4017608019770408,0.6106654575892858,0.20890465561224503,0.5040174248722821,0.5115003760821621,5158
vggss,original_1.3g_final,matched_audio,fp_area_ratio,0.2572118341962851,0.23678651147959184,0.11464644451530612,0.3784329161352041,0.263786471619898,0.2526037044832898,0.2621093439924347,5158
vggss,original_1.3g_final,matched_audio,AddTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,matched_audio,AddFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,matched_audio,RemoveTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,matched_audio,RemoveFP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,matched_audio,addtp_rate_vs_baseline_fn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,original_1.3g_final,matched_audio,removefp_rate_vs_baseline_fp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5158
vggss,cram_c3_stage1,counterfactual,audio_swap_spearman,0.9733650007712137,0.9791645408163265,0.9671906887755102,0.9863743622448979,0.019183673469387763,0.9727934021004231,0.9739009554232679,5158
vggss,cram_c3_stage1,counterfactual,audio_swap_spearman_min,0.9475184761114872,0.9605102040816327,0.9351275510204081,0.9749744897959184,0.039846938775510266,0.9463115804453133,0.9486650623112247,5158
vggss,cram_c3_stage1,counterfactual,audio_swap_pearson,0.9791981769236727,0.9840987920761108,0.974365159869194,0.9901696890592575,0.015804529190063477,0.978709659328776,0.9796527942425177,5158
vggss,cram_c3_stage1,counterfactual,audio_swap_cosine,0.9997592803672932,0.9998323917388916,0.9997335821390152,0.9998816251754761,0.00014804303646087646,0.9997531245410234,0.9997653213402199,5158
vggss,cram_c3_stage1,counterfactual,audio_map_mae,0.00033283954093992407,0.000296050391625613,0.0002488539685145952,0.0003724362177308649,0.0001235822492162697,0.0003292742027430822,0.00033625521054136715,5158
vggss,cram_c3_stage1,counterfactual,audio_top10_jaccard,0.8191670720897127,0.8257575757575758,0.752039627039627,0.9090909090909092,0.15705128205128216,0.8159490954682087,0.8223281154774937,5158
vggss,cram_c3_stage1,matched_audio,gt_response,0.7309336136763552,0.7336704432964325,0.6537777632474899,0.8173402100801468,0.16356244683265686,0.7277668597166556,0.7339180464479896,5156
vggss,cram_c3_stage1,matched_audio,nearfp_response,0.7034150089771289,0.7147889137268066,0.6343256235122681,0.7796477377414703,0.14532211422920227,0.7004249571348206,0.7064072735253814,5075
