dataset,group,seed,kind,map,sample_index,sample_id,iou,precision,coverage,pred_area_ratio,tp,fp,fn,taxonomy,GT_mean,FP_mean,GT_vs_FP_auroc,NearFP_mean,GT_vs_NearFP_auroc,FarFP_mean,GT_vs_FarFP_auroc,HighAUDFP_mean,GT_vs_HighAUDFP_auroc
flickr,C1,12345,best,AUD,0,10000130166,0.6229756768586256,0.9691406060016536,0.6229756768586256,0.40977758290816324,19926.5,0.0,12059.5,GOOD,0.6375763416290283,0.49060624837875366,0.7068023681640625,0.49338993430137634,0.7036285400390625,,,,
flickr,C1,12345,best,IQR,0,10000130166,0.6143000062527356,0.9657426521183525,0.6143000062527356,0.40549266581632654,19649.0,0.0,12337.0,GOOD,0.6359848976135254,0.4986962676048279,0.6888427734375,0.5019567012786865,0.68524169921875,,,,
flickr,C1,12345,best,AUD,1,10007936344,0.6651265325844053,0.7124834212143758,0.8738692271068085,0.6160913584183674,22025.0,7910.0,3179.0,GOOD,0.7642631530761719,0.6482808589935303,0.7891693115234375,0.6678053736686707,0.7659149169921875,0.58963942527771,0.85687255859375,0.7630245089530945,0.6028645833333335
flickr,C1,12345,best,IQR,1,10007936344,0.6626015042099901,0.7072538860103627,0.8773607363910491,0.6231265943877551,22113.0,8169.0,3091.0,GOOD,0.772398829460144,0.6617569923400879,0.7811279296875,0.6793978214263916,0.759124755859375,0.6076421737670898,0.8414154052734375,0.7755689024925232,0.5893229166666666
flickr,C1,12345,best,AUD,2,10008553263,0.3883214734198409,0.38391822545936105,0.6681791990780754,0.48158482142857145,9277.0,10006.0,4607.0,OVER,0.6537063717842102,0.6529229879379272,0.51934814453125,0.7472405433654785,0.3808441162109375,0.6413649320602417,0.552490234375,0.8229208588600159,0.24258474576271186
flickr,C1,12345,best,IQR,2,10008553263,0.3864123071544076,0.39106108187005173,0.6368121578795736,0.45059390943877553,8841.5,8997.0,5042.5,MIXED,0.6340669393539429,0.6372857093811035,0.5133056640625,0.7259535789489746,0.3917083740234375,0.6337476372718811,0.5339813232421875,0.8095616698265076,0.24662341101694918
flickr,C1,12345,best,AUD,3,10009662863,0.6269072791708062,0.7366275220406314,0.7771548317126523,0.5719268176020408,21139.0,6519.0,6061.5,GOOD,0.700729489326477,0.6060253977775574,0.6827239990234375,0.6084152460098267,0.6727752685546875,0.5812618136405945,0.7419281005859375,0.7032376527786255,0.5191006397637795
flickr,C1,12345,best,IQR,3,10009662863,0.6226029623438734,0.7736259086887958,0.7394533188728148,0.5181560905612245,20113.5,5105.0,7087.0,GOOD,0.6802949905395508,0.5693670511245728,0.7079925537109375,0.5771154165267944,0.6899261474609375,0.5356159210205078,0.7685089111328125,0.6626508831977844,0.5672367125984252
flickr,C1,12345,best,AUD,4,10013411946,0.5172112564737203,0.6022231909328684,0.6734461746784022,0.41147161989795916,12433.5,5577.0,6029.0,GOOD,0.659974217414856,0.6023990511894226,0.5954132080078125,0.6850287914276123,0.4674530029296875,0.5103222727775574,0.7306060791015625,0.8807323575019836,0.115234375
flickr,C1,12345,best,IQR,4,10013411946,0.5098908805874709,0.5972792731841685,0.6694380501015572,0.4124083227040816,12359.5,5777.0,6103.0,GOOD,0.6557868719100952,0.612167239189148,0.57452392578125,0.6937206983566284,0.449188232421875,0.5169951915740967,0.717803955078125,0.8908597826957703,0.08398437500000001
flickr,C1,12345,best,AUD,5,10016382545,0.6614156809220504,0.7499570114349583,0.7770824053452116,0.4636080994897959,17445.5,3926.0,5004.5,GOOD,0.6835202574729919,0.5785727500915527,0.73858642578125,0.5921016931533813,0.70660400390625,0.5788059234619141,0.74176025390625,0.6426550149917603,0.6279296875
flickr,C1,12345,best,IQR,5,10016382545,0.6504239601149969,0.7182238296162347,0.7961247216035635,0.49595424107142855,17873.0,5029.0,4577.0,GOOD,0.6922935843467712,0.6094444990158081,0.6885833740234375,0.6132082939147949,0.66802978515625,0.6205623149871826,0.6743621826171875,0.6726213693618774,0.574462890625
flickr,C1,12345,best,AUD,6,10031203703,0.8239831291888144,0.8823820572312452,0.8983905004882043,0.6442323022959183,28523.0,2867.0,3226.0,GOOD,0.7568167448043823,0.6063315868377686,0.836212158203125,0.6029067635536194,0.8483734130859375,,,0.6258372664451599,0.7935805722891567
flickr,C1,12345,best,IQR,6,10031203703,0.832123256345758,0.8685184080195716,0.9169107688431132,0.6680086096938775,29111.0,3235.0,2638.0,GOOD,0.7740010023117065,0.6213558912277222,0.8463592529296875,0.623432993888855,0.8524322509765625,,,0.659238874912262,0.790050828313253
flickr,C1,12345,best,AUD,7,10035917404,0.7161887730358875,0.9209018629667161,0.7445564833779739,0.511360012755102,23628.5,1257.0,8106.5,GOOD,0.7073910236358643,0.5170623064041138,0.86895751953125,0.5746541619300842,0.821197509765625,0.3834308385848999,0.94964599609375,0.5890251398086548,0.8063100961538462
flickr,C1,12345,best,IQR,7,10035917404,0.6802189673028555,0.8896973449957427,0.724373719867654,0.5149473852040817,22988.0,2060.0,8747.0,GOOD,0.6991277933120728,0.5376638770103455,0.8318939208984375,0.6032580733299255,0.7675323486328125,0.3855785131454468,0.9419097900390625,0.6118244528770447,0.7587139423076923
flickr,C1,12345,best,AUD,8,10045181004,0.5940093062755436,0.8133236434108527,0.6748949685408165,0.41135204081632654,16787.0,3387.0,8086.5,GOOD,0.6981651782989502,0.6593970656394958,0.5955810546875,0.6870194673538208,0.5573577880859375,,,0.8078250288963318,0.3506610576923077
flickr,C1,12345,best,IQR,8,10045181004,0.5867211803395254,0.8161721068249258,0.6634771946046998,0.40298150510204084,16503.0,3254.0,8370.5,GOOD,0.6883202195167542,0.6569753289222717,0.5848846435546875,0.6844260692596436,0.5450286865234375,,,0.805307924747467,0.34134615384615385
flickr,C1,12345,best,AUD,9,10060697266,0.6302603348368895,0.9830048482293423,0.6334923842352821,0.3781887755102041,18653.5,151.0,10792.0,GOOD,0.6338154077529907,0.5541549921035767,0.6670074462890625,0.5558632016181946,0.665069580078125,,,,
flickr,C1,12345,best,IQR,9,10060697266,0.623647643094828,0.9668688754083061,0.6333055984785451,0.38438695790816324,18648.0,456.0,10797.5,GOOD,0.6374667286872864,0.5749339461326599,0.6367645263671875,0.5769798159599304,0.6342926025390625,,,,
flickr,C1,12345,best,AUD,10,10061269855,0.6934093541738751,0.9868330906911021,0.695292112289382,0.46544164540816324,23046.5,90.0,10100.0,GOOD,0.6671939492225647,0.5337386131286621,0.71246337890625,0.5336220264434814,0.7128143310546875,,,,
flickr,C1,12345,best,IQR,10,10061269855,0.6616733595030757,0.985970416853429,0.6636296441554915,0.4446348852040816,21997.0,98.0,11149.5,GOOD,0.6432443857192993,0.5397830605506897,0.6661834716796875,0.5397390127182007,0.665679931640625,,,,
flickr,C1,12345,best,AUD,11,10067897816,0.4325489302798269,0.41877587025853297,0.9679645531898208,0.5874123086734694,12343.0,15784.0,408.5,OVER,0.8049336671829224,0.707517683506012,0.7055206298828125,0.7985928058624268,0.5106048583984375,0.6318041086196899,0.85211181640625,0.7678725719451904,0.5708451704545454
flickr,C1,12345,best,IQR,11,10067897816,0.41515447488819207,0.40738498789346245,0.9500058816609811,0.5926339285714286,12114.0,16428.0,637.5,OVER,0.8092569708824158,0.7271496057510376,0.668670654296875,0.8073495030403137,0.4995269775390625,0.6574331521987915,0.8061981201171875,0.7877557277679443,0.5403941761363636
flickr,C1,12345,best,AUD,12,10069511285,0.7682281937059923,0.8643095030232483,0.8383409126548533,0.6163703762755102,26730.5,2910.0,5154.5,GOOD,0.7476615905761719,0.6003997325897217,0.809661865234375,0.6590762734413147,0.73626708984375,,,0.6909002065658569,0.6909981343283582
flickr,C1,12345,best,IQR,12,10069511285,0.7910978797560267,0.8785723501709567,0.8542418064920809,0.6178651147959183,27237.5,2545.0,4647.5,GOOD,0.7550615072250366,0.5839824080467224,0.843048095703125,0.6395301222801208,0.7741851806640625,,,0.6718489527702332,0.7290694962686567
flickr,C1,12345,best,AUD,13,10079676496,0.8440529696406124,0.8362621988671262,0.8836467215922407,0.5840640943877551,24507.5,1301.0,3227.0,GOOD,0.7334452867507935,0.5592875480651855,0.8412933349609375,0.5835383534431458,0.8160400390625,,,0.684765100479126,0.6721475290697674
flickr,C1,12345,best,IQR,13,10079676496,0.8690478214303928,0.830031824381373,0.9215958463285799,0.6137197066326531,25560.0,1677.0,2174.5,GOOD,0.7416023015975952,0.5706519484519958,0.85400390625,0.5926483869552612,0.8307037353515625,,,0.6777436137199402,0.7083938953488372
flickr,C1,12345,best,AUD,14,10080652613,0.8072352491397986,0.9198918094684868,0.8536893530997305,0.5489477040816326,25337.5,1708.0,4342.5,GOOD,0.7593457698822021,0.5683395266532898,0.8319549560546875,0.5564083456993103,0.8478240966796875,,,0.7186489701271057,0.6236979166666667
flickr,C1,12345,best,IQR,14,10080652613,0.8085045206223443,0.9209578223370574,0.8526617250673855,0.5476522640306123,25307.0,1621.0,4373.0,GOOD,0.7475813627243042,0.5592120885848999,0.83642578125,0.5479804277420044,0.85028076171875,,,0.7069465517997742,0.6321614583333334
flickr,C1,12345,best,AUD,15,10106776154,0.5671424710076841,0.756420380416123,0.6651320059776292,0.5804767219387755,22031.5,5723.0,11092.0,GOOD,0.662651538848877,0.7405521869659424,0.442291259765625,0.751433253288269,0.4217987060546875,,,0.843776524066925,0.29296875
flickr,C1,12345,best,IQR,15,10106776154,0.5616090350265233,0.7755762379117284,0.644044258607937,0.5481903698979592,21333.0,4862.0,11790.5,GOOD,0.6455612182617188,0.7306416034698486,0.423370361328125,0.7429904937744141,0.40228271484375,,,0.8388965129852295,0.26953125
flickr,C1,12345,best,AUD,16,10109936483,0.6539491298527443,0.6374424010112956,0.9585479519254354,0.48873963647959184,15632.0,7596.0,676.0,GOOD,0.8227663040161133,0.6431642770767212,0.8312225341796875,0.6714589595794678,0.7846450805664062,0.668810248374939,0.849273681640625,0.7209126949310303,0.7309798481308412
flickr,C1,12345,best,IQR,16,10109936483,0.6660064059339177,0.6434184275884532,0.9690336031395634,0.4894969706632653,15803.0,7420.0,505.0,GOOD,0.827379584312439,0.637506365776062,0.8499603271484375,0.669636607170105,0.7990875244140625,0.6562741994857788,0.87506103515625,0.7053552269935608,0.7667567172897197
flickr,C1,12345,best,AUD,17,10110769444,0.5748323064315416,0.6626198306626548,0.774854758203093,0.5696348852040817,18939.0,8505.0,5503.0,GOOD,0.7068294286727905,0.758347749710083,0.4504852294921875,0.8245639801025391,0.3301544189453125,0.6372044086456299,0.6675872802734375,0.634663999080658,0.681640625
flickr,C1,12345,best,IQR,17,10110769444,0.5935215843068657,0.6860062098346451,0.7773913755011865,0.5520169005102041,19001.0,7572.0,5441.0,GOOD,0.703970193862915,0.7371545433998108,0.4800872802734375,0.8025667667388916,0.3683929443359375,0.6159560680389404,0.68402099609375,0.6121326684951782,0.71484375
flickr,C1,12345,best,AUD,18,10111706074,0.6948227390558254,0.801452937460518,0.7236481861738535,0.47323421556122447,19030.5,1091.0,7267.5,GOOD,0.6609842777252197,0.49525028467178345,0.817657470703125,0.5458537340164185,0.7654571533203125,0.4376612603664398,0.8812779017857143,0.5636617541313171,0.7786458333333333
flickr,C1,12345,best,IQR,18,10111706074,0.6899992833596101,0.778354890864996,0.7322419955890181,0.49306441326530615,19256.5,1610.0,7041.5,GOOD,0.6690789461135864,0.5257479548454285,0.7874755859375,0.579301118850708,0.7357025146484375,0.4658787250518799,0.8500279017857143,0.5942723155021667,0.7734375
flickr,C1,12345,best,AUD,19,10119607346,0.3637794368846324,0.7599230214096704,0.36433885012398365,0.24854512117346939,9477.0,40.0,16534.5,UNDER,0.548198401927948,0.418379545211792,0.7041778564453125,0.45172879099845886,0.645111083984375,0.3113468885421753,0.8817291259765625,0.45562654733657837,0.6387509031791907
flickr,C1,12345,best,IQR,19,10119607346,0.381641307059117,0.7647646877883728,0.38233089210541493,0.25916772959183676,9945.0,47.0,16066.5,UNDER,0.5585749745368958,0.43700236082077026,0.6982574462890625,0.4687696397304535,0.639862060546875,0.3252928853034973,0.882293701171875,0.47582170367240906,0.629109465317919
flickr,C1,12345,best,AUD,20,10119736773,0.868015149851795,0.9239016125262912,0.868015149851795,0.6822385204081632,31627.0,0.0,4809.0,GOOD,0.7075889110565186,0.4100373089313507,0.9756610576923077,0.4100373089313507,0.9756610576923077,,,,
flickr,C1,12345,best,IQR,20,10119736773,0.8700735536282798,0.9266339296153396,0.8700735536282798,0.6818399234693877,31702.0,0.0,4734.0,GOOD,0.7096894979476929,0.40946221351623535,0.9724559294871795,0.4094622731208801,0.9724559294871795,,,,
flickr,C1,12345,best,AUD,21,10129791115,0.6475257175680145,0.7544005515898767,0.8045372953567335,0.491390306122449,18600.5,5606.0,4519.0,GOOD,0.7476504445075989,0.6042166352272034,0.747955322265625,0.5974338054656982,0.7422943115234375,,,0.7684367895126343,0.5379849137931034
flickr,C1,12345,best,IQR,21,10129791115,0.6583569892473118,0.7488649706457926,0.8275914271502411,0.5092075892857143,19133.5,5943.0,3986.0,GOOD,0.7636181712150574,0.6160774827003479,0.7623443603515625,0.6115356683731079,0.7559356689453125,,,0.7721133828163147,0.5661368534482759
flickr,C1,12345,best,AUD,22,10129813456,0.8166007266855067,0.8944073012840921,0.881390200965611,0.5633968431122449,25284.0,2276.0,3402.5,GOOD,0.7932902574539185,0.501917839050293,0.8938140869140625,0.5463569164276123,0.879547119140625,,,0.7989650964736938,0.5339133522727273
flickr,C1,12345,best,IQR,22,10129813456,0.8026424710675388,0.8991890024366295,0.8619036829170516,0.5480110012755102,24725.0,2118.0,3961.5,GOOD,0.7794650197029114,0.4896317422389984,0.8923187255859375,0.5333362221717834,0.8768768310546875,,,0.7745117545127869,0.5671164772727273
flickr,C1,12345,best,AUD,23,10163352444,0.8502977671476957,0.9332123603819457,0.8878962101275583,0.5656289859693877,26485.5,1319.0,3344.0,GOOD,0.7595445513725281,0.5026282072067261,0.892242431640625,0.5221660137176514,0.880279541015625,,,0.6191665530204773,0.7830376059322034
flickr,C1,12345,best,IQR,23,10163352444,0.8500344545760484,0.9318541161589543,0.8891030691094386,0.5672233737244898,26521.5,1371.0,3308.0,GOOD,0.7573204040527344,0.5086794495582581,0.8900909423828125,0.5276721715927124,0.878082275390625,,,0.6222952008247375,0.7815810381355931
flickr,C1,12345,best,AUD,24,10165890496,0.46885431629205526,0.8028476408231137,0.5243094047645981,0.2876474808673469,11587.5,2614.0,10513.0,UNDER,0.5971913933753967,0.5871144533157349,0.554962158203125,0.6224837899208069,0.524566650390625,0.37380120158195496,0.752734375,0.7785546183586121,0.368671875
flickr,C1,12345,best,IQR,24,10165890496,0.4701632595402902,0.8001785959609836,0.5270921472364879,0.29013871173469385,11649.0,2676.0,10451.5,UNDER,0.6030517816543579,0.5911514759063721,0.553924560546875,0.6252880096435547,0.5241241455078125,0.37844187021255493,0.7515625,0.782573938369751,0.3678906250000001
flickr,C1,12345,best,AUD,25,10173808724,0.7340130373882124,0.9222425288523369,0.769933883363472,0.5888671875,27249.5,1732.0,8142.5,GOOD,0.7173622250556946,0.5625196695327759,0.7719268798828125,0.5803260803222656,0.7584075927734375,,,0.6391817927360535,0.7150233477011494
flickr,C1,12345,best,IQR,25,10173808724,0.7242003046458492,0.9338980672770002,0.7522745253164557,0.5681800063775511,26624.5,1372.0,8767.5,GOOD,0.6909023523330688,0.5414936542510986,0.7642669677734375,0.557951807975769,0.7525482177734375,,,0.6243639588356018,0.7021821120689655
flickr,C1,12345,best,AUD,26,10202025415,0.465191879678964,0.9334939367691641,0.4734818842072024,0.36814413265306123,17243.5,649.0,19175.0,UNDER,0.6171728372573853,0.5570658445358276,0.6052093505859375,0.5618476271629333,0.596038818359375,,,0.6998319625854492,0.29261363636363635
flickr,C1,12345,best,IQR,26,10202025415,0.4626655662738625,0.9418585435716647,0.46950039128464927,0.3618064413265306,17098.5,538.0,19320.0,UNDER,0.6150335073471069,0.5421769618988037,0.626190185546875,0.547783613204956,0.6161956787109375,,,0.6880056858062744,0.3146306818181818
flickr,C1,12345,best,AUD,27,10221582415,0.4729491420701018,0.6636921965317919,0.612724089051947,0.5516581632653061,18371.0,8861.0,11611.5,MIXED,0.6100542545318604,0.7009581923484802,0.3857879638671875,0.711768388748169,0.363983154296875,0.6189405918121338,0.530517578125,0.6912828087806702,0.4091082317073172
flickr,C1,12345,best,IQR,27,10221582415,0.48691551962989793,0.6589892665474061,0.6388893521220712,0.5793207908163265,19155.5,9358.0,10827.0,MIXED,0.6365582942962646,0.7108644247055054,0.4075164794921875,0.7178064584732056,0.3938751220703125,0.648542046546936,0.5201568603515625,0.6807372570037842,0.48656631097560976
flickr,C1,12345,best,AUD,28,10234680056,0.5671779343032058,0.7706274316891015,0.6129330582627872,0.44565130739795916,17232.0,2268.0,10882.0,GOOD,0.6113964319229126,0.7256901860237122,0.3444671630859375,0.7460908889770508,0.3118743896484375,,,0.8258378505706787,0.20987215909090912
flickr,C1,12345,best,IQR,28,10234680056,0.5541975919511792,0.7681984453589392,0.597584833179199,0.4358657525510204,16800.5,2201.0,11313.5,GOOD,0.6054346561431885,0.7176997065544128,0.348297119140625,0.7379554510116577,0.3177490234375,,,0.825874924659729,0.2077414772727273
flickr,C1,12345,best,AUD,29,10246013484,0.7666106442577031,0.8252653586362174,0.7901301100931557,0.49569515306122447,20526.0,797.0,5452.0,GOOD,0.7303992509841919,0.5338762402534485,0.816558837890625,0.5429261922836304,0.8081207275390625,,,0.6583865284919739,0.6868489583333331
flickr,C1,12345,best,IQR,29,10246013484,0.7864643888534674,0.8292928893458831,0.8072022480560475,0.5039461096938775,20969.5,685.0,5008.5,GOOD,0.7394025325775146,0.5342242121696472,0.835845947265625,0.5416390895843506,0.82861328125,,,0.6502283215522766,0.7115885416666667
flickr,C1,12345,best,AUD,30,10268129763,0.7694097180078489,0.887258561164505,0.8259141839659515,0.4271763392857143,19017.5,1691.0,4008.5,GOOD,0.740856409072876,0.5265626311302185,0.85968017578125,0.5286614894866943,0.8604888916015625,,,0.6334446668624878,0.695533608490566
flickr,C1,12345,best,IQR,30,10268129763,0.7679089534551101,0.9027864520778285,0.8160991922174933,0.41483976403061223,18791.5,1445.0,4234.5,GOOD,0.7299573421478271,0.5110329389572144,0.866363525390625,0.5122405290603638,0.8671112060546875,,,0.6155165433883667,0.713222287735849
flickr,C1,12345,best,AUD,31,10278084464,0.5838735626744901,0.6167649705088474,0.8576095266779418,0.5980747767857143,18508.5,10118.0,3073.0,GOOD,0.7502009868621826,0.6931707859039307,0.6415557861328125,0.7159397602081299,0.55694580078125,0.6573818922042847,0.7603912353515625,0.7884067296981812,0.3872707201086956
flickr,C1,12345,best,IQR,31,10278084464,0.5712183966865495,0.6191714335240076,0.8275606422167134,0.5748764349489796,17860.0,9685.0,3721.5,GOOD,0.7396881580352783,0.6856889128684998,0.627777099609375,0.7077310681343079,0.5463409423828125,0.6437951326370239,0.7565460205078125,0.7815536856651306,0.37618885869565216
