dataset,group,seed,kind,map,sample_index,sample_id,iou,precision,coverage,pred_area_ratio,tp,fp,fn,taxonomy,GT_mean,FP_mean,GT_vs_FP_auroc,NearFP_mean,GT_vs_NearFP_auroc,FarFP_mean,GT_vs_FarFP_auroc,HighAUDFP_mean,GT_vs_HighAUDFP_auroc
vggss,C3,12345,best,AUD,0,-0BIyqJj9ZU_000030,0.3262367619323952,0.36817977160165366,0.7411832564271589,0.48690609056122447,8995.0,15436.0,3141.0,OVER,0.7063095569610596,0.6798595190048218,0.666046142578125,0.7519222497940063,0.5669403076171875,0.6171749830245972,0.7441864013671875,0.7400059700012207,0.6127361918604651
vggss,C3,12345,best,IQR,0,-0BIyqJj9ZU_000030,0.3450646342374654,0.38699405011313165,0.7610415293342122,0.4756457270408163,9236.0,14630.0,2900.0,OVER,0.720335066318512,0.6659563183784485,0.7002105712890625,0.7506537437438965,0.6116790771484375,0.5947045087814331,0.7712554931640625,0.7237379550933838,0.6621850775193799
vggss,C3,12345,best,AUD,1,-0UuUoXQUoI_000107,0.46608358594642946,0.561280670257331,0.7331926203877424,0.33302774234693877,9379.0,7331.0,3413.0,OVER,0.6977896094322205,0.5809447765350342,0.7335968017578125,0.5876631140708923,0.724578857421875,,,0.5746648907661438,0.7578124999999999
vggss,C3,12345,best,IQR,1,-0UuUoXQUoI_000107,0.4518732270370733,0.5469129225122832,0.7222482801751094,0.3366749043367347,9239.0,7654.0,3553.0,OVER,0.6996791958808899,0.5784683227539062,0.7363739013671875,0.5841192007064819,0.727081298828125,,,0.5754537582397461,0.7510061553030303
vggss,C3,12345,best,AUD,2,-2-wdcN5vOw_000017,0.5519572257601774,0.9387475972201685,0.5725784632034632,0.5391422193877551,25395.0,1657.0,18957.0,GOOD,0.6073814630508423,0.620888352394104,0.5294189453125,0.631263017654419,0.5184173583984375,,,0.7135158181190491,0.43495244565217395
vggss,C3,12345,best,IQR,2,-2-wdcN5vOw_000017,0.5629192438365711,0.9429426142789391,0.5827696608946609,0.5462970344387755,25847.0,1564.0,18505.0,GOOD,0.6081756353378296,0.609677791595459,0.5435867309570312,0.6204050183296204,0.53271484375,,,0.6978071331977844,0.4515964673913044
vggss,C3,12345,best,AUD,3,-23CeprtibU_000030,0.5098728698945091,0.5344485398355543,0.9172749391727494,0.49204799107142855,13195.0,11494.0,1190.0,GOOD,0.7805507779121399,0.5614489912986755,0.8233489990234375,0.7568341493606567,0.59033203125,0.43334224820137024,0.9611053466796875,0.6783969402313232,0.6850671600877193
vggss,C3,12345,best,IQR,3,-23CeprtibU_000030,0.5350762007082885,0.5558219319637911,0.9347931873479318,0.4821627869897959,13447.0,10746.0,938.0,GOOD,0.7775921821594238,0.5360952019691467,0.8452911376953125,0.7399141192436218,0.6259613037109375,0.40604686737060547,0.9736785888671875,0.6446169018745422,0.7232044956140351
vggss,C3,12345,best,AUD,4,-2Dm0VjW8oM_000001,0.46768762026940347,0.8225920180510506,0.5201533797039415,0.2826450892857143,11666.0,2516.0,10762.0,UNDER,0.6082409620285034,0.6530056595802307,0.46466064453125,0.6665146350860596,0.450836181640625,,,0.8125082850456238,0.2982047872340426
vggss,C3,12345,best,IQR,4,-2Dm0VjW8oM_000001,0.4644443555164272,0.8192277828756971,0.517478152309613,0.2823461415816326,11606.0,2561.0,10822.0,UNDER,0.6123297214508057,0.6544100642204285,0.46307373046875,0.6673694849014282,0.450103759765625,,,0.8145734667778015,0.30078125000000006
