scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels
10k,flickr,0,10000130166,_,1.1789968539233087e-06,1.0440559208291234e-06,9.561211982145323e-07,7.908279826551734e-07,1.1044321581721306e-06,1.998361369714985e-07,9.056724366018898e-07,9.779377023733105e-07,8.35277205624152e-07,7.908279826551734e-07,4.272435560892518e-08,2.0877871520497138e-07,1.6529321555935894e-07,0.75,1.0,False,0.8000311255455017,"[189, 120, 32, 145]","[""4007045926"", ""14678892718"", ""10283938426"", ""2462141223""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,1,10007936344,_,1.8542424413681147e-06,1.258250904356828e-06,1.10106407191779e-06,1.10106407191779e-06,1.5803309452167014e-06,2.0937562794642872e-07,1.2961476159034646e-06,1.452584456274053e-06,1.2095135843992466e-06,1.10106407191779e-06,7.256979017711274e-08,4.873731995758135e-08,0.0,0.875,1.0,False,0.9612658023834229,"[45, 218, 177, 67]","[""10451898725"", ""5601291878"", ""3568893693"", ""10761625676""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,2,10008553263,_,1.1385830021026777e-06,1.224779111907992e-06,8.311401984428812e-07,5.414200359155075e-07,1.0832641237357166e-06,3.569797115687834e-07,6.710414481858606e-07,7.761161668895511e-07,6.294209811130713e-07,5.414200359155075e-07,5.099216338066981e-08,5.953581307949207e-07,2.8972016252737376e-07,0.5625,0.5,False,0.5139057040214539,"[207, 39, 76, 181]","[""4965189170"", ""10409351364"", ""10952523225"", ""3727937033""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,3,10009662863,_,1.8573683746581082e-06,1.4823781384620816e-06,1.40483120958379e-06,1.2455648175091483e-06,1.6449331496914965e-06,2.489391874860303e-07,1.3824687812302727e-06,1.4592225170417805e-06,1.3142772559149307e-06,1.2455648175091483e-06,5.7071474657277577e-08,1.6810088254715083e-07,1.5926639207464177e-07,0.78125,1.0,False,0.8866005539894104,"[10, 96, 69, 76]","[""10061269855"", ""12328837165"", ""10795023275"", ""10952523225""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,4,10013411946,_,5.70485053685843e-06,6.287202722887741e-06,5.769289145973744e-06,3.7655972846550867e-06,5.778415470558684e-06,8.006975349417189e-07,4.894790436082985e-06,5.167904419067781e-06,4.506009645410813e-06,3.7655972846550867e-06,4.3584083186942735e-07,1.781193077476928e-06,2.003691861318657e-06,0.5,0.0,True,0.7166954874992371,"[109, 239, 177, 49]","[""13660204414"", ""7740990330"", ""3568893693"", ""10477544895""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,5,10016382545,_,2.30868386097427e-06,2.139868001904688e-06,1.804100861590996e-06,1.6655836816426017e-06,2.162959845009027e-06,2.813130777212791e-07,1.8042087503999937e-06,1.965647925317171e-06,1.7454724456911208e-06,1.6655836816426017e-06,5.2928672999996706e-08,3.9439555621356703e-07,1.385171799483942e-07,0.65625,0.5,False,0.8156916499137878,"[51, 220, 165, 52]","[""10520382525"", ""5697766486"", ""3012435981"", ""10545790805""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,6,10031203703,_,2.2321080450637965e-06,2.220125907115289e-06,2.03385457098193e-06,1.6281218222502503e-06,2.247749307571212e-06,2.5027611627592705e-07,1.891984879875963e-06,2.0598943137883907e-06,1.780438765308645e-06,1.6281218222502503e-06,9.329085770559686e-08,4.396871418066439e-07,4.0573274873167975e-07,0.40625,0.5,False,0.8019539713859558,"[77, 221, 245, 176]","[""10979853044"", ""5801923729"", ""9060997789"", ""3535748358""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,7,10035917404,_,4.3013037043238e-07,5.571132533077616e-07,4.7368479272336117e-07,4.555301416075963e-07,5.68831183045404e-07,7.75149047171908e-08,4.741588384149509e-07,5.055820793131716e-07,4.6682305310241645e-07,4.555301416075963e-07,7.2428276709501915e-09,9.029020020534517e-08,1.8154651115764864e-08,0.0,0.0,False,0.8379320502281189,"[200, 188, 35, 110]","[""4717096777"", ""3956341886"", ""10308472565"", ""13721325644""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,8,10045181004,_,2.2400213310902473e-06,2.3910333766252734e-06,2.082887704091263e-06,1.8032650359600666e-06,2.304296913280268e-06,2.947083714843757e-07,1.99722444449435e-06,2.127848802047083e-06,1.8648511286301073e-06,1.8032650359600666e-06,7.558921311101585e-08,5.261822479951661e-07,2.796226681311964e-07,0.46875,0.5,False,0.7799352407455444,"[223, 66, 196, 77]","[""5906878321"", ""10751849775"", ""4543136011"", ""10979853044""]","[""_"", ""_"", ""_"", ""_""]"
10k,flickr,9,10060697266,_,2.3231898467201972e-06,2.0314882931415923e-06,1.370148652313219e-06,1.0160975989492727e-06,2.1343889784475323e-06,5.542171948036412e-07,1.3845676676282892e-06,1.7144859612017171e-06,1.2686691661656369e-06,1.0160975989492727e-06,1.46206772910773e-07,7.628191269759554e-07,3.5405105336394627e-07,0.625,0.5,False,0.6245023012161255,"[10, 189, 198, 32]","[""10061269855"", ""4007045926"", ""4646464908"", ""10283938426""]","[""_"", ""_"", ""_"", ""_""]"
