scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels
144k,vggss,0,-0BIyqJj9ZU_000030,people belly laughing,2.3084097847458906e-05,3.0057286494411528e-05,1.9302735381643288e-05,1.531200177851133e-05,3.71840396837797e-05,1.563145633554086e-05,1.861298005678691e-05,2.5961453502532095e-05,1.6958747437456623e-05,1.531200177851133e-05,1.4464329751717742e-06,1.3098539056954905e-05,3.990733603131957e-06,0.21875,0.25,False,0.5642141699790955,"[4753, 1389, 2109, 1404]","[""sQ3NiBJoqtc_000112"", ""DWLJMnVOT20_000083"", ""LvpgSdHLuCY_000320"", ""Ddo9DOeh-PA_000218""]","[""playing shofar"", ""popping popcorn"", ""baby laughter"", ""people slurping""]"
144k,vggss,1,-0UuUoXQUoI_000107,playing double bass,3.488369475235231e-05,0.00012799966498278081,3.310797910671681e-05,1.4099587133387104e-05,0.0001174818753497675,9.51578767853789e-05,3.1552379368804395e-05,3.9374313928419724e-05,2.5190984160872176e-05,1.4099587133387104e-05,7.00553709975793e-06,0.00010280868445988744,1.9008391973329708e-05,0.1875,0.25,False,0.19680507481098175,"[1864, 227, 1735, 958]","[""Iy2HaWAAnvQ_000173"", ""1ACn3u5UnBw_000030"", ""HajY_r6RNy0_000090"", ""9QEm6u4bowQ_000030""]","[""train whistling"", ""male singing"", ""playing accordion"", ""playing electric guitar""]"
144k,vggss,2,-2-wdcN5vOw_000017,train whistling,1.9619226804934442e-05,2.3029006115393713e-05,1.8987440853379667e-05,4.936804089084035e-06,3.0381146643776447e-05,1.79116668732604e-05,1.2687348316831049e-05,1.7077396478271112e-05,9.408033292856999e-06,4.936804089084035e-06,2.7993560252070893e-06,1.3620972822536714e-05,1.4050636309548281e-05,0.3125,0.25,False,0.40852972865104675,"[1566, 412, 4033, 2639]","[""FndCEC7yK2g_000104"", ""39rXWSXGOyo_000080"", ""iY6gP4y8Shk_000010"", ""SJ9TY-iqD9Q_000010""]","[""airplane flyby"", ""cat purring"", ""people hiccup"", ""child singing""]"
144k,vggss,3,-23CeprtibU_000030,chainsawing trees,1.767071989888791e-05,2.8702961571980268e-05,1.143493500421755e-05,1.1049980457755737e-05,2.8034068236593157e-05,1.0251857020193711e-05,1.6142097592819482e-05,2.0790173948626034e-05,1.3618056073028129e-05,1.1049980457755737e-05,2.3800810140528483e-06,1.508490549895214e-05,3.8495454646181315e-07,0.15625,0.25,False,0.47444775700569153,"[2080, 4856, 175, 1720]","[""LUfzlkl-Dac_000001"", ""uA6Ycad4cLg_000173"", ""0glBUluF4Yk_000175"", ""HQAaW-5IwHo_000016""]","[""baby crying"", ""blowtorch igniting"", ""fox barking"", ""cricket chirping""]"
144k,vggss,4,-2Dm0VjW8oM_000001,"pigeon, dove cooing",6.037214916432276e-06,6.451339140767232e-05,2.5777411792660132e-05,1.3807192772219423e-05,8.452270412817597e-05,6.717778160236776e-05,2.2891314074513502e-05,3.564344297046773e-05,1.931585939018987e-05,1.3807192772219423e-05,3.379519057489233e-06,4.5197532017482445e-05,1.1970219020440709e-05,0.0,0.0,False,0.29940852522850037,"[686, 2493, 814, 4805]","[""6DXkv8hTM0k_000003"", ""QUte9W0g2Yo_000017"", ""7fLnFGd79-s_000018"", ""tYCgvipu3ko_000043""]","[""francolin calling"", ""eletric blender running"", ""chipmunk chirping"", ""snake rattling""]"
144k,vggss,5,-2sOH8XovEE_000484,playing table tennis,4.003878711955622e-05,4.8869624151848257e-05,2.725026206462644e-05,1.6546700862818398e-05,4.53934699180536e-05,1.680279274296481e-05,2.580613363534212e-05,3.17442900268361e-05,2.1984411432640627e-05,1.6546700862818398e-05,3.3844223708001664e-06,2.688521271920763e-05,1.0703561201808043e-05,0.40625,0.5,False,0.4498583972454071,"[1711, 994, 724, 2644]","[""HNtNFaXeYQ4_000140"", ""9jrTswHdg4I_000290"", ""6azSzS5ZjN0_000051"", ""SNhfvhWPXNc_000030""]","[""playing harp"", ""hair dryer drying"", ""disc scratching"", ""playing electric guitar""]"
144k,vggss,6,-3Kv4fdm7Uk_000030,playing steelpan,9.891873196465895e-05,0.00034748748294077814,0.0001613584317965433,3.405815004953183e-05,0.00023452610184904188,0.000134192276163958,9.358875831821933e-05,0.00015157287998590618,5.670467362506315e-05,3.405815004953183e-05,2.27317214012146e-05,0.00029078280203975737,0.00012730028538499027,0.1875,0.0,True,0.16318479180335999,"[1488, 2581, 776, 2687]","[""EUXUKCqUKyo_000005"", ""RcVJVUfXWgU_000120"", ""784FrdBASsk_000097"", ""Swien0oGl7o_000090""]","[""playing shofar"", ""playing hammond organ"", ""playing theremin"", ""playing banjo""]"
144k,vggss,7,-4bPiXbovf0_000008,air conditioning noise,2.7043646696256474e-05,3.7829999200766906e-05,1.4536840353684966e-05,7.681579518248327e-06,4.694971357821487e-05,4.0548296965425834e-05,1.2522600627562497e-05,2.0340321498224512e-05,1.0073303201352246e-05,7.681579518248327e-06,1.6430802816103096e-06,2.775669599941466e-05,6.8552608354366384e-06,0.4375,0.25,False,0.2662781774997711,"[1985, 94, 320, 4364]","[""KTHsyIQI2L0_000200"", ""-u-40BIU1HE_000003"", ""29dwfsI1XlQ_000006"", ""n1VpqsLRy1E_000006""]","[""dog growling"", ""cat hissing"", ""cat hissing"", ""gibbon howling""]"
144k,vggss,8,-5CGQGSFGyg_000060,playing electronic organ,7.66357479733415e-05,0.00017550797201693058,7.062782242428511e-05,4.225632801535539e-05,0.00020664813928306103,7.449254189850762e-05,0.00010211311018792912,0.00017062490223906934,6.80198281770572e-05,4.225632801535539e-05,2.1253064915072173e-05,0.00010748814383987337,2.837149440892972e-05,0.09375,0.25,False,0.38755977153778076,"[2791, 169, 3836, 1016]","[""UFyOGqmITjM_000000"", ""0apGJGFHQO4_000067"", ""fwFuuaK8WqE_000332"", ""9zPrLhdmgpg_000031""]","[""playing violin, fiddle"", ""playing violin, fiddle"", ""playing cornet"", ""slot machine""]"
144k,vggss,9,-5z9IXBJefc_000227,playing djembe,2.279970794916153e-05,9.728102304507047e-05,1.0194337846769486e-05,8.165564395312686e-06,0.0001092808524845168,8.717542368685827e-05,1.7340777048957534e-05,3.5834927984979004e-05,1.1911944966414012e-05,8.165564395312686e-06,3.2875186661840416e-06,8.536907989764586e-05,2.0287734514568e-06,0.15625,0.25,False,0.12244880199432373,"[1443, 2379, 3662, 4015]","[""E2DcawleYIY_000030"", ""P5tsRM1iokA_000030"", ""dpTKSxH3asA_000030"", ""iCIa_pmLDqs_000030""]","[""playing electronic organ"", ""playing steel guitar, slide guitar"", ""playing electronic organ"", ""playing banjo""]"
