scale,dataset,sample_id,sample_index,rank,candidate_index,candidate_id,candidate_label,distance,is_same_label,is_random4
10k,flickr,10000130166,0,1,189,4007045926,_,7.908279826551734e-07,True,False
10k,flickr,10000130166,0,2,120,14678892718,_,8.138311500260897e-07,True,False
10k,flickr,10000130166,0,3,32,10283938426,_,8.315182640217245e-07,True,False
10k,flickr,10000130166,0,4,145,2462141223,_,9.049312552633637e-07,True,False
10k,flickr,10007936344,1,1,45,10451898725,_,1.10106407191779e-06,True,True
10k,flickr,10007936344,1,2,218,5601291878,_,1.1879965313710272e-06,True,True
10k,flickr,10007936344,1,3,177,3568893693,_,1.260433691641083e-06,True,False
10k,flickr,10007936344,1,4,67,10761625676,_,1.288560156353924e-06,True,True
10k,flickr,10008553263,2,1,207,4965189170,_,5.414200359155075e-07,True,False
10k,flickr,10008553263,2,2,39,10409351364,_,6.522894295812875e-07,True,False
10k,flickr,10008553263,2,3,76,10952523225,_,6.594826231776096e-07,True,False
10k,flickr,10008553263,2,4,181,3727937033,_,6.644918926212995e-07,True,False
10k,flickr,10009662863,3,1,10,10061269855,_,1.2455648175091483e-06,True,False
10k,flickr,10009662863,3,2,96,12328837165,_,1.2711409453913802e-06,True,False
10k,flickr,10009662863,3,3,69,10795023275,_,1.360419332741003e-06,True,False
10k,flickr,10009662863,3,4,76,10952523225,_,1.379984041705029e-06,True,False
10k,flickr,10013411946,4,1,109,13660204414,_,3.7655972846550867e-06,True,False
10k,flickr,10013411946,4,2,239,7740990330,_,4.6591603677370586e-06,True,False
10k,flickr,10013411946,4,3,177,3568893693,_,4.710971097665606e-06,True,False
10k,flickr,10013411946,4,4,49,10477544895,_,4.888310741080204e-06,True,False
10k,flickr,10016382545,5,1,51,10520382525,_,1.6655836816426017e-06,True,False
10k,flickr,10016382545,5,2,220,5697766486,_,1.7320166989520658e-06,True,False
10k,flickr,10016382545,5,3,165,3012435981,_,1.7801886542656575e-06,True,False
10k,flickr,10016382545,5,4,52,10545790805,_,1.804100861590996e-06,True,True
10k,flickr,10031203703,6,1,77,10979853044,_,1.6281218222502503e-06,True,False
10k,flickr,10031203703,6,2,221,5801923729,_,1.7919413721756428e-06,True,False
10k,flickr,10031203703,6,3,245,9060997789,_,1.82286680683319e-06,True,False
10k,flickr,10031203703,6,4,176,3535748358,_,1.8788249462886597e-06,True,False
10k,flickr,10035917404,7,1,200,4717096777,_,4.555301416075963e-07,True,False
10k,flickr,10035917404,7,2,188,3956341886,_,4.6547461352020036e-07,True,False
10k,flickr,10035917404,7,3,35,10308472565,_,4.7260255087167025e-07,True,False
10k,flickr,10035917404,7,4,110,13721325644,_,4.7368479272336117e-07,True,True
10k,flickr,10045181004,8,1,223,5906878321,_,1.8032650359600666e-06,True,False
10k,flickr,10045181004,8,2,66,10751849775,_,1.822890453695436e-06,True,False
10k,flickr,10045181004,8,3,196,4543136011,_,1.8393574237052235e-06,True,False
10k,flickr,10045181004,8,4,77,10979853044,_,1.993891601159703e-06,True,False
10k,flickr,10060697266,9,1,10,10061269855,_,1.0160975989492727e-06,True,False
10k,flickr,10060697266,9,2,189,4007045926,_,1.343573217127414e-06,True,False
10k,flickr,10060697266,9,3,198,4646464908,_,1.3448569688989664e-06,True,False
10k,flickr,10060697266,9,4,32,10283938426,_,1.370148652313219e-06,True,True
10k,flickr,10061269855,10,1,12,10069511285,_,3.323382998132729e-06,True,True
10k,flickr,10061269855,10,2,215,5344317532,_,3.453264525887789e-06,True,False
10k,flickr,10061269855,10,3,131,16101081359,_,3.679439259940409e-06,True,False
10k,flickr,10061269855,10,4,181,3727937033,_,3.8060427414166043e-06,True,False
10k,flickr,10067897816,11,1,77,10979853044,_,1.806192926778749e-06,True,False
10k,flickr,10067897816,11,2,54,10549911663,_,1.8090631783707067e-06,True,True
10k,flickr,10067897816,11,3,98,12444360833,_,1.9023531194761745e-06,True,False
10k,flickr,10067897816,11,4,195,4479260803,_,1.9429749045229983e-06,True,False
10k,flickr,10069511285,12,1,192,4303617148,_,1.1029986808352987e-06,True,False
10k,flickr,10069511285,12,2,241,8250285374,_,1.1156108712384594e-06,True,False
10k,flickr,10069511285,12,3,232,6755812421,_,1.120757019634766e-06,True,False
10k,flickr,10069511285,12,4,116,14414061986,_,1.1236568298045313e-06,True,False
10k,flickr,10079676496,13,1,216,5480070309,_,3.0115704703348456e-06,True,False
10k,flickr,10079676496,13,2,169,3202731977,_,3.0907144719094504e-06,True,False
10k,flickr,10079676496,13,3,160,2897081671,_,3.3323385650874116e-06,True,False
10k,flickr,10079676496,13,4,112,14062380939,_,3.403972641535802e-06,True,False
10k,flickr,10080652613,14,1,79,11002352834,_,1.230615339409269e-06,True,False
10k,flickr,10080652613,14,2,132,16369370669,_,1.4267579899751581e-06,True,False
10k,flickr,10080652613,14,3,92,12048726756,_,1.4401773569261422e-06,True,False
10k,flickr,10080652613,14,4,123,14778198185,_,1.5001381825641147e-06,True,False
10k,flickr,10106776154,15,1,59,10635080206,_,8.911418376555957e-07,True,False
10k,flickr,10106776154,15,2,90,12015590114,_,9.720487241793307e-07,True,False
10k,flickr,10106776154,15,3,122,14742398172,_,9.80211325440905e-07,True,False
10k,flickr,10106776154,15,4,242,8294094053,_,1.0192022728006123e-06,True,False
10k,flickr,10109936483,16,1,77,10979853044,_,3.525744887156179e-06,True,False
10k,flickr,10109936483,16,2,5,10016382545,_,3.790063374253805e-06,True,False
10k,flickr,10109936483,16,3,168,3109408703,_,3.859453045151895e-06,True,False
10k,flickr,10109936483,16,4,46,10468313544,_,4.160047865298111e-06,True,False
10k,flickr,10110769444,17,1,83,11101358996,_,1.2035596910209279e-06,True,False
10k,flickr,10110769444,17,2,98,12444360833,_,1.208009393849352e-06,True,False
10k,flickr,10110769444,17,3,53,10548273474,_,1.2615939795068698e-06,True,False
10k,flickr,10110769444,17,4,81,11050409385,_,1.3705995343116228e-06,True,False
10k,flickr,10111706074,18,1,19,10119607346,_,3.472202024568105e-06,True,False
10k,flickr,10111706074,18,2,206,4957886467,_,3.917506546713412e-06,True,False
10k,flickr,10111706074,18,3,116,14414061986,_,4.023797828267561e-06,True,False
10k,flickr,10111706074,18,4,36,10369815925,_,4.153498593950644e-06,True,False
10k,flickr,10119607346,19,1,84,11154049584,_,8.800034265732393e-07,True,False
10k,flickr,10119607346,19,2,59,10635080206,_,9.097470865526702e-07,True,False
10k,flickr,10119607346,19,3,134,16563757295,_,9.323122185378452e-07,True,False
10k,flickr,10119607346,19,4,18,10111706074,_,9.691378863863065e-07,True,False
10k,flickr,10119736773,20,1,222,5873098388,_,4.1655420091046835e-07,True,False
10k,flickr,10119736773,20,2,248,9636000842,_,4.2212113271489216e-07,True,False
