scale,dataset,metric,n,mean,median,p25,p75,p90,p95,bootstrap_mean_ci_low,bootstrap_mean_ci_high
144k,vggss,d_pos,5158,4.327812636877078e-05,2.9388981602096464e-05,1.707946239548619e-05,5.278443768474972e-05,8.897989828255961e-05,0.000122123212349755,4.1991308941928495e-05,4.460833280649582e-05
144k,vggss,current_random4_mean,5158,7.500479491104587e-05,5.2460964070633054e-05,3.2875434953894e-05,8.7620255726506e-05,0.00014714166172777,0.00020614226959871478,7.29733417864451e-05,7.716822754057804e-05
144k,vggss,current_random4_min,5158,3.714550401717938e-05,2.5011356228787918e-05,1.4540289384967764e-05,4.3117152927152354e-05,7.417649248964153e-05,0.00010418257697886995,3.597841876260793e-05,3.841428901800478e-05
144k,vggss,pool_min,5158,1.8220017244808105e-05,1.3075443803245435e-05,8.187406365323113e-06,2.1764549273939338e-05,3.552893394953571e-05,4.951016417180648e-05,1.7751080609871832e-05,1.871407690591274e-05
144k,vggss,pool_mean,5158,7.50913637334293e-05,5.4364389143302105e-05,3.480218038021121e-05,8.66993868839927e-05,0.0001419013889971401,0.00020077431909155963,7.308496630936821e-05,7.715402928952e-05
144k,vggss,pool_std,5158,4.073825874496517e-05,2.8551265131682158e-05,1.7923882751347264e-05,4.712879945145688e-05,8.213850960601122e-05,0.00011189836404807498,3.961961972254008e-05,4.188585569797046e-05
144k,vggss,top4_mean,5158,2.419995870463558e-05,1.7832278899732046e-05,1.143597637565108e-05,2.8661580927291652e-05,4.610468822647818e-05,6.47016597213223e-05,2.358835526751448e-05,2.482099453262234e-05
144k,vggss,opportunity_gap_mean,5158,5.0804836194379835e-05,3.2128451493917964e-05,1.844853068178054e-05,5.792992942588171e-05,0.00010509668572918003,0.00015462690425917,4.919285115554031e-05,5.2623462284303374e-05
144k,vggss,opportunity_gap_min,5158,1.8925486787139853e-05,9.723576567921556e-06,3.2492609989276384e-06,2.1390753772720927e-05,4.306021655793303e-05,6.49239449558081e-05,1.7978762000353986e-05,1.993372670714806e-05
144k,vggss,violation_fraction_pool,5158,0.3020247673516867,0.21875,0.0625,0.46875,0.71875,0.84375,0.294741633142691,0.30950238101008143
144k,vggss,random4_violation_fraction,5158,0.30283055447848,0.25,0.0,0.5,0.75,1.0,0.29429890461419156,0.3117499515316014
144k,vggss,missed_confusing_negative,5158,0.29371849554090734,0.0,0.0,1.0,1.0,1.0,0.2811167119038387,0.30613125242341993
144k,flickr,d_pos,250,2.232065439329635e-05,1.6343084098480176e-05,8.9343134277442e-06,2.6152469217777252e-05,4.501907387748361e-05,6.077310445107284e-05,1.9596133338222215e-05,2.5361352782144985e-05
144k,flickr,current_random4_mean,250,3.0817684370047374e-05,2.0364874217193574e-05,1.3751538517681182e-05,3.0836969017400406e-05,6.863184826215728e-05,9.54485960392048e-05,2.7062491540799968e-05,3.485224723735581e-05
144k,flickr,current_random4_min,250,1.8936769093214302e-05,1.2017750577797415e-05,7.664805480089854e-06,1.9119310763926478e-05,4.13052192016039e-05,5.5265651462832464e-05,1.6504712907555316e-05,2.1583361793805398e-05
144k,flickr,pool_min,250,1.1809663781150449e-05,7.2810057645256165e-06,4.633330490833032e-06,1.3753523035120452e-05,2.2569279281015035e-05,4.019097068521659e-05,1.029300505416586e-05,1.3463359540298824e-05
144k,flickr,pool_mean,250,3.040702883663267e-05,2.067651894321898e-05,1.4490814010059692e-05,3.416982326598372e-05,6.509869635920038e-05,8.543479052605104e-05,2.6995175190494457e-05,3.401840118076288e-05
144k,flickr,pool_std,250,1.2731236176477977e-05,8.375320703635225e-06,5.517317276826361e-06,1.4221339370124042e-05,2.8401253439369607e-05,3.900239626091201e-05,1.1250033384260406e-05,1.4304572948412898e-05
144k,flickr,top4_mean,250,1.4293546483713508e-05,9.7614329206408e-06,5.961284955446899e-06,1.6290727671730565e-05,2.625219894980546e-05,4.476002213777974e-05,1.253261370125074e-05,1.6187840188524e-05
144k,flickr,opportunity_gap_mean,250,1.6524137895885008e-05,1.0620849479892058e-05,6.072579594729177e-06,1.729036375763826e-05,3.741627915587742e-05,5.5711095774313396e-05,1.4263903001960816e-05,1.9187728105588697e-05
144k,flickr,opportunity_gap_min,250,7.127105297058733e-06,3.8005402984708785e-06,1.2661846540140689e-06,8.195846021408215e-06,1.8783073392114603e-05,2.7128906458528943e-05,5.94242833270755e-06,8.380933198304775e-06
144k,flickr,violation_fraction_pool,250,0.348125,0.28125,0.09375,0.5625,0.8125,0.90625,0.311875,0.38575
144k,flickr,random4_violation_fraction,250,0.348,0.25,0.0,0.5,1.0,1.0,0.304,0.391
144k,flickr,missed_confusing_negative,250,0.304,0.0,0.0,1.0,1.0,1.0,0.248,0.364
10k,vggss,d_pos,5158,2.9180185627363522e-05,2.09406161957304e-05,1.2208330417706748e-05,3.643960189947393e-05,5.8483647080720416e-05,7.896268652984872e-05,2.8396065671742906e-05,2.9957129992971118e-05
10k,vggss,current_random4_mean,5158,4.278083055438305e-05,3.4886512366938405e-05,2.2697337044519372e-05,5.306305502017494e-05,7.974443215061911e-05,9.798540049814615e-05,4.194956409358399e-05,4.36289644786822e-05
10k,vggss,current_random4_min,5158,2.03834357370147e-05,1.5764672752993647e-05,9.600626299288706e-06,2.555032006057445e-05,3.946770666516387e-05,5.033158467995233e-05,1.9917010195787922e-05,2.0869964834738552e-05
10k,vggss,pool_min,5158,1.0335597612873106e-05,8.304491075250553e-06,5.351583354240574e-06,1.2801199773093686e-05,1.944907180586597e-05,2.4278536329802574e-05,1.0116858694723167e-05,1.0560603232981278e-05
10k,vggss,pool_mean,5158,4.272093015526155e-05,3.636898509284947e-05,2.516580207156949e-05,5.206139940128196e-05,7.41614232538268e-05,9.140082911471833e-05,4.1989715030753486e-05,4.347850024444046e-05
10k,vggss,pool_std,5158,2.520016729167056e-05,2.0444961592147592e-05,1.3650276969201512e-05,3.131350695184665e-05,4.6738215678487906e-05,5.728489086322945e-05,2.470968307424804e-05,2.569954177292424e-05
10k,vggss,top4_mean,5158,1.37561659909294e-05,1.1242132131883409e-05,7.650975703654694e-06,1.6984953163046157e-05,2.4909956300689378e-05,3.0728166893823056e-05,1.3483007180842092e-05,1.4035965626510372e-05
10k,vggss,opportunity_gap_mean,5158,2.902466454670388e-05,2.1991000721754972e-05,1.2836394034820842e-05,3.659980575321242e-05,5.81046857405454e-05,7.548644134658387e-05,2.833774287081505e-05,2.9713860532076168e-05
10k,vggss,opportunity_gap_min,5158,1.0047838120780457e-05,6.322631179500604e-06,2.036346131717437e-06,1.3274739103508182e-05,2.3351712661678904e-05,3.162964330840622e-05,9.673700870981273e-06,1.0410558647278785e-05
10k,vggss,violation_fraction_pool,5158,0.3443679720822024,0.28125,0.125,0.53125,0.78125,0.875,0.33713391212679333,0.35157219367972087
10k,vggss,random4_violation_fraction,5158,0.34611283443195034,0.25,0.0,0.5,0.75,1.0,0.33685415858860024,0.3552733617681272
10k,vggss,missed_confusing_negative,5158,0.26599457153935635,0.0,0.0,1.0,1.0,1.0,0.2541682822799535,0.27801473439317564
10k,flickr,d_pos,250,3.7548325578882215e-06,3.0878491088515148e-06,1.634282142504162e-06,5.400306804403954e-06,7.251811757669202e-06,8.797089412837522e-06,3.4349948984015555e-06,4.086470995969193e-06
10k,flickr,current_random4_mean,250,3.748903562268424e-06,3.031896312677418e-06,1.6371572542084325e-06,5.5846012401161715e-06,7.473673804270219e-06,8.961673211160815e-06,3.4199189153042654e-06,4.089258753506897e-06
10k,flickr,current_random4_min,250,3.2002266508470713e-06,2.498019625818415e-06,1.3406950074568158e-06,4.4422347400541184e-06,6.368098547682165e-06,8.060194159043017e-06,2.9089706585494924e-06,3.4875348887823065e-06
10k,flickr,pool_min,250,2.779215122700407e-06,2.2762380922358716e-06,1.1500119114771223e-06,3.6096794815421167e-06,5.5509943649667545e-06,6.793878765165568e-06,2.5256174223159178e-06,3.037893251018886e-06
10k,flickr,pool_mean,250,3.721072219718735e-06,3.108560918008152e-06,1.6392985742186283e-06,5.5302783721344895e-06,7.368932892859447e-06,8.778468463788157e-06,3.3996855427716357e-06,4.058013341634137e-06
10k,flickr,pool_std,250,5.306391923340925e-07,4.2330631799814e-07,2.4927341968350447e-07,7.351394373245057e-07,1.0039165999842226e-06,1.1919764574486179e-06,4.868941072786015e-07,5.777975209859676e-07
10k,flickr,top4_mean,250,2.9452963594280845e-06,2.392416263319319e-06,1.2491193785990615e-06,3.904284767486388e-06,5.957908206255524e-06,7.357127060458879e-06,2.676196460728875e-06,3.224246799102559e-06
10k,flickr,opportunity_gap_mean,250,8.036072028403396e-07,6.150609692667786e-07,3.024996146905323e-07,1.114009307912056e-06,1.6698308627383082e-06,2.136206376235349e-06,7.218648572688834e-07,8.899053390891254e-07
10k,flickr,opportunity_gap_min,250,4.2101152826035105e-07,2.5480522936049965e-07,8.210927404661562e-08,5.993157969896856e-07,1.0160509191337042e-06,1.4636839637205402e-06,3.594149258873358e-07,4.861393679931325e-07
10k,flickr,violation_fraction_pool,250,0.5465,0.5625,0.3125,0.78125,0.90625,0.96875,0.51,0.581625
10k,flickr,random4_violation_fraction,250,0.536,0.5,0.25,0.75,1.0,1.0,0.492,0.58
10k,flickr,missed_confusing_negative,250,0.148,0.0,0.0,0.0,1.0,1.0,0.104,0.192
