dataset,sample_id,candidate_set,anchor_candidate_audio_cosine,candidate_pairwise_audio_cosine,unique_candidate_count,same_video_or_self_count,semantic_class_available,same_semantic_class_rate,unique_semantic_class_count
flickr,10000130166,random4,0.59380805,0.547033,4,0,False,,
flickr,10007936344,random4,0.48741466,0.7077171,4,0,False,,
flickr,10008553263,random4,0.6192126,0.6688712,4,0,False,,
flickr,10009662863,random4,0.6182259,0.6015331,4,0,False,,
flickr,10013411946,random4,0.67860305,0.61109227,4,0,False,,
flickr,10016382545,random4,0.5601741,0.5947668,4,0,False,,
flickr,10031203703,random4,0.66632223,0.6513142,4,0,False,,
flickr,10035917404,random4,0.58311015,0.53830093,4,0,False,,
flickr,10045181004,random4,0.5187113,0.60435873,4,0,False,,
flickr,10060697266,random4,0.69698274,0.6157716,4,0,False,,
flickr,10061269855,random4,0.4752984,0.5938497,4,0,False,,
flickr,10067897816,random4,0.53198785,0.57631874,4,0,False,,
flickr,10069511285,random4,0.6622739,0.6595952,4,0,False,,
flickr,10079676496,random4,0.6549848,0.7035794,4,0,False,,
flickr,10080652613,random4,0.53606075,0.6684346,4,0,False,,
flickr,10106776154,random4,0.62075114,0.5298149,4,0,False,,
flickr,10109936483,random4,0.5710782,0.5258482,4,0,False,,
flickr,10110769444,random4,0.67714953,0.5711369,4,0,False,,
flickr,10111706074,random4,0.6246004,0.52592176,4,0,False,,
flickr,10119607346,random4,0.61253315,0.58443916,4,0,False,,
flickr,10119736773,random4,0.58091235,0.59355634,4,0,False,,
flickr,10129791115,random4,0.57362294,0.66161394,4,0,False,,
flickr,10129813456,random4,0.6490431,0.69216913,4,0,False,,
flickr,10163352444,random4,0.6378183,0.5578998,4,0,False,,
flickr,10165890496,random4,0.64976895,0.60576755,4,0,False,,
flickr,10173808724,random4,0.55856943,0.5412885,4,0,False,,
flickr,10202025415,random4,0.7035737,0.6672514,4,0,False,,
flickr,10221582415,random4,0.4989094,0.64640886,4,0,False,,
flickr,10234680056,random4,0.607095,0.52648497,4,0,False,,
flickr,10246013484,random4,0.7582255,0.78186864,4,0,False,,
flickr,10268129763,random4,0.593573,0.49995264,4,0,False,,
flickr,10278084464,random4,0.5771638,0.6216106,4,0,False,,
flickr,10283938426,random4,0.6229484,0.6765329,4,0,False,,
flickr,10289643764,random4,0.65391064,0.6350761,4,0,False,,
flickr,10304554474,random4,0.68581975,0.51394325,4,0,False,,
flickr,10308472565,random4,0.5965597,0.57451624,4,0,False,,
flickr,10369815925,random4,0.74343896,0.7234838,4,0,False,,
flickr,10389014583,random4,0.571833,0.7390363,4,0,False,,
flickr,10409146004,random4,0.57363164,0.5300608,4,0,False,,
flickr,10409351364,random4,0.52592146,0.5917141,4,0,False,,
flickr,10413912845,random4,0.6624943,0.52808374,4,0,False,,
flickr,10437048305,random4,0.6169341,0.64793015,4,0,False,,
flickr,10440265465,random4,0.5860664,0.71912104,4,0,False,,
flickr,10441843213,random4,0.6397679,0.69009185,4,0,False,,
flickr,10446128125,random4,0.41711274,0.59596676,4,0,False,,
flickr,10451898725,random4,0.5344836,0.55643946,4,0,False,,
flickr,10468313544,random4,0.6048237,0.6088072,4,0,False,,
flickr,10476442285,random4,0.51534975,0.627127,4,0,False,,
flickr,10476446674,random4,0.5926534,0.60304075,4,0,False,,
flickr,10477544895,random4,0.5952292,0.66461796,4,0,False,,
flickr,10481128583,random4,0.69692886,0.71525097,4,0,False,,
flickr,10520382525,random4,0.6700539,0.6359001,4,0,False,,
flickr,10545790805,random4,0.65574557,0.7083866,4,0,False,,
flickr,10548273474,random4,0.5534602,0.5180406,4,0,False,,
