dataset,sample_id,candidate_set,anchor_candidate_audio_cosine,candidate_pairwise_audio_cosine,unique_candidate_count,same_video_or_self_count,semantic_class_available,same_semantic_class_rate,unique_semantic_class_count
vggss,-0BIyqJj9ZU_000030,random4,0.6498652,0.5927506,4,0,True,0.0,4
vggss,-0UuUoXQUoI_000107,random4,0.5331739,0.53156,4,0,True,0.0,4
vggss,-2-wdcN5vOw_000017,random4,0.60985845,0.62253046,4,0,True,0.0,4
vggss,-23CeprtibU_000030,random4,0.5244015,0.57775986,4,0,True,0.0,4
vggss,-2Dm0VjW8oM_000001,random4,0.585359,0.5638957,4,0,True,0.0,4
vggss,-2sOH8XovEE_000484,random4,0.55732733,0.5126967,4,0,True,0.0,4
vggss,-3Kv4fdm7Uk_000030,random4,0.46943495,0.5561869,4,0,True,0.0,4
vggss,-4bPiXbovf0_000008,random4,0.6018582,0.57584953,4,0,True,0.0,4
vggss,-5CGQGSFGyg_000060,random4,0.6375623,0.6291674,4,0,True,0.0,4
vggss,-5z9IXBJefc_000227,random4,0.5199169,0.6001827,4,0,True,0.0,4
vggss,-79qo5MUYBk_000207,random4,0.5502106,0.5527846,4,0,True,0.0,4
vggss,-7TanrCbmME_000030,random4,0.54765713,0.65760475,4,0,True,0.0,4
vggss,-7sg--aJdrc_000049,random4,0.55456644,0.53708607,4,0,True,0.0,4
vggss,-7tYmeOmsRg_000058,random4,0.56019545,0.5403084,4,0,True,0.0,4
vggss,-7tYmeOmsRg_000180,random4,0.5936713,0.5795818,4,0,True,0.0,4
vggss,-86gl1hp1Aw_000105,random4,0.6858457,0.63666934,4,0,True,0.0,4
vggss,-8cgbhIR_pw_000030,random4,0.6410663,0.6213178,4,0,True,0.25,4
vggss,-A3zsFeU_OI_000030,random4,0.69497156,0.6254678,4,0,True,0.0,4
vggss,-ANxUxvGASw_000010,random4,0.5392566,0.5522332,4,0,True,0.0,4
vggss,-ByoSbgzr4M_000000,random4,0.6136258,0.51323515,4,0,True,0.0,4
vggss,-CZ1LIc8aos_000020,random4,0.55877286,0.56336075,4,0,True,0.0,4
vggss,-Cr0WQoFQQs_000045,random4,0.6924086,0.637737,4,0,True,0.0,4
