scale,dataset,sample_index,sample_id,label,d_pos,current_random4_mean,current_random4_min,pool_min,pool_mean,pool_std,pool_P10,pool_P25,top4_mean,top4_min,top4_std,opportunity_gap_mean,opportunity_gap_min,violation_fraction_pool,random4_violation_fraction,missed_confusing_negative,top4_vs_random4_ratio,top4_pool_indices,top4_pool_ids,top4_pool_labels,gt_area_ratio,gt_components,AddTP,AddFP,RemoveTP,RemoveFP,aud_iou,aud_gt_response,aud_nearfp_response,aud_gap,aud_auroc,aud_coverage,aud_precision,aud_area,aud_entropy,ogl_iou,ogl_gt_response,ogl_nearfp_response,ogl_gap,ogl_auroc,ogl_coverage,ogl_precision,ogl_area,ogl_entropy,delta_iou,group,auto_taxonomy,spatial_error,audio_condition,over_diagnosis,size_bin,size_quartile,spatial_error_manual,manual_notes
144k,vggss,0,-0BIyqJj9ZU_000030,people belly laughing,2.3084097847458903e-05,3.0057286494411528e-05,1.9302735381643288e-05,1.531200177851133e-05,3.71840396837797e-05,1.563145633554086e-05,1.861298005678691e-05,2.596145350253209e-05,1.6958747437456623e-05,1.531200177851133e-05,1.4464329751717742e-06,1.3098539056954904e-05,3.990733603131957e-06,0.21875,0.25,False,0.5642141699790955,"[4753, 1389, 2109, 1404]","[""sQ3NiBJoqtc_000112"", ""DWLJMnVOT20_000083"", ""LvpgSdHLuCY_000320"", ""Ddo9DOeh-PA_000218""]","[""playing shofar"", ""popping popcorn"", ""baby laughter"", ""people slurping""]",0.2418686224489795,1,610,673,0,953,0.3136286201022146,0.7487200498580933,0.7809536457061768,-0.0322335958480834,0.603729248046875,0.7584871649742126,0.3484234830992846,0.5265266262755102,0.9920596538146544,0.3376332989336085,0.8013898134231567,0.8008691072463989,0.0005207061767578,0.6493377685546875,0.8087508082389832,0.3669296048450409,0.5331034757653061,0.9929978825923488,0.0240046788313939,B_close,OVER,local_boundary_leakage,target_dominant,PRECISION_COVERAGE_TRADEOFF,large,Q2,local_boundary_leakage,
144k,vggss,1,-0UuUoXQUoI_000107,playing double bass,3.488369475235231e-05,0.0001279996649827,3.310797910671681e-05,1.4099587133387104e-05,0.0001174818753497,9.51578767853789e-05,3.1552379368804395e-05,3.937431392841973e-05,2.5190984160872176e-05,1.4099587133387104e-05,7.00553709975793e-06,0.0001028086844598,1.9008391973329708e-05,0.1875,0.25,False,0.1968050748109817,"[1864, 227, 1735, 958]","[""Iy2HaWAAnvQ_000173"", ""1ACn3u5UnBw_000030"", ""HajY_r6RNy0_000090"", ""9QEm6u4bowQ_000030""]","[""train whistling"", ""male singing"", ""playing accordion"", ""playing electric guitar""]",0.2549426020408163,1,378,2741,453,205,0.4980217358641758,0.7186250686645508,0.5612801313400269,0.1573449373245239,0.8070220947265625,0.7773608565330505,0.5808750511127987,0.3411790497448979,0.990370701033771,0.4385637470559481,0.7196757197380066,0.6017379760742188,0.1179377436637878,0.743133544921875,0.7714977860450745,0.5040347293156282,0.3902264030612244,0.988570373236452,-0.0594579888082277,transition,GOOD,,,,large,Q3,,
144k,vggss,2,-2-wdcN5vOw_000017,train whistling,1.961922680493444e-05,2.3029006115393717e-05,1.8987440853379667e-05,4.936804089084035e-06,3.0381146643776447e-05,1.79116668732604e-05,1.2687348316831049e-05,1.7077396478271112e-05,9.408033292857e-06,4.936804089084035e-06,2.7993560252070893e-06,1.3620972822536714e-05,1.405063630954828e-05,0.3125,0.25,False,0.4085297286510467,"[1566, 412, 4033, 2639]","[""FndCEC7yK2g_000104"", ""39rXWSXGOyo_000080"", ""iY6gP4y8Shk_000010"", ""SJ9TY-iqD9Q_000010""]","[""airplane flyby"", ""cat purring"", ""people hiccup"", ""child singing""]",0.8839285714285714,1,578,0,5202,714,0.5716436205672997,0.6381984353065491,0.6954874992370605,-0.0572890639305114,0.4625091552734375,0.599341630935669,0.9252027426821204,0.5726044323979592,0.9924356326082704,0.4795684364557625,0.5908529758453369,0.6048772931098938,-0.0140243172645568,0.5058441162109375,0.4950847625732422,0.9386568631641944,0.4662189094387755,0.9906833264754744,-0.0920751841115371,transition,GOOD,,,,very_large,Q4,,
144k,vggss,3,-23CeprtibU_000030,chainsawing trees,1.767071989888791e-05,2.8702961571980268e-05,1.143493500421755e-05,1.1049980457755735e-05,2.803406823659316e-05,1.0251857020193713e-05,1.6142097592819482e-05,2.0790173948626037e-05,1.3618056073028129e-05,1.1049980457755735e-05,2.3800810140528483e-06,1.508490549895214e-05,3.8495454646181326e-07,0.15625,0.25,False,0.4744477570056915,"[2080, 4856, 175, 1720]","[""LUfzlkl-Dac_000001"", ""uA6Ycad4cLg_000173"", ""0glBUluF4Yk_000175"", ""HQAaW-5IwHo_000016""]","[""baby crying"", ""blowtorch igniting"", ""fox barking"", ""cricket chirping""]",0.2866908482142857,1,0,150,1251,4982,0.4340978688831948,0.8292539119720459,0.7906240224838257,0.0386298894882202,0.6263275146484375,0.9657281637191772,0.4408899044717382,0.6279695471938775,0.9960830762833888,0.4652557968347442,0.7970342636108398,0.7189886569976807,0.0780456066131591,0.6854400634765625,0.8787626028060913,0.4971682529694014,0.5067362882653061,0.9943987053860928,0.0311579279515494,B_close,OVER,,,PERSISTENT_OVER,large,Q3,,
144k,vggss,4,-2Dm0VjW8oM_000001,"pigeon, dove cooing",6.037214916432276e-06,6.451339140767232e-05,2.577741179266013e-05,1.3807192772219423e-05,8.452270412817597e-05,6.717778160236776e-05,2.2891314074513502e-05,3.564344297046773e-05,1.931585939018987e-05,1.3807192772219423e-05,3.379519057489233e-06,4.5197532017482445e-05,1.1970219020440709e-05,0.0,0.0,False,0.2994085252285003,"[686, 2493, 814, 4805]","[""6DXkv8hTM0k_000003"", ""QUte9W0g2Yo_000017"", ""7fLnFGd79-s_000018"", ""tYCgvipu3ko_000043""]","[""francolin calling"", ""eletric blender running"", ""chipmunk chirping"", ""snake rattling""]",0.4469866071428571,1,569,42,128,349,0.4794548579847753,0.6190485954284668,0.6186996102333069,0.0003489851951599,0.5066375732421875,0.5223381519317627,0.8538007433860506,0.2734574298469387,0.985876578139563,0.5038338790566586,0.6298325657844543,0.6020411849021912,0.0277913808822631,0.54632568359375,0.5420010685920715,0.8773727896066402,0.2761280293367347,0.9824506509132728,0.0243790210718832,B_close,GOOD,,,,very_large,Q3,,
144k,vggss,5,-2sOH8XovEE_000484,playing table tennis,4.003878711955622e-05,4.8869624151848257e-05,2.725026206462644e-05,1.6546700862818398e-05,4.53934699180536e-05,1.680279274296481e-05,2.580613363534212e-05,3.17442900268361e-05,2.1984411432640627e-05,1.6546700862818398e-05,3.3844223708001664e-06,2.688521271920763e-05,1.0703561201808045e-05,0.40625,0.5,False,0.4498583972454071,"[1711, 994, 724, 2644]","[""HNtNFaXeYQ4_000140"", ""9jrTswHdg4I_000290"", ""6azSzS5ZjN0_000051"", ""SNhfvhWPXNc_000030""]","[""playing harp"", ""hair dryer drying"", ""disc scratching"", ""playing electric guitar""]",0.0728435905612244,1,0,133,0,3621,0.1281826471207126,0.9254804849624634,0.8326283693313599,0.0928521156311035,0.81854248046875,1.0,0.1281826471207126,0.5682796556122449,0.9947314206250648,0.1460481099656357,0.9180142879486084,0.832879900932312,0.0851343870162963,0.776336669921875,1.0,0.1460481099656357,0.4987643494897959,0.9913395931862437,0.0178654628449231,B_close,OVER,,,CALIBRATION_RECOVERABLE,medium,Q1,,
144k,vggss,6,-3Kv4fdm7Uk_000030,playing steelpan,9.891873196465896e-05,0.0003474874829407,0.0001613584317965,3.405815004953183e-05,0.000234526101849,0.0001341922761639,9.358875831821932e-05,0.0001515728799859,5.670467362506315e-05,3.405815004953183e-05,2.27317214012146e-05,0.0002907828020397,0.0001273002853849,0.1875,0.0,True,0.1631847918033599,"[1488, 2581, 776, 2687]","[""EUXUKCqUKyo_000005"", ""RcVJVUfXWgU_000120"", ""784FrdBASsk_000097"", ""Swien0oGl7o_000090""]","[""playing shofar"", ""playing hammond organ"", ""playing theremin"", ""playing banjo""]",0.1081991390306122,1,0,762,110,7917,0.180714047380714,0.8927152156829834,0.75400710105896,0.1387081146240234,0.870941162109375,0.9976054430007936,0.1807924692058617,0.597038424744898,0.9954673416197404,0.2325662941047556,0.8736960887908936,0.6932084560394287,0.1804876327514648,0.878448486328125,0.9773439168930054,0.2338268993477877,0.4522480867346938,0.993136396457726,0.0518522467240415,transition,OVER,,,CALIBRATION_RECOVERABLE,large,Q1,,
144k,vggss,7,-4bPiXbovf0_000008,air conditioning noise,2.7043646696256477e-05,3.7829999200766906e-05,1.4536840353684966e-05,7.681579518248327e-06,4.694971357821487e-05,4.054829696542584e-05,1.2522600627562497e-05,2.0340321498224512e-05,1.0073303201352246e-05,7.681579518248327e-06,1.6430802816103096e-06,2.775669599941466e-05,6.8552608354366384e-06,0.4375,0.25,False,0.2662781774997711,"[1985, 94, 320, 4364]","[""KTHsyIQI2L0_000200"", ""-u-40BIU1HE_000003"", ""29dwfsI1XlQ_000006"", ""n1VpqsLRy1E_000006""]","[""dog growling"", ""cat hissing"", ""cat hissing"", ""gibbon howling""]",0.232063137755102,1,1232,751,0,5879,0.3759420395383551,0.8069570064544678,0.7460476160049438,0.0609093904495239,0.7322540283203125,0.8868086338043213,0.3948908180045126,0.5211455676020408,0.9937804154412128,0.5173911097184296,0.8875208497047424,0.7628622055053711,0.1246586441993713,0.848358154296875,0.992614209651947,0.519390643958118,0.4434988839285714,0.990990929467861,0.1414490701800744,A_ogl_help,OVER,,,CALIBRATION_RECOVERABLE,large,Q2,,
144k,vggss,8,-5CGQGSFGyg_000060,playing electronic organ,7.66357479733415e-05,0.0001755079720169,7.062782242428511e-05,4.225632801535539e-05,0.000206648139283,7.449254189850762e-05,0.0001021131101879,0.000170624902239,6.80198281770572e-05,4.225632801535539e-05,2.1253064915072173e-05,0.0001074881438398,2.837149440892972e-05,0.09375,0.25,False,0.3875597715377807,"[2791, 169, 3836, 1016]","[""UFyOGqmITjM_000000"", ""0apGJGFHQO4_000067"", ""fwFuuaK8WqE_000332"", ""9zPrLhdmgpg_000031""]","[""playing violin, fiddle"", ""playing violin, fiddle"", ""playing cornet"", ""slot machine""]",0.1182637117346938,1,0,258,49,3540,0.3322692652329749,0.8825722932815552,0.7276307940483093,0.1549414992332458,0.8717193603515625,0.99983149766922,0.3322878745449454,0.3558474170918367,0.9951110120576632,0.4037326746260464,0.865490198135376,0.7330094575881958,0.1324807405471801,0.787689208984375,0.9915739893913268,0.4051225557697604,0.2894610969387755,0.9919498648348454,0.0714634093930715,transition,OVER,,,CALIBRATION_RECOVERABLE,large,Q1,,
144k,vggss,9,-5z9IXBJefc_000227,playing djembe,2.279970794916153e-05,9.728102304507048e-05,1.0194337846769486e-05,8.165564395312686e-06,0.0001092808524845,8.717542368685827e-05,1.7340777048957534e-05,3.5834927984979004e-05,1.1911944966414012e-05,8.165564395312686e-06,3.2875186661840416e-06,8.536907989764586e-05,2.0287734514568e-06,0.15625,0.25,False,0.1224488019943237,"[1443, 2379, 3662, 4015]","[""E2DcawleYIY_000030"", ""P5tsRM1iokA_000030"", ""dpTKSxH3asA_000030"", ""iCIa_pmLDqs_000030""]","[""playing electronic organ"", ""playing steel guitar, slide guitar"", ""playing electronic organ"", ""playing banjo""]",0.1724529655612245,3,918,5160,0,424,0.2151230949589683,0.5242071747779846,0.6821200847625732,-0.1579129099845886,0.32293701171875,0.4241303503513336,0.30388341475532,0.2406927614795918,0.981763280261996,0.2104973389612772,0.6160014867782593,0.7009708881378174,-0.0849694013595581,0.4031524658203125,0.5302207469940186,0.2587558513338221,0.3533761160714285,0.9862679767337138,-0.004625755997691,B_close,OVER,,,PRECISION_COVERAGE_TRADEOFF,large,Q2,,
