comparison,measure,left_n,left_mean,left_median,left_p25,left_p75,left_p90,left_p95,left_bootstrap_mean_ci_low,left_bootstrap_mean_ci_high,right_n,right_mean,right_median,right_p25,right_p75,right_p90,right_p95,right_bootstrap_mean_ci_low,right_bootstrap_mean_ci_high,mean_diff_left_minus_right,bootstrap_ci_low,bootstrap_ci_high,mannwhitney_p,rank_biserial
vggss: Hard-help vs Hard-hurt,opportunity_gap_mean,114,8.503176985340907e-05,4.567085125017911e-05,2.3394815798383206e-05,9.892787420536731e-05,0.00016967886185737001,0.00030055393726792485,6.560920094634054e-05,0.00010573839298947763,141,5.9508098107103564e-05,3.4596119803609326e-05,2.2972486476646736e-05,6.692904571536928e-05,0.0001028916158247,0.0001637987297726,4.764395316653336e-05,7.321098236813996e-05,2.5523671746305505e-05,1.3429400479444741e-06,5.118357374391505e-05,0.07120420326539789,0.13151673510016182
vggss: Hard-help vs Hard-hurt,opportunity_gap_min,114,2.908624277184732e-05,1.4272040971263777e-05,6.02610396072123e-06,2.9735568205069285e-05,7.201317057479175e-05,0.00011242723194296486,2.157380120971943e-05,3.805235191078072e-05,141,2.23124824570062e-05,1.2227146726218052e-05,4.521712980931625e-06,2.2445434296969324e-05,4.850498226005584e-05,7.649048347957432e-05,1.67550533215204e-05,2.8896322081515405e-05,6.77376031484112e-06,-2.9114125030353775e-06,1.7617133308072742e-05,0.13466192805649488,0.10899589399029486
vggss: Hard-help vs Hard-hurt,violation_fraction_pool,114,0.3678728070175439,0.296875,0.09375,0.59375,0.8125,0.90625,0.31414473684210525,0.4210594846491228,141,0.344636524822695,0.28125,0.09375,0.53125,0.84375,0.9375,0.29609929078014185,0.3953900709219858,0.023236282194848856,-0.0533042004945875,0.09611839189063084,0.5185437041708152,0.04703247480403139
vggss: Hard-help vs Hard-hurt,random4_violation_fraction,114,0.34210526315789475,0.25,0.0,0.75,1.0,1.0,0.27631578947368424,0.40794956140350896,141,0.33156028368794327,0.25,0.0,0.5,0.75,1.0,0.2765514184397163,0.3882978723404255,0.010544979469951477,-0.07526595744680853,0.09285530981709594,0.9066889563958174,0.008274231678486954
vggss: Hard-help vs Hard-hurt,missed_confusing_negative,114,0.2894736842105263,0.0,0.0,1.0,1.0,1.0,0.21052631578947367,0.37719298245614036,141,0.24822695035460993,0.0,0.0,0.0,1.0,1.0,0.18439716312056736,0.3191489361702128,0.0412467338559164,-0.06513624486748787,0.1506159014557671,0.4605338166032288,0.04124673385591637
vggss: Hard-help vs Hard-hurt,pool_min,114,2.1105046942051146e-05,1.5259819065249758e-05,9.679574986876103e-06,2.4092636977002257e-05,4.414828108565417e-05,5.321238859323784e-05,1.7997615823692046e-05,2.4462647875104995e-05,141,2.1316497153785666e-05,1.4638274478784297e-05,9.403348485648166e-06,2.348754605918657e-05,3.8986658182693645e-05,6.0197220591362566e-05,1.7933361111457542e-05,2.5268652008559918e-05,-2.1145021173451937e-07,-5.089377252146383e-06,4.576580490178128e-06,0.6042605076499508,0.0378250591016549
vggss: Hard-help vs Hard-hurt,top4_mean,114,2.968515215734102e-05,2.0344694348750636e-05,1.2976456901014899e-05,3.6395908864506055e-05,6.0142514121253045e-05,7.696311076870187e-05,2.527641965975931e-05,3.448204023041534e-05,141,2.9004679714835996e-05,2.024147761403583e-05,1.2658436389756387e-05,3.104835923295468e-05,5.218947626417503e-05,9.17666548048146e-05,2.4461043567707732e-05,3.415539351903118e-05,6.804724425050225e-07,-6.262167711197947e-06,7.422072044253885e-06,0.5551863701941857,0.04305088963543602
vggss: Hard-help vs Hard-hurt,top4_vs_random4_ratio,114,0.3290110919624567,0.31527653336524963,0.2020747475326061,0.41871125996112823,0.5413782417774201,0.5972931414842605,0.3017216876565822,0.3567705796925319,141,0.3709733457641399,0.3733035027980804,0.2612862586975097,0.4515038132667541,0.5703751444816589,0.6550024151802063,0.34729974243182243,0.3953357457044594,-0.04196225380168317,-0.07798086597433662,-0.005307925404920304,0.012997676506112669,-0.18103770063456515
vggss: Hard-help vs Hard-hurt,pool_std,114,6.250930447461194e-05,3.343689786561299e-05,1.903623342514038e-05,7.202173401310574e-05,0.00012121376057617,0.00019296987011326492,4.865954002712434e-05,7.941890980832696e-05,141,4.492311314825748e-05,2.939561454695649e-05,2.0384830349939875e-05,5.063585194875486e-05,8.32357764011249e-05,0.0001123969414038,3.754651902937744e-05,5.351596341001987e-05,1.7586191326354462e-05,1.2847646053311835e-06,3.701808808085935e-05,0.1700236801482765,0.10003732736095561
flickr: Hard-help vs Hard-hurt,opportunity_gap_mean,8,3.0912814338529055e-05,1.146566319221165e-05,7.19535864845966e-06,1.7959247543331003e-05,6.757719675077535e-05,0.00011813308519773762,7.82880168515021e-06,7.178343377203653e-05,22,2.482971163689388e-05,1.2390021765895654e-05,5.340571192391508e-06,3.3847830309241544e-05,6.090297756600196e-05,9.590452937118242e-05,1.335092423305055e-05,3.851963031939133e-05,6.083102701635176e-06,-2.4587720798890603e-05,5.0104392111370933e-05,0.9816787332829311,-0.011363636363636354
