quality_metric,residual_metric,n,spearman_rho,p_value
opportunity_gap_mean,delta_iou,5158,0.032487816249225615,0.01963241027040427
opportunity_gap_mean,aud_precision,5158,-0.06779919849947989,1.0951971812478166e-06
opportunity_gap_mean,aud_coverage,5158,-0.028798879020900257,0.03861740345504014
opportunity_gap_mean,aud_area,5158,-0.2363067335537849,2.1746516787638815e-66
opportunity_gap_mean,aud_gap,5075,-0.03325289033547977,0.017837442155893196
opportunity_gap_mean,aud_nearfp_response,5075,-0.00339399865864317,0.808992231473301
opportunity_gap_mean,gt_area_ratio,5158,-0.12243725244494734,1.1001455032470903e-18
opportunity_gap_min,delta_iou,5158,0.0055782664134860676,0.688764170336339
opportunity_gap_min,aud_precision,5158,-0.006893980032514493,0.6205957926054629
opportunity_gap_min,aud_coverage,5158,-0.041379063586472795,0.0029551543687884193
opportunity_gap_min,aud_area,5158,-0.1067177975176656,1.5361532458097664e-14
opportunity_gap_min,aud_gap,5075,-0.02072246675887396,0.13993225431733292
opportunity_gap_min,aud_nearfp_response,5075,-0.015087585010019892,0.28254427555638517
opportunity_gap_min,gt_area_ratio,5158,-0.03014417643979905,0.030395467923456404
violation_fraction_pool,delta_iou,5158,0.0033095270208617048,0.8121675501234945
violation_fraction_pool,aud_precision,5158,-0.03136860274782402,0.024266915076501337
violation_fraction_pool,aud_coverage,5158,-0.019095404328450406,0.17030962009400197
violation_fraction_pool,aud_area,5158,0.07439252428655803,8.847544516448159e-08
violation_fraction_pool,aud_gap,5075,0.00035494508552878583,0.9798318521483167
violation_fraction_pool,aud_nearfp_response,5075,-0.03131077819217293,0.025711151269257
violation_fraction_pool,gt_area_ratio,5158,-0.0013409557199160745,0.9232957392554961
missed_confusing_negative,delta_iou,5158,0.004556961213700021,0.7435167984200951
missed_confusing_negative,aud_precision,5158,0.03011335052874048,0.030565529434225757
missed_confusing_negative,aud_coverage,5158,-0.016413094006393045,0.2385697419727047
missed_confusing_negative,aud_area,5158,-0.01930272816539116,0.16571638136562977
missed_confusing_negative,aud_gap,5075,-0.020896432385963802,0.13663556133113033
missed_confusing_negative,aud_nearfp_response,5075,0.016114334085622815,0.25106710438838437
missed_confusing_negative,gt_area_ratio,5158,0.024128267905763723,0.08314801648446508
pool_min,delta_iou,5158,-0.010452640026679914,0.4529301548454572
pool_min,aud_precision,5158,-0.09708908989741412,2.7945852009052585e-12
pool_min,aud_coverage,5158,0.002065236687944296,0.8821155705775203
pool_min,aud_area,5158,-0.08649952146870275,4.893341441199938e-10
pool_min,aud_gap,5075,-0.049408255935978765,0.0004297931648934847
pool_min,aud_nearfp_response,5075,0.023588259377919796,0.092913616723557
pool_min,gt_area_ratio,5158,-0.10987585700373438,2.5074680525997543e-15
top4_mean,delta_iou,5158,-0.009659103288436163,0.48795988999279927
top4_mean,aud_precision,5158,-0.09419998364852862,1.2117233774572942e-11
top4_mean,aud_coverage,5158,-0.0017151085250497154,0.9019899113115704
top4_mean,aud_area,5158,-0.12664980356118066,6.820117080620603e-20
top4_mean,aud_gap,5075,-0.04689567401409811,0.0008323157927645311
top4_mean,aud_nearfp_response,5075,0.01870961460918275,0.1826489258856111
top4_mean,gt_area_ratio,5158,-0.1184667754888747,1.3870449044976045e-17
