taxonomy,metric,n,mean,median,p25,p75,p90,p95,bootstrap_mean_ci_low,bootstrap_mean_ci_high
GOOD,opportunity_gap_mean,2202,4.617837878666945e-05,3.0238067665777635e-05,1.6735941244405694e-05,5.370784128899686e-05,9.526612921035848e-05,0.00013934406815672992,4.3962869479599156e-05,4.852995861164601e-05
GOOD,missed_confusing_negative,2202,0.2970027247956403,0.0,0.0,1.0,1.0,1.0,0.2779291553133515,0.31653042688465033
GOOD,violation_fraction_pool,2202,0.2980103315168029,0.21875,0.0625,0.46875,0.71875,0.84375,0.287110794164396,0.3095765213442325
GOOD,pool_min,2202,1.677523061124689e-05,1.214600115417852e-05,7.64744959269592e-06,1.9804823295999086e-05,3.295120150141884e-05,4.5475871775124624e-05,1.614321961526102e-05,1.7450911452147003e-05
MIXED,opportunity_gap_mean,91,4.693917190996379e-05,3.33977077389136e-05,2.123636204487411e-05,5.4913109124754556e-05,9.597120515536516e-05,0.00012082941611875,3.882207099875043e-05,5.602466121309532e-05
MIXED,missed_confusing_negative,91,0.32967032967032966,0.0,0.0,1.0,1.0,1.0,0.23076923076923078,0.42857142857142855
MIXED,violation_fraction_pool,91,0.3286401098901099,0.28125,0.09375,0.53125,0.78125,0.8125,0.27369505494505497,0.3863324175824176
MIXED,pool_min,91,1.8509156421754556e-05,1.4586579709430223e-05,9.363083790958626e-06,2.201961888204096e-05,3.613177614170127e-05,4.452907887753099e-05,1.5574893939361615e-05,2.2047448289605687e-05
OVER,opportunity_gap_mean,2730,5.359989344845644e-05,3.3263822842855006e-05,1.9687990061356686e-05,6.0408880017348565e-05,0.00011114407461714997,0.00016181944811242992,5.107515164120105e-05,5.6183226618389284e-05
OVER,missed_confusing_negative,2730,0.28205128205128205,0.0,0.0,1.0,1.0,1.0,0.26556776556776557,0.2989010989010989
OVER,violation_fraction_pool,2730,0.3096382783882784,0.21875,0.09375,0.5,0.75,0.84375,0.2992207532051282,0.31972384386446884
OVER,pool_min,2730,1.9242270500340273e-05,1.380916592097492e-05,8.587727961639757e-06,2.3153878828452438e-05,3.653102976386434e-05,5.300793745846014e-05,1.8585710751513548e-05,1.993427803784591e-05
UNDER,opportunity_gap_mean,133,7.287906516595994e-05,3.930595994461328e-05,2.471250445523765e-05,8.485752914566547e-05,0.00014345147064885998,0.00024563994375049987,5.6941151813452233e-05,9.129355105499248e-05
UNDER,missed_confusing_negative,133,0.45112781954887216,0.0,0.0,1.0,1.0,1.0,0.3684210526315789,0.5338345864661654
UNDER,violation_fraction_pool,133,0.19219924812030076,0.125,0.03125,0.25,0.4937499999999999,0.6624999999999992,0.15531015037593984,0.23167880639097746
UNDER,pool_min,133,2.0890740378168656e-05,1.2485457773436792e-05,8.823462849250063e-06,2.2782807718613185e-05,4.8454592615598806e-05,6.46080487058498e-05,1.7457835644804654e-05,2.4659906724241865e-05
nan,opportunity_gap_mean,2,3.723278859979473e-05,3.723278859979473e-05,2.6166171664954163e-05,4.82994055346353e-05,5.493937569553964e-05,5.715269908250775e-05,1.5099554730113596e-05,5.9366022469475865e-05
nan,missed_confusing_negative,2,0.5,0.5,0.25,0.75,0.9,0.95,0.0,1.0
nan,violation_fraction_pool,2,0.421875,0.421875,0.4140625,0.4296875,0.434375,0.4359375,0.40625,0.4375
nan,pool_min,2,2.27954860747559e-05,2.27954860747559e-05,1.922104820550885e-05,2.6369923944002952e-05,2.8514586665551183e-05,2.9229474239400592e-05,1.56466103362618e-05,2.994436181325e-05
