metric,left_n,left_mean,left_median,left_p25,left_p75,left_ci_low,left_ci_high,right_n,right_mean,right_median,right_p25,right_p75,right_ci_low,right_ci_high,mean_diff,diff_ci_low,diff_ci_high,mw_p,rank_biserial
GroupA_minus_nonA:positive_excess_total_mass,428,3134.565950768016,2835.705078125,1703.5500183105469,4272.3646240234375,2954.86620954264,3311.4806482778527,4730,2979.4360649479872,2709.47607421875,1700.2861328125,3952.8118896484375,2928.1728887740655,3029.0978686833937,155.1298858200289,-21.61862075454977,346.9908815022383,0.20771745365327066,0.03671978423662847
GroupA_minus_nonA:positive_excess_aud_mass_ratio,428,0.11032965639660515,0.10027964785695075,0.06210134923458095,0.15008034184575078,0.10438835739539433,0.11687926580837302,4730,0.10858710508849703,0.10021613910794255,0.06363156065344808,0.14422211423516268,0.10686174384344131,0.11030764894007802,0.0017425513081081173,-0.004351439781016948,0.007930791084269737,0.8337423343655899,0.006118235166268304
GroupA_minus_nonA:excess_gt_ratio,428,0.2072334089276988,0.14961650222539896,0.0577663676813244,0.27403981238603586,0.1896298684883851,0.22540446823018737,4730,0.2676483688406074,0.1783911138772964,0.0620716698467731,0.41230596601963043,0.2603261487423195,0.27516678386329874,-0.0604149599129086,-0.08024241581862177,-0.04075477124593834,0.0017559046959025122,-0.09118719250755769
GroupA_minus_nonA:excess_nearfp_ratio,428,0.0031358659163380587,0.0030242627253755,0.0017740484909154002,0.00429462036117905,0.0029640696965689646,0.003315397935553553,4730,0.0032921384947049836,0.00291515840217465,0.0013917431933805,0.0045870582107454,0.0032188216485426403,0.0033664471623999354,-0.00015627257836692493,-0.000358494183351619,2.7287189010334353e-05,0.7124520321438521,0.01074222995001084
GroupA_minus_nonA:excess_bg_ratio,428,0.7896307253444167,0.8467915952205658,0.7216376811265945,0.9390033036470413,0.7695745535997812,0.8079640484774032,4730,0.7290594948689999,0.8187867999076843,0.5841647386550903,0.934742271900177,0.7217695606713938,0.735936030223941,0.06057123047541679,0.0400968016225862,0.07948888753123715,0.0014249644010646918,0.09296101637983845
GroupA_minus_nonA:excess_fp_ratio,428,0.7927665925697884,0.8503835797309875,0.7259601950645447,0.9422336369752884,0.7751069637311396,0.8114399686940972,4730,0.7323516330523239,0.8216089010238647,0.5876940488815308,0.9379281997680663,0.7248620894603823,0.7397520783021022,0.06041495951746456,0.04128687137313755,0.0795170449017705,0.00175550040097764,0.09118916836260893
GroupA_minus_nonA:overlap_removefp_excess,428,0.6440289651852749,0.7376140327790295,0.4099031065476698,0.9220429499510556,0.6149615503678761,0.6729543018759601,4730,0.5972665132932551,0.6653296402749574,0.2931405984144321,0.9455425300739015,0.5877051292440478,0.6077793228476842,0.046762451892019774,0.015972864563443497,0.07753712653000297,0.115652253952911,0.0457726581178004
GroupA_minus_nonA:overlap_removetp_excess,428,0.5365541661407465,0.622031076581576,0.0,1.0,0.49628349708635605,0.5772834894308837,4730,0.5544865750778551,0.6581812313676861,0.0101138286417474,0.9937274561046137,0.5425874842871272,0.5660566261272157,-0.01793240893710868,-0.05981631271394112,0.02479454767229265,0.8197605006371272,-0.006545019857343237
GroupA_minus_nonA:excess_precision_removefp,428,0.11053441482991296,0.10070159135206155,0.04337766811940287,0.157407376598636,0.10304986919547018,0.11827544069225283,4730,0.03979912417562039,0.02305755702301175,0.006566488402718125,0.05517412511784173,0.038445023717942145,0.041242759115919445,0.07073529065429257,0.06256640319454193,0.07845814108095273,1.3806932321129717e-77,0.5433255616367982
GroupA_minus_nonA:excess_precision_removetp,428,0.006517780704514184,0.0020325443749182,0.0,0.009289545202012375,0.0055326026769237195,0.007558386718515806,4730,0.020617010060089605,0.00798175147842765,4.06319691928245e-05,0.02724678841562825,0.019780869195649833,0.021527488954065616,-0.014099229355575421,-0.015512934600670306,-0.012775273942622805,4.816241550165934e-19,-0.2578416747347415
