scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,flickr,10000130166,0,AUD,0.9566917607695525,0.7151409983634949,0.47652264030612246,0.17893970012664795,0.6996071338653564,0.5206674337387085,False,False,True,-0.12514850246983056
144k,flickr,10000130166,0,IMG_QUERY,0.9643708861966994,0.6321203112602234,0.4178491709183674,0.15405893325805664,0.6495941877365112,0.4955352544784546,False,False,True,-0.12514850246983056
144k,flickr,10000130166,0,IQR,0.9602704613752873,0.679328441619873,0.45097257653061223,0.17056268453598022,0.6797035932540894,0.5091409087181091,False,False,True,-0.12514850246983056
144k,flickr,10000130166,0,OGL,0.9675707547169812,0.5899925231933594,0.38871173469387754,0.1624547243118286,0.6259465217590332,0.4634917974472046,False,False,True,-0.12514850246983056
144k,flickr,10007936344,1,AUD,0.7673461513729021,0.9469131827354431,0.6198580994897959,0.12228548526763916,0.7978537082672119,0.6755682229995728,False,False,False,0.003175613698040425
144k,flickr,10007936344,1,IMG_QUERY,0.770299074135749,0.917671799659729,0.5984135841836735,0.14753562211990356,0.802455723285675,0.6549201011657715,False,False,False,0.003175613698040425
144k,flickr,10007936344,1,IQR,0.76971083156347,0.9346532225608826,0.6099529655612245,0.13292694091796875,0.8018877506256104,0.6689608097076416,False,False,False,0.003175613698040425
144k,flickr,10007936344,1,OGL,0.8088934998032411,0.8971195220947266,0.5570990114795918,0.17075443267822266,0.7910399436950684,0.6202855110168457,False,False,False,0.003175613698040425
144k,flickr,10008553263,2,AUD,0.3745966266342859,0.8110054731369019,0.5990712691326531,-0.003972113132476807,0.7654159069061279,0.7693880200386047,False,False,False,0.0211732255809014
144k,flickr,10008553263,2,IMG_QUERY,0.3792467737687648,0.726015567779541,0.5297154017857143,-0.0900869369506836,0.7138547897338867,0.8039417266845703,False,False,False,0.0211732255809014
144k,flickr,10008553263,2,IQR,0.3744624774587321,0.7777297496795654,0.5746970663265306,-0.03908538818359375,0.756982684135437,0.7960680723190308,False,False,False,0.0211732255809014
144k,flickr,10008553263,2,OGL,0.40853217642805495,0.7324978113174438,0.49613360969387754,-0.03699088096618652,0.661500096321106,0.6984909772872925,False,False,False,0.0211732255809014
144k,flickr,10009662863,3,AUD,0.7757534775888717,0.7380930781364441,0.5157844387755102,0.12189733982086182,0.674601137638092,0.5527037978172302,False,False,False,-0.005897119980168175
144k,flickr,10009662863,3,IMG_QUERY,0.7240085970753087,0.6316060423851013,0.4729153380102041,0.08615529537200928,0.6144421100616455,0.5282868146896362,False,False,False,-0.005897119980168175
144k,flickr,10009662863,3,IQR,0.7559281909646873,0.7043620347976685,0.5051219706632653,0.10880064964294434,0.6572508811950684,0.548450231552124,False,False,False,-0.005897119980168175
144k,flickr,10009662863,3,OGL,0.7478520594417198,0.745611310005188,0.5404775191326531,0.14650607109069824,0.7048187255859375,0.5583126544952393,False,False,False,-0.005897119980168175
