scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,vggss,-4bPiXbovf0_000008,7,AUD,0.3948908180045126,0.8868086338043213,0.5211455676020408,0.060909390449523926,0.8069570064544678,0.7460476160049438,True,True,False,0.14144907018007452
144k,vggss,-4bPiXbovf0_000008,7,IMG_QUERY,0.36653834979662986,0.8667983412742615,0.5487882653061225,0.04861438274383545,0.8004474639892578,0.7518330812454224,True,True,False,0.14144907018007452
144k,vggss,-4bPiXbovf0_000008,7,IQR,0.3856561392929826,0.8788217306137085,0.5288185586734694,0.05613899230957031,0.8058689832687378,0.7497299909591675,True,True,False,0.14144907018007452
144k,vggss,-4bPiXbovf0_000008,7,OGL,0.519390643958118,0.992614209651947,0.44349888392857145,0.12465864419937134,0.8875208497047424,0.7628622055053711,True,True,False,0.14144907018007452
144k,vggss,-7TanrCbmME_000030,11,AUD,0.38497364873146217,0.5419254899024963,0.32521524234693877,-0.1181173324584961,0.6112385988235474,0.7293559312820435,False,False,True,-0.10427879572815149
144k,vggss,-7TanrCbmME_000030,11,IMG_QUERY,0.3503778742563113,0.3759489357471466,0.2478874362244898,-0.25334542989730835,0.4405912160873413,0.6939366459846497,False,False,True,-0.10427879572815149
144k,vggss,-7TanrCbmME_000030,11,IQR,0.37265971130484493,0.4498792290687561,0.27889827806122447,-0.1786632537841797,0.5349621772766113,0.713625431060791,False,False,True,-0.10427879572815149
144k,vggss,-7TanrCbmME_000030,11,OGL,0.27147982627305345,0.3720669448375702,0.31662547831632654,-0.13966715335845947,0.5158320665359497,0.6554992198944092,False,False,True,-0.10427879572815149
144k,vggss,-CZ1LIc8aos_000020,20,AUD,0.42246201277251705,1.0,0.45250717474489793,0.11733508110046387,0.906683087348938,0.7893480062484741,True,True,False,0.17683935274034418
144k,vggss,-CZ1LIc8aos_000020,20,IMG_QUERY,0.5718032786885245,1.0,0.33432318239795916,0.1684964895248413,0.8878487348556519,0.7193522453308105,True,True,False,0.17683935274034418
144k,vggss,-CZ1LIc8aos_000020,20,IQR,0.48777015001271296,1.0,0.3919204400510204,0.13793706893920898,0.8998285531997681,0.7618914842605591,True,True,False,0.17683935274034418
144k,vggss,-CZ1LIc8aos_000020,20,OGL,0.6052986079928154,0.9837364554405212,0.31068638392857145,0.16860830783843994,0.8448231220245361,0.6762148141860962,True,True,False,0.17683935274034418
144k,vggss,-IKnJa9U66I_000150,29,AUD,0.30595752678068033,1.0,0.42418686224489793,0.10021352767944336,0.8700320720672607,0.7698185443878174,True,True,False,0.113999117770328
144k,vggss,-IKnJa9U66I_000150,29,IMG_QUERY,0.4017372421281216,0.9659090638160706,0.31204161352040816,0.14276814460754395,0.877837061882019,0.7350689172744751,True,True,False,0.113999117770328
144k,vggss,-IKnJa9U66I_000150,29,IQR,0.3511305853078005,0.996775209903717,0.3684231505102041,0.11925196647644043,0.8803533315658569,0.7611013650894165,True,True,False,0.113999117770328
144k,vggss,-IKnJa9U66I_000150,29,OGL,0.4232653601694915,0.9817260503768921,0.3010204081632653,0.11808168888092041,0.828179657459259,0.7100979685783386,True,True,False,0.113999117770328
144k,vggss,-Igq1W20Gi8_000000,30,AUD,0.27872805787673155,1.0,0.35536910076530615,0.09250032901763916,0.9638984203338623,0.8713980913162231,True,True,False,0.11877654101953339
144k,vggss,-Igq1W20Gi8_000000,30,IMG_QUERY,0.3337138252870476,1.0,0.2968152104591837,0.0829087495803833,0.9180079698562622,0.8350992202758789,True,True,False,0.11877654101953339
144k,vggss,-Igq1W20Gi8_000000,30,IQR,0.303529986564065,1.0,0.3263313137755102,0.092445969581604,0.9608192443847656,0.8683732748031616,True,True,False,0.11877654101953339
144k,vggss,-Igq1W20Gi8_000000,30,OGL,0.3975045988962649,1.0,0.2491828762755102,0.15580081939697266,0.9180100560188293,0.7622092366218567,True,True,False,0.11877654101953339
144k,vggss,-NCa3eFLULw_000221,40,AUD,0.9555129842486164,0.626290500164032,0.46815210459183676,0.0918194055557251,0.6410406827926636,0.5492212772369385,False,False,True,-0.11030385317285973
144k,vggss,-NCa3eFLULw_000221,40,IMG_QUERY,0.987678954457026,0.5524861812591553,0.3995336415816326,0.06274145841598511,0.5688877105712891,0.506146252155304,False,False,True,-0.11030385317285973
144k,vggss,-NCa3eFLULw_000221,40,IQR,0.9618578337439547,0.5882582664489746,0.4368223852040816,0.0808253288269043,0.6109679937362671,0.5301426649093628,False,False,True,-0.11030385317285973
144k,vggss,-NCa3eFLULw_000221,40,OGL,1.0,0.4982420802116394,0.35586734693877553,0.14175313711166382,0.5683082938194275,0.42655515670776367,False,False,True,-0.11030385317285973
144k,vggss,-Vo4CAMX26U_000030,49,AUD,0.5639165911151405,0.6194833517074585,0.3517219387755102,-0.18278902769088745,0.6738483905792236,0.8566374182701111,True,True,False,0.12721504056846805
144k,vggss,-Vo4CAMX26U_000030,49,IMG_QUERY,0.6369107321965898,0.5138499736785889,0.2583107461734694,-0.14854544401168823,0.6068365573883057,0.7553820013999939,True,True,False,0.12721504056846805
144k,vggss,-Vo4CAMX26U_000030,49,IQR,0.5958783120706576,0.566946804523468,0.3046277104591837,-0.17846381664276123,0.6403441429138184,0.8188079595565796,True,True,False,0.12721504056846805
144k,vggss,-Vo4CAMX26U_000030,49,OGL,0.6602272727272728,0.7594771385192871,0.36830357142857145,-0.045742690563201904,0.761216938495636,0.8069596290588379,True,True,False,0.12721504056846805
144k,vggss,-hedbpc8T0E_000030,74,AUD,0.7126743105051131,0.6997079253196716,0.32156808035714285,0.11930572986602783,0.6978652477264404,0.5785595178604126,False,False,True,-0.1799107600121812
144k,vggss,-hedbpc8T0E_000030,74,IMG_QUERY,0.6461190987715529,0.7137032747268677,0.36178651147959184,0.0807952880859375,0.6980814337730408,0.6172861456871033,False,False,True,-0.1799107600121812
144k,vggss,-hedbpc8T0E_000030,74,IQR,0.6881816026552868,0.706523060798645,0.3362563775510204,0.10660755634307861,0.6997393369674683,0.5931317806243896,False,False,True,-0.1799107600121812
144k,vggss,-hedbpc8T0E_000030,74,OGL,0.5893652764589876,0.49099427461624146,0.27285953443877553,0.03076040744781494,0.6118403077125549,0.58107990026474,False,False,True,-0.1799107600121812
144k,vggss,-kZVoaYYU6o_000000,80,AUD,0.6326001061508522,0.6258825063705444,0.3379504145408163,0.023624777793884277,0.6994307041168213,0.675805926322937,True,True,False,0.18293788944502853
144k,vggss,-kZVoaYYU6o_000000,80,IMG_QUERY,0.5919219070524157,0.4882431924343109,0.2817482461734694,-0.005448341369628906,0.6327906847000122,0.6382390260696411,True,True,False,0.18293788944502853
144k,vggss,-kZVoaYYU6o_000000,80,IQR,0.606696195935383,0.5434389114379883,0.3059630102040816,0.012050151824951172,0.6728965044021606,0.6608463525772095,True,True,False,0.18293788944502853
