scale,dataset,sample_id,sample_index,positive_excess_total_mass,positive_excess_mean,positive_excess_max,positive_excess_area_gt0,positive_excess_area_ge_0p1,positive_excess_aud_mass_ratio,query_excess_total_mass,query_excess_mean,query_excess_max,query_excess_area_gt0,excess_gt_mass,excess_nearfp_mass,excess_bg_mass,excess_gt_ratio,excess_nearfp_ratio,excess_bg_ratio,excess_fp_ratio,removefp_count,removetp_count,addfp_count,addtp_count,overlap_removefp_excess,excess_precision_removefp,overlap_removetp_excess,excess_precision_removetp,excess_mean_removefp,excess_mean_removetp,excess_mean_retainedfp,excess_mean_retaintp,aud_iou,ogl_iou,ogl_minus_aud_iou,group,groupA,aud_better,ogl_help
144k,flickr,10000130166,0,2993.160400390625,0.059653230011463165,0.22444720566272736,0.8300581951530612,0.21016023596938777,0.10042773187160492,248.34347534179688,0.0049494472332298756,0.10219627618789673,0.16994180484693877,2052.1533203125,8.08989143371582,932.9171142578125,0.6856142282485962,0.0027027924079447985,0.31168296933174133,0.3143857717514038,0,4406,0,0,0.0,0.0,0.862687244666364,0.09126269538284233,,0.07864117622375488,,0.033352773636579514,0.7151409991871444,0.5899924967173138,-0.12514850246983056,C_aud_better,False,True,False
144k,flickr,10007936344,1,1913.3037109375,0.03813185170292854,0.20428133010864258,0.6002869897959183,0.1570671237244898,0.05828199163079262,829.7274169921875,0.01653634011745453,0.12357079982757568,0.3997130102040816,365.835693359375,9.411081314086914,1538.056884765625,0.19120629131793976,0.004918759688735008,0.8038749098777771,0.8087937235832214,2247,1368,466,0,0.06408544726301736,0.004780876494023904,0.3742690058479532,0.01699867197875166,0.0012351442128419876,0.011218699626624584,0.03615150973200798,0.010476129129529,0.7576507936507937,0.7608264073488341,0.003175613698040425,other,False,False,False
144k,flickr,10008553263,2,3240.298583984375,0.06457865238189697,0.29499658942222595,0.6677295918367347,0.27339764030612246,0.10065825283527374,916.7874145507812,0.0182714331895113,0.15014153718948364,0.3322704081632653,1420.1788330078125,3.2494146823883057,1816.870361328125,0.4382864236831665,0.001002813340164721,0.5607107877731323,0.5617135763168335,5256,1629,1419,301,0.6971080669710806,0.109360076408787,0.7771639042357275,0.0377865329512894,0.04832333326339722,0.10719802230596542,0.013092907145619392,0.04785840958356857,0.4132565053033361,0.4344297308842375,0.0211732255809014,other,False,False,False
144k,flickr,10009662863,3,2643.111572265625,0.05267680808901787,0.22226953506469727,0.7491828762755102,0.18879544005102042,0.08941633254289627,450.0472106933594,0.008969372138381004,0.1598343551158905,0.2508171237244898,1983.55029296875,9.36110782623291,650.200439453125,0.7504602670669556,0.003541699843481183,0.2459980994462967,0.2495397925376892,884,1050,1529,1644,0.3597285067873303,0.008459471682051556,1.0,0.027932217818094757,0.0060424585826694965,0.09251781553030014,0.0036103040911257267,0.048211392015218735,0.6193296623633027,0.6134325423831345,-0.005897119980168175,other,False,False,False
144k,flickr,10013411946,4,1410.86083984375,0.02811823971569538,0.20425817370414734,0.5121771364795918,0.07750717474489796,0.05292568355798721,935.4119262695312,0.018642617389559746,0.1466785967350006,0.48782286352040816,332.385498046875,4.550631523132324,1073.9248046875,0.23559056222438812,0.003225428983569145,0.7611840963363647,0.7644095420837402,3608,5065,0,343,0.5252217294900222,0.07373827775399822,0.25389930898321816,0.0500408576209191,0.011879616416990757,0.00342726637609303,,0.020241297781467438,0.5944360118710496,0.5645768449559919,-0.029859166915057633,other,False,False,False
144k,flickr,10016382545,5,3575.919189453125,0.0712675228714943,0.23589500784873962,0.8921197385204082,0.26040338010204084,0.11388945579528809,146.56866455078125,0.0029210911598056555,0.09443438053131104,0.10788026147959184,2073.358642578125,7.613263130187988,1494.947509765625,0.5798113942146301,0.0021290367003530264,0.41805964708328247,0.42018869519233704,1150,1787,27,1101,0.9947826086956522,0.025556821482027568,0.9781757134862898,0.03905010834841275,0.05121396854519844,0.08047157526016235,0.020590664818882942,0.08467945456504822,0.5971175790164754,0.6017528512182478,0.0046352722017724,other,False,False,False
144k,flickr,10031203703,6,1619.81591796875,0.03228268399834633,0.1647121012210846,0.5180763711734694,0.08410395408163265,0.04865158349275589,2073.31884765625,0.04132092744112015,0.2915845513343811,0.4819236288265306,1111.52490234375,3.02516508102417,505.2658386230469,0.6862044334411621,0.001867598039098084,0.3119279444217682,0.3137955367565155,1385,4114,0,0,0.8888086642599278,0.04735526062704366,0.46086533787068545,0.07293710328909406,0.043869953602552414,0.03296932205557823,0.029136577621102333,0.034854110330343246,0.8630348676708876,0.7897842897842898,-0.07325057788659772,other,False,False,False
144k,flickr,10035917404,7,3751.949462890625,0.07477577775716782,0.2773866653442383,0.7613002232142857,0.3452248086734694,0.1245555430650711,336.7989807128906,0.006712351925671101,0.10354310274124146,0.23869977678571427,3416.449951171875,1.6682484149932861,333.8311462402344,0.9105799198150635,0.00044463510857895017,0.08897538483142853,0.08942002058029175,109,1291,1914,1648,1.0,0.0028534778397340246,1.0,0.0337966962485929,0.016854586079716682,0.11992555111646652,0.0018799433019012213,0.08352340757846832,0.6234541877459246,0.6025277517721012,-0.020926435973823487,other,False,False,False
144k,flickr,10045181004,8,3603.62353515625,0.07181966304779053,0.2231541872024536,0.8412986288265306,0.32840401785714285,0.12517070770263672,220.18328857421875,0.004388219211250544,0.07616901397705078,0.15870137117346939,1668.0509033203125,6.092944622039795,1929.479736328125,0.46288156509399414,0.001690782723017037,0.5354276895523071,0.5371184349060059,2113,2410,42,506,0.7198296261239944,0.03603155426053586,0.6775933609958507,0.03868476535664369,0.027840111404657364,0.0619993582367897,0.02350427582859993,0.03473002091050148,0.6356135214266703,0.617585658743991,-0.018027862682679308,other,False,False,False
144k,flickr,10060697266,9,2771.092529296875,0.05522745102643967,0.21510903537273407,0.7455357142857143,0.20974170918367346,0.09460728615522385,579.9370727539062,0.011558056809008121,0.12820762395858765,0.2544642857142857,1486.455078125,0.7063573598861694,1283.931396484375,0.5364148020744324,0.00025490211555734277,0.46333038806915283,0.4635852873325348,573,3175,107,754,0.04013961605584642,0.0006148417450812661,0.5489763779527559,0.04659431137724551,0.00043553675641305745,0.04115550220012665,,0.0380200557410717,0.7904125789096723,0.7197022248540733,-0.070710354055599,other,False,False,False
144k,flickr,10061269855,10,6610.55615234375,0.13174736499786377,0.356192946434021,0.8957469706632653,0.6288265306122449,0.21710920333862305,121.2874526977539,0.0024172402918338776,0.09450393915176392,0.10425302933673469,4057.9345703125,39.99671936035156,2512.625,0.6138567328453064,0.00605043163523078,0.3800928294658661,0.3861432671546936,649,3986,0,678,1.0,0.014439870953387474,0.7912694430506774,0.07017465791522973,0.16267766058444977,0.08625952154397964,,0.08032306283712387,0.7049163350150168,0.6269289366901483,-0.07798739832486856,other,False,False,False
144k,flickr,10067897816,11,4544.646484375,0.09057410806417465,0.317612886428833,0.7867107780612245,0.43056441326530615,0.14018885791301727,529.5989379882812,0.010554825887084007,0.12990832328796387,0.2132892219387755,1870.041015625,6.083666801452637,2668.521728515625,0.41148218512535095,0.001338644651696086,0.5871791839599609,0.5885178446769714,5611,318,558,2017,0.811798253430761,0.11539241019405178,1.0,0.00805593555251558,0.08549675345420837,0.1264915019273758,0.020522356033325195,0.1276066154241562,0.3271398848405671,0.4498506599865112,0.12271077514594408,A_ogl_help,False,False,True
144k,flickr,10069511285,12,4574.95361328125,0.09117812663316727,0.2588227689266205,0.9547991071428571,0.43642378826530615,0.12944653630256653,31.616668701171875,0.0006301153916865587,0.03876905515789986,0.045200892857142856,2505.809814453125,31.701269149780273,2037.4423828125,0.5477235317230225,0.006929309573024511,0.4453471004962921,0.45227640867233276,2106,2812,0,372,0.9691358024691358,0.04260248810219588,0.8968705547652916,0.05264256491608917,0.11382243037223816,0.08143112063407898,0.11078973859548569,0.06804975122213364,0.8027436922652695,0.7892795456541468,-0.013464146611122718,other,False,False,False
144k,flickr,10079676496,13,2204.63671875,0.04393807053565979,0.16794158518314362,0.8201729910714286,0.06419403698979592,0.06408367305994034,200.3811492919922,0.003993565682321787,0.08903554081916809,0.17982700892857142,1219.156982421875,14.272270202636719,971.207275390625,0.5529967546463013,0.006473751273006201,0.44052940607070923,0.44700315594673157,3049,4448,0,0,0.9530993768448671,0.0706145359998056,0.7045863309352518,0.07615483682842077,0.059066738933324814,0.028459785506129265,0.03836909681558609,0.0375547856092453,0.8373566444783062,0.8072608316888011,-0.030095812789505016,other,False,False,False
