metric,left_n,left_mean,left_median,left_p25,left_p75,left_ci_low,left_ci_high,right_n,right_mean,right_median,right_p25,right_p75,right_ci_low,right_ci_high,mean_diff,diff_ci_low,diff_ci_high,mw_p,rank_biserial
OGLhelp_minus_AUDbetter:positive_excess_total_mass,428,3134.565950768016,2835.705078125,1703.5500183105469,4272.3646240234375,2954.86620954264,3311.4806482778527,257,3162.121019623159,2884.995361328125,1926.6624755859373,4274.76318359375,2944.4017794293654,3382.1592331355646,-27.555068855142963,-289.1065055781794,251.89558588077043,0.487877522094334,-0.03163751409142146
OGLhelp_minus_AUDbetter:positive_excess_aud_mass_ratio,428,0.11032965639660515,0.10027964785695075,0.06210134923458095,0.15008034184575078,0.10438835739539433,0.11687926580837302,257,0.10902156919813513,0.1023158282041549,0.0678330659866333,0.1405783593654632,0.10209372344731209,0.11641224472446488,0.0013080871984700176,-0.008148768996031484,0.010708170145899963,0.9918864134001552,-0.0004727444634350375
OGLhelp_minus_AUDbetter:excess_gt_ratio,428,0.2072334089276988,0.14961650222539896,0.0577663676813244,0.27403981238603586,0.1896298684883851,0.22540446823018737,257,0.4941983854731976,0.4812423586845398,0.2861358523368835,0.7045032978057861,0.4600372338829848,0.5275030905288891,-0.2869649765454988,-0.3238078729258372,-0.2492474740912036,4.5583145775013356e-41,-0.6119313429579257
OGLhelp_minus_AUDbetter:excess_nearfp_ratio,428,0.0031358659163380587,0.0030242627253755,0.0017740484909154002,0.00429462036117905,0.0029640696965689646,0.003315397935553553,257,0.0037650609240819704,0.0030901804566383,0.0014649184886366,0.0052357339300215,0.0034221493669074968,0.004154674391148724,-0.0006291950077439118,-0.0010575947865670051,-0.00020268875564350097,0.15727081400307613,-0.0644932543001564
OGLhelp_minus_AUDbetter:excess_bg_ratio,428,0.7896307253444167,0.8467915952205658,0.7216376811265945,0.9390033036470413,0.7695745535997812,0.8079640484774032,257,0.502036555132064,0.5083809494972229,0.2927170991897583,0.7088741660118103,0.4688672234656213,0.5345296982606033,0.2875941702123527,0.24886330264693296,0.3268473276223964,4.3897781652671177e-41,0.6120586203134659
OGLhelp_minus_AUDbetter:excess_fp_ratio,428,0.7927665925697884,0.8503835797309875,0.7259601950645447,0.9422336369752884,0.7751069637311396,0.8114399686940972,257,0.5058016153451069,0.5187576413154602,0.2954966425895691,0.7138640880584717,0.4746602151120727,0.5388047647193176,0.2869649772246815,0.24945914286660625,0.3233698289682609,4.5583145775013356e-41,0.6119313429579258
OGLhelp_minus_AUDbetter:overlap_removefp_excess,428,0.6440289651852749,0.7376140327790295,0.4099031065476698,0.9220429499510556,0.6149615503678761,0.6729543018759601,257,0.6065119277712474,0.6455696202531646,0.3,0.972027972027972,0.5631348929249932,0.6482212127624543,0.037517037414027454,-0.014813625236685302,0.09010420541560302,0.6984195253076844,0.017655187461362187
OGLhelp_minus_AUDbetter:overlap_removetp_excess,428,0.5365541661407465,0.622031076581576,0.0,1.0,0.49628349708635605,0.5772834894308837,257,0.682808297649876,0.7488364361702128,0.477005773442166,0.9496754430749034,0.6443663887645247,0.7184167440675008,-0.14625413150912958,-0.20011428820147367,-0.09040021605377956,0.013429015496095499,-0.11154041965162365
OGLhelp_minus_AUDbetter:excess_precision_removefp,428,0.11053441482991296,0.10070159135206155,0.04337766811940287,0.157407376598636,0.10304986919547018,0.11827544069225283,257,0.023952441265236272,0.0118039404976084,0.0031743308167467,0.0331385774549392,0.0199954369612799,0.02831968310860775,0.08658197356467669,0.07732767062675139,0.0955954539800613,4.642288790343266e-50,0.6782610276737335
OGLhelp_minus_AUDbetter:excess_precision_removetp,428,0.006517780704514184,0.0020325443749182,0.0,0.009289545202012375,0.0055326026769237195,0.007558386718515806,257,0.09743842355726984,0.0924215754828442,0.0562170277540296,0.1386514040422106,0.08989125136172223,0.10520663516971357,-0.09092064285275565,-0.0988302726886236,-0.08323003761829079,6.877243251687952e-79,-0.8535855849303611
