scale,dataset,sample_id,sample_index,signal,auroc_removefp_vs_removetp,ap_removefp_vs_removetp,auroc_removefp_vs_retainedfp,ap_removefp_vs_retainedfp,ogl_minus_aud_iou,groupA,ogl_help,aud_better
144k,flickr,10000130166,0,positive_excess,,,,,-0.12514850246983056,False,False,True
144k,flickr,10000130166,0,aud_minus_iqr,,,,,-0.12514850246983056,False,False,True
144k,flickr,10000130166,0,aud_times_one_minus_query,,,,,-0.12514850246983056,False,False,True
144k,flickr,10000130166,0,aud_query_ratio,,,,,-0.12514850246983056,False,False,True
144k,flickr,10007936344,1,positive_excess,0.34022686518997397,0.5949403273541144,0.14077632447115623,0.3357396073291174,0.003175613698040425,False,False,False
144k,flickr,10007936344,1,aud_minus_iqr,0.35259439486566885,0.6077066357163861,0.15234137270154005,0.3451990066737694,0.003175613698040425,False,False,False
144k,flickr,10007936344,1,aud_times_one_minus_query,0.22045882489192867,0.4648755544241979,0.4344045126769833,0.2987617903168257,0.003175613698040425,False,False,False
144k,flickr,10007936344,1,aud_query_ratio,0.2745980996103967,0.48400927206652294,0.0879197564591212,0.21193189746528437,0.003175613698040425,False,False,False
144k,flickr,10008553263,2,positive_excess,0.32756273516635787,0.6538971901076653,0.7432098606368136,0.6285705677424689,0.0211732255809014,False,False,False
144k,flickr,10008553263,2,aud_minus_iqr,0.3176914126846642,0.6646234337468727,0.6708994251918639,0.5692276384889701,0.0211732255809014,False,False,False
144k,flickr,10008553263,2,aud_times_one_minus_query,0.3466918569721365,0.6573222285778522,0.8561165196508871,0.7541563877484714,0.0211732255809014,False,False,False
144k,flickr,10008553263,2,aud_query_ratio,0.33113910916390793,0.654934840859466,0.8034176029171475,0.7004646817709632,0.0211732255809014,False,False,False
144k,flickr,10009662863,3,positive_excess,0.006201249730661499,0.3385622606314135,0.5351789847624538,0.2138390050073808,-0.005897119980168175,False,False,False
144k,flickr,10009662863,3,aud_minus_iqr,0.009388062917474708,0.395371747684889,0.5432882933697664,0.19278192248592424,-0.005897119980168175,False,False,False
144k,flickr,10009662863,3,aud_times_one_minus_query,0.0035929756517991815,0.2747884637723411,0.7204538831300684,0.2585666492835541,-0.005897119980168175,False,False,False
144k,flickr,10009662863,3,aud_query_ratio,0.006049342814048702,0.2750180187490006,0.4840840342103174,0.204579234052707,-0.005897119980168175,False,False,False
144k,flickr,10013411946,4,positive_excess,0.6678636976511558,0.6036852955191526,,,-0.029859166915057633,False,False,False
144k,flickr,10013411946,4,aud_minus_iqr,0.6867237005404245,0.619955310974671,,,-0.029859166915057633,False,False,False
144k,flickr,10013411946,4,aud_times_one_minus_query,0.7300486962174656,0.6237492874825016,,,-0.029859166915057633,False,False,False
144k,flickr,10013411946,4,aud_query_ratio,0.6668576520751297,0.6279049958857141,,,-0.029859166915057633,False,False,False
144k,flickr,10016382545,5,positive_excess,0.35847132673170967,0.301998460986162,0.7954272398795237,0.27298185656019747,0.0046352722017724,False,False,False
144k,flickr,10016382545,5,aud_minus_iqr,0.3630736478431182,0.30517129287335343,0.7771852400972518,0.2684712655786876,0.0046352722017724,False,False,False
144k,flickr,10016382545,5,aud_times_one_minus_query,0.4607586190117029,0.34281204781909835,0.8813577949310786,0.47792003660040744,0.0046352722017724,False,False,False
144k,flickr,10016382545,5,aud_query_ratio,0.3838492980706066,0.3132861544559202,0.8132944878460971,0.3077555150825987,0.0046352722017724,False,False,False
144k,flickr,10031203703,6,positive_excess,0.6313078174552333,0.28055550555055575,0.6256280084235861,0.8768502480189642,-0.07325057788659772,False,False,False
144k,flickr,10031203703,6,aud_minus_iqr,0.6336337661836222,0.28182596555617084,0.6337582731648616,0.8806624026301242,-0.07325057788659772,False,False,False
144k,flickr,10031203703,6,aud_times_one_minus_query,0.6873733961168081,0.31624027716162334,0.8930392599277979,0.9819216091029838,-0.07325057788659772,False,False,False
144k,flickr,10031203703,6,aud_query_ratio,0.6552263206204402,0.2967435536912838,0.6771359807460892,0.9118681864584913,-0.07325057788659772,False,False,False
144k,flickr,10035917404,7,positive_excess,0.004796793609960272,0.04041139560281282,0.9493472879790975,0.21293090367951184,-0.020926435973823487,False,False,False
144k,flickr,10035917404,7,aud_minus_iqr,0.005493216978517471,0.041044046072127055,0.8929692257823705,0.20275749124130912,-0.020926435973823487,False,False,False
144k,flickr,10035917404,7,aud_times_one_minus_query,0.03860885878950249,0.04117104951157947,0.9670328860774414,0.34540284695802675,-0.020926435973823487,False,False,False
144k,flickr,10035917404,7,aud_query_ratio,0.005599812392072145,0.04040722260255484,0.9515892972909258,0.2224330601793958,-0.020926435973823487,False,False,False
144k,flickr,10045181004,8,positive_excess,0.3558558655860874,0.36092261086818783,0.49403655671201785,0.7099138273793497,-0.018027862682679308,False,False,False
144k,flickr,10045181004,8,aud_minus_iqr,0.34101030373129787,0.36145359684389583,0.5062702084532877,0.7166005070866086,-0.018027862682679308,False,False,False
144k,flickr,10045181004,8,aud_times_one_minus_query,0.41973693770827897,0.3848862880431303,0.7638732757870493,0.8234502562254062,-0.018027862682679308,False,False,False
144k,flickr,10045181004,8,aud_query_ratio,0.39735170344419934,0.37524256431108804,0.5077811858380987,0.7142739963882624,-0.018027862682679308,False,False,False
144k,flickr,10060697266,9,positive_excess,0.23538222643635517,0.14702666884854076,,,-0.070710354055599,False,False,False
144k,flickr,10060697266,9,aud_minus_iqr,0.23360322106333567,0.1453461021335617,,,-0.070710354055599,False,False,False
144k,flickr,10060697266,9,aud_times_one_minus_query,0.2713394071814322,0.10170149900633148,,,-0.070710354055599,False,False,False
144k,flickr,10060697266,9,aud_query_ratio,0.19368264830770499,0.09233208174692248,,,-0.070710354055599,False,False,False
144k,flickr,10061269855,10,positive_excess,0.77888325626596,0.2514994842880093,,,-0.07798739832486856,False,False,False
144k,flickr,10061269855,10,aud_minus_iqr,0.780063040363924,0.2525495690850552,,,-0.07798739832486856,False,False,False
144k,flickr,10061269855,10,aud_times_one_minus_query,0.7886528118058814,0.25987516785323,,,-0.07798739832486856,False,False,False
144k,flickr,10061269855,10,aud_query_ratio,0.7902013750747028,0.263269267134716,,,-0.07798739832486856,False,False,False
144k,flickr,10067897816,11,positive_excess,0.3032069194719716,0.9272220531508074,0.8033770830695666,0.7184359480406053,0.12271077514594408,False,True,False
144k,flickr,10067897816,11,aud_minus_iqr,0.3153691255608648,0.929634898627888,0.8302348488653895,0.7371570253912946,0.12271077514594408,False,True,False
144k,flickr,10067897816,11,aud_times_one_minus_query,0.33548656110134073,0.9309505072768003,0.9179359496889502,0.8291286724309506,0.12271077514594408,False,True,False
144k,flickr,10067897816,11,aud_query_ratio,0.31780565802349164,0.92879959240465,0.7912731062684079,0.7385547571235427,0.12271077514594408,False,True,False
144k,flickr,10069511285,12,positive_excess,0.6606223294819786,0.4800409910126504,0.5013631113015458,0.5929099118573775,-0.013464146611122718,False,False,False
144k,flickr,10069511285,12,aud_minus_iqr,0.6612096239289221,0.479935178134809,0.5778523855700637,0.6517866947366437,-0.013464146611122718,False,False,False
144k,flickr,10069511285,12,aud_times_one_minus_query,0.6562994337117144,0.47778294060673365,0.8575554954182922,0.8549102077020847,-0.013464146611122718,False,False,False
144k,flickr,10069511285,12,aud_query_ratio,0.6641179810039459,0.4882032110239131,0.6644558914054663,0.732037444559177,-0.013464146611122718,False,False,False
144k,flickr,10079676496,13,positive_excess,0.753766603804526,0.7039035867623908,0.6762569547434745,0.9470463654874612,-0.030095812789505016,False,False,False
144k,flickr,10079676496,13,aud_minus_iqr,0.7545710971399988,0.7046199099153009,0.6792036834530433,0.9475055757184714,-0.030095812789505016,False,False,False
144k,flickr,10079676496,13,aud_times_one_minus_query,0.7931904640275971,0.7418762769935031,0.8148307717731214,0.9713976402048974,-0.030095812789505016,False,False,False
144k,flickr,10079676496,13,aud_query_ratio,0.7651739956018131,0.7158563790819594,0.7077401583898298,0.9534547762243777,-0.030095812789505016,False,False,False
