scale,dataset,sample_id,sample_index,signal,auroc_removefp_vs_removetp,ap_removefp_vs_removetp,auroc_removefp_vs_retainedfp,ap_removefp_vs_retainedfp,ogl_minus_aud_iou,groupA,ogl_help,aud_better
144k,vggss,-4bPiXbovf0_000008,7,positive_excess,,,0.3537875036075471,0.3973060749851979,0.14144907018007452,True,True,False
144k,vggss,-4bPiXbovf0_000008,7,aud_minus_iqr,,,0.3685332538179103,0.3992021462671911,0.14144907018007452,True,True,False
144k,vggss,-4bPiXbovf0_000008,7,aud_times_one_minus_query,,,0.5190488234367604,0.4064271957210147,0.14144907018007452,True,True,False
144k,vggss,-4bPiXbovf0_000008,7,aud_query_ratio,,,0.16421762858570335,0.28578022400277026,0.14144907018007452,True,True,False
144k,vggss,-7TanrCbmME_000030,11,positive_excess,0.017873335798532848,0.2776689627831303,0.25635535178758195,0.09471250578160802,-0.10427879572815149,False,False,True
144k,vggss,-7TanrCbmME_000030,11,aud_minus_iqr,0.019079723631699193,0.27120268817615106,0.2791802864542153,0.09441294981716135,-0.10427879572815149,False,False,True
144k,vggss,-7TanrCbmME_000030,11,aud_times_one_minus_query,0.03461508364544703,0.2371809018288245,0.49094201767746126,0.11729959580523747,-0.10427879572815149,False,False,True
144k,vggss,-7TanrCbmME_000030,11,aud_query_ratio,0.01947865633328679,0.23601163500330646,0.22988549842006994,0.08100148680770357,-0.10427879572815149,False,False,True
144k,vggss,-CZ1LIc8aos_000020,20,positive_excess,0.9131833922782198,0.9975870576837137,0.6034299453962276,0.6453097429610986,0.17683935274034418,True,True,False
144k,vggss,-CZ1LIc8aos_000020,20,aud_minus_iqr,0.914539585175361,0.9975594609991125,0.6045968838675089,0.6465761223340989,0.17683935274034418,True,True,False
144k,vggss,-CZ1LIc8aos_000020,20,aud_times_one_minus_query,0.9169503389330976,0.9980613255254118,0.7707628486057637,0.7712905497372332,0.17683935274034418,True,True,False
144k,vggss,-CZ1LIc8aos_000020,20,aud_query_ratio,0.9040100943118183,0.9977647437209303,0.6590060380787992,0.7209892109514788,0.17683935274034418,True,True,False
144k,vggss,-IKnJa9U66I_000150,29,positive_excess,0.606714511263617,0.9873449578092643,0.39942142569561656,0.4068922604093552,0.113999117770328,True,True,False
144k,vggss,-IKnJa9U66I_000150,29,aud_minus_iqr,0.6038958041229362,0.9872398869464601,0.41102051685627417,0.41499832893852706,0.113999117770328,True,True,False
144k,vggss,-IKnJa9U66I_000150,29,aud_times_one_minus_query,0.6385802790744299,0.9885213087575133,0.5976999116880551,0.5032115181989797,0.113999117770328,True,True,False
144k,vggss,-IKnJa9U66I_000150,29,aud_query_ratio,0.6387702153534464,0.9886318405542525,0.4429486283510994,0.4424964472800046,0.113999117770328,True,True,False
144k,vggss,-Igq1W20Gi8_000000,30,positive_excess,,,0.8398371240615367,0.851437687321127,0.11877654101953339,True,True,False
144k,vggss,-Igq1W20Gi8_000000,30,aud_minus_iqr,,,0.9004503059411463,0.9076007527523839,0.11877654101953339,True,True,False
144k,vggss,-Igq1W20Gi8_000000,30,aud_times_one_minus_query,,,0.9829227500100658,0.9789946068300515,0.11877654101953339,True,True,False
144k,vggss,-Igq1W20Gi8_000000,30,aud_query_ratio,,,0.8796756857414962,0.8972199214986682,0.11877654101953339,True,True,False
144k,vggss,-NCa3eFLULw_000221,40,positive_excess,0.6034975461395619,0.20159306849155254,,,-0.11030385317285973,False,False,True
144k,vggss,-NCa3eFLULw_000221,40,aud_minus_iqr,0.6047171257250279,0.2021397622282589,,,-0.11030385317285973,False,False,True
144k,vggss,-NCa3eFLULw_000221,40,aud_times_one_minus_query,0.6283620807401932,0.21256012610901243,,,-0.11030385317285973,False,False,True
144k,vggss,-NCa3eFLULw_000221,40,aud_query_ratio,0.6085377869484027,0.20397457991826237,,,-0.11030385317285973,False,False,True
144k,vggss,-Vo4CAMX26U_000030,49,positive_excess,0.31192326372025253,0.9866475311949912,0.587042672249016,0.32290638471573563,0.12721504056846805,True,True,False
144k,vggss,-Vo4CAMX26U_000030,49,aud_minus_iqr,0.30295855593330095,0.9862767597352968,0.6607160781084321,0.43394124699830783,0.12721504056846805,True,True,False
144k,vggss,-Vo4CAMX26U_000030,49,aud_times_one_minus_query,0.29391290270357784,0.9859366458166915,0.8183861262181987,0.5865244108829792,0.12721504056846805,True,True,False
144k,vggss,-Vo4CAMX26U_000030,49,aud_query_ratio,0.29454022988505746,0.9859329783373313,0.6837523584676041,0.4933222175265087,0.12721504056846805,True,True,False
144k,vggss,-hedbpc8T0E_000030,74,positive_excess,0.2869473995428194,0.21101777338584288,0.14784341730449513,0.20475136709917804,-0.1799107600121812,False,False,True
144k,vggss,-hedbpc8T0E_000030,74,aud_minus_iqr,0.30843527026733136,0.21102634206833754,0.15358854206159595,0.2047610862955115,-0.1799107600121812,False,False,True
144k,vggss,-hedbpc8T0E_000030,74,aud_times_one_minus_query,0.12945446914912562,0.12388180496660291,0.15175866373471164,0.1265713070732534,-0.1799107600121812,False,False,True
