dataset,subset,signal,auroc_tp_vs_fp,ap_tp,n
flickr,all,f34_core_cos,0.5,0.451002711301972,3783791
flickr,aud_better,f34_core_cos,0.5,0.6117937853107345,481440
flickr,all,k34_core_cos,0.5,0.451002711301972,3783791
flickr,aud_better,k34_core_cos,0.5,0.6117937853107345,481440
flickr,all,cross_level_cos,0.6573711611324783,0.5785195868733151,3783791
flickr,aud_better,cross_level_cos,0.6837901356693893,0.7354867062741636,481440
flickr,all,local_query_support,0.8256142294077371,0.8061573809855515,3783791
flickr,aud_better,local_query_support,0.8008572890030081,0.8596758954163558,481440
flickr,all,core_connectivity,0.5,0.451002711301972,3783791
flickr,aud_better,core_connectivity,0.5,0.6117937853107345,481440
flickr,all,combined,0.8256142294077371,0.8061573809855515,3783791
flickr,aud_better,combined,0.8008572890030081,0.8596758954163558,481440
