dataset,subset,signal,auroc_tp_vs_fp,ap_tp,n
vggss,all,f34_core_cos,0.5,0.2518510982473414,61708367
vggss,groupA,f34_core_cos,0.5,0.18462066405854857,5466777
vggss,aud_better,f34_core_cos,0.5,0.5071276447087804,3384919
vggss,all,k34_core_cos,0.5,0.2518510982473414,61708367
vggss,groupA,k34_core_cos,0.5,0.18462066405854857,5466777
vggss,aud_better,k34_core_cos,0.5,0.5071276447087804,3384919
vggss,all,cross_level_cos,0.5562895844822551,0.273863235426379,61708367
vggss,groupA,cross_level_cos,0.5966829415550836,0.22825082711698777,5466777
vggss,aud_better,cross_level_cos,0.508896826662131,0.4988328505315909,3384919
vggss,all,local_query_support,0.7402254309265354,0.4918549582299526,61708367
vggss,groupA,local_query_support,0.749415869605517,0.48703258359514234,5466777
vggss,aud_better,local_query_support,0.7834781952537551,0.7755547679499936,3384919
vggss,all,core_connectivity,0.5,0.2518510982473414,61708367
vggss,groupA,core_connectivity,0.5,0.18462066405854857,5466777
vggss,aud_better,core_connectivity,0.5,0.5071276447087804,3384919
vggss,all,combined,0.7402254309265354,0.4918549582299526,61708367
vggss,groupA,combined,0.749415869605517,0.48703258359514234,5466777
vggss,aud_better,combined,0.7834781952537551,0.7755547679499936,3384919
