group,field,value,count,fraction
B_close,auto_taxonomy,OVER,1693,0.5463052597612132
B_close,auto_taxonomy,GOOD,1285,0.41464988706034206
B_close,auto_taxonomy,UNDER,73,0.02355598580187157
B_close,auto_taxonomy,MIXED,46,0.01484349790254921
B_close,auto_taxonomy,missing,2,0.0006453694740238787
B_close,spatial_error,missing,3045,0.9825750242013552
B_close,spatial_error,local_boundary_leakage,15,0.00484027105517909
B_close,spatial_error,diffuse_global,13,0.004194901581155212
B_close,spatial_error,shifted,9,0.002904162633107454
B_close,spatial_error,incomplete,8,0.0025814778960955146
B_close,spatial_error,other_object_or_context,6,0.001936108422071636
B_close,spatial_error,other,2,0.0006453694740238787
B_close,spatial_error,good,1,0.00032268473701193933
B_close,size_bin,very_large,1268,0.4091642465311391
B_close,size_bin,large,939,0.30300096805421106
B_close,size_bin,medium,662,0.21361729590190384
B_close,size_bin,small,180,0.05808325266214908
B_close,size_bin,tiny,48,0.015488867376573089
B_close,size_bin,missing,2,0.0006453694740238787
B_close,size_quartile,Q1,998,0.32203936753791546
B_close,size_quartile,Q3,747,0.24104549854791868
B_close,size_quartile,Q4,714,0.23039690222652467
B_close,size_quartile,Q2,638,0.2058728622136173
B_close,size_quartile,missing,2,0.0006453694740238787
transition,auto_taxonomy,OVER,704,0.512372634643377
transition,auto_taxonomy,GOOD,602,0.438136826783115
transition,auto_taxonomy,UNDER,39,0.028384279475982533
transition,auto_taxonomy,MIXED,29,0.021106259097525473
transition,spatial_error,missing,1341,0.9759825327510917
transition,spatial_error,other_object_or_context,9,0.006550218340611353
transition,spatial_error,incomplete,7,0.005094614264919942
transition,spatial_error,good,5,0.00363901018922853
transition,spatial_error,diffuse_global,4,0.002911208151382824
transition,spatial_error,local_boundary_leakage,4,0.002911208151382824
transition,spatial_error,shifted,2,0.001455604075691412
transition,spatial_error,other,2,0.001455604075691412
transition,size_bin,very_large,637,0.4636098981077147
transition,size_bin,large,579,0.42139737991266374
transition,size_bin,medium,158,0.11499272197962154
transition,size_quartile,Q2,418,0.3042212518195051
transition,size_quartile,Q4,369,0.2685589519650655
transition,size_quartile,Q3,354,0.2576419213973799
transition,size_quartile,Q1,233,0.16957787481804948
A_ogl_help,auto_taxonomy,OVER,287,0.6705607476635514
A_ogl_help,auto_taxonomy,GOOD,125,0.29205607476635514
A_ogl_help,auto_taxonomy,MIXED,9,0.02102803738317757
A_ogl_help,auto_taxonomy,UNDER,7,0.016355140186915886
A_ogl_help,spatial_error,missing,419,0.9789719626168224
A_ogl_help,spatial_error,local_boundary_leakage,4,0.009345794392523364
A_ogl_help,spatial_error,diffuse_global,2,0.004672897196261682
A_ogl_help,spatial_error,other_object_or_context,2,0.004672897196261682
A_ogl_help,spatial_error,incomplete,1,0.002336448598130841
A_ogl_help,size_bin,large,290,0.677570093457944
A_ogl_help,size_bin,very_large,119,0.2780373831775701
A_ogl_help,size_bin,medium,19,0.04439252336448598
A_ogl_help,size_quartile,Q2,208,0.48598130841121495
A_ogl_help,size_quartile,Q3,129,0.3014018691588785
A_ogl_help,size_quartile,Q1,49,0.11448598130841121
A_ogl_help,size_quartile,Q4,42,0.09813084112149532
C_aud_better,auto_taxonomy,GOOD,190,0.7392996108949417
C_aud_better,auto_taxonomy,OVER,46,0.17898832684824903
C_aud_better,auto_taxonomy,UNDER,14,0.054474708171206226
C_aud_better,auto_taxonomy,MIXED,7,0.027237354085603113
C_aud_better,spatial_error,missing,253,0.9844357976653697
C_aud_better,spatial_error,incomplete,2,0.007782101167315175
C_aud_better,spatial_error,good,1,0.0038910505836575876
C_aud_better,spatial_error,local_boundary_leakage,1,0.0038910505836575876
C_aud_better,size_bin,very_large,210,0.8171206225680934
C_aud_better,size_bin,large,44,0.17120622568093385
C_aud_better,size_bin,medium,3,0.011673151750972763
C_aud_better,size_quartile,Q4,164,0.6381322957198443
C_aud_better,size_quartile,Q3,59,0.22957198443579765
C_aud_better,size_quartile,Q2,25,0.09727626459143969
C_aud_better,size_quartile,Q1,9,0.03501945525291829
