dataset,model,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,coverage,precision,background_response,pred_area_ratio,fp_area_ratio,RemoveFP,RemoveTP,AddTP,AddFP,entropy,normalized_entropy,iou,raw_range,cIoU,AUC,swap_rho,swap_mae
flickr,original_1.3g_final,0.8059670724868775,0.7639529941535672,0.04270621518857083,0.6600211886019148,0.9113650997263851,0.644890094346536,0.5169068597555161,0.6475452806122449,0.1905322863520408,0.0,0.0,0.0,0.0,5.275300556392308,0.9994668355994716,0.6368762798827685,0.001627738551236689,0.812,0.6356,0.9876314156834016,0.0001714904938125983
flickr,cram_c3_stage1,0.7131541931629181,0.6253758674932395,0.08890445379593112,0.6731663717996365,0.7655397488727091,0.7492012545570964,0.37789281100034716,0.46311256377551024,0.09446412627551021,5175.376,4656.144,222.364,355.06,3.884994334592483,0.9982460743314748,0.6183831997752788,0.008876528564840554,0.864,0.6184000000000001,0.9860376530612246,0.00030339666409417987
flickr,cram_c3_stage2,0.7562584300041199,0.658956853363678,0.09807458737118524,0.7078278416012178,0.8369354929139093,0.7256452877149907,0.4412958762645721,0.5275173788265306,0.11769571109693877,4183.672,2734.844,366.972,529.024,5.271852400003903,0.9988135424046423,0.6539349271637312,0.002382663119584322,0.896,0.6532,0.9892659558827741,0.0002602960739750415
flickr,short_step000,0.7213436136245728,0.6291780598491792,0.09327187965273374,0.6781721812909258,0.7732057357345538,0.747854570105499,0.3711998216509819,0.4686922831632653,0.09569236288265306,5110.904,4453.904,238.464,352.216,5.271829686724627,0.9988092391106174,0.6234601308974574,0.0020761067233979703,0.872,0.6236,0.9864096045259437,0.00028723562718369067
flickr,short_step016,0.723919242978096,0.6340086550606407,0.09097343707374234,0.6764243381198887,0.7777414291061133,0.7434880115521282,0.37849511218070986,0.47433753188775507,0.09866701211734692,4991.804,4331.5,250.06,382.372,5.272047765942263,0.9988505567461207,0.6238827440914751,0.0020609777150675654,0.868,0.6240000000000001,0.9860460075474697,0.000284485868178308
flickr,short_step064,0.7306334450244903,0.6383096295812352,0.09336565597819896,0.684406291463102,0.7902185257490967,0.739267071400488,0.39544622045755384,0.4854587053571428,0.10300677614795918,4809.068,4015.0,273.824,417.388,5.272504221531095,0.998937037548131,0.6295899853702603,0.0020520681152120233,0.872,0.6296000000000002,0.9854648251257403,0.0002783465024549514
flickr,lambda025k_best,0.6705901678800583,0.5543959395364229,0.11792636834658109,0.7120243581215269,0.6835743745958287,0.8064969774147739,0.3585974850058556,0.38770814732142855,0.06374585459183674,6491.256,6810.688,134.736,129.62,5.2716872715299585,0.9987822569012749,0.5824931692203962,0.0023748464323580265,0.756,0.5825999999999999,0.9697339157419732,0.0006553254788741469
flickr,lambda025k_latest,0.560375625371933,0.42913842122805745,0.1329068791890434,0.7150287477930275,0.4708820343386257,0.8411305915789673,0.30173073238134385,0.26257605229591835,0.03813942920918367,7997.684,11890.056,220.304,351.22,5.2643731896459816,0.997396519311966,0.4209820698123367,0.003801548147574067,0.388,0.4216000000000001,0.909904081632653,0.0014352999860420823
flickr,lambda050k_best,0.5275033876895905,0.41965404572153864,0.1092240959405899,0.7035083693056157,0.4072476781163094,0.8475881895703243,0.29906326988339427,0.23648860012755102,0.043654655612244894,7656.056,13471.752,216.304,286.324,5.265603892896505,0.9976296903076679,0.3450462014213974,0.0039058436127379537,0.248,0.34400000000000003,0.965885177561394,0.0010055603925138712
flickr,lambda050k_latest,0.4848979957103729,0.3695291584199257,0.11749524113379027,0.6809608495429732,0.326117303504308,0.8442823814857292,0.25385442966222765,0.17646922831632653,0.024008051658163266,8512.792,15426.152,144.96,157.272,5.254967307836577,0.9956144659810566,0.2977762565214838,0.005221197489649058,0.112,0.2964,0.9346395918367347,0.0015917601995170116
