dataset,model,sample_id,sample_index,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,coverage,precision,background_response,pred_area_ratio,fp_area_ratio,RemoveFP,RemoveTP,AddTP,AddFP,entropy,normalized_entropy,iou,raw_range
flickr,original_1.3g_final,10000130166,0,0.7883765697479248,0.7189038991928101,0.06947267055511475,0.6939239501953125,0.8629087725880072,0.8256603547817764,0.5120818614959717,0.6662348533163265,0.06778140943877552,0,0,0,0,5.275714615019669,0.9995452838057145,0.7799756972899652,0.001680279616266489
flickr,original_1.3g_final,10007936344,1,0.8608758449554443,0.7816275954246521,0.07924824953079224,0.79718017578125,0.9748452626567211,0.6360341703339374,0.5971607565879822,0.769889987244898,0.2589485012755102,0,0,0,0,5.276087357842478,0.9996159042538999,0.643244233840354,0.0016545250546187162
flickr,original_1.3g_final,10008553263,2,0.8137784004211426,0.8238111734390259,-0.0100327730178833,0.5892181396484375,0.8814822817631807,0.32542278238672623,0.658391535282135,0.7495216836734694,0.3850247130102041,0,0,0,0,5.276811259841236,0.9997530558782005,0.3685962111857362,0.0014968859031796455
flickr,original_1.3g_final,10009662863,3,0.8750447630882263,0.7846893072128296,0.09035545587539673,0.7578277587890625,0.9875369938052609,0.6116284894576256,0.6707623600959778,0.8752790178571429,0.27804129464285715,0,0,0,0,5.276110403242255,0.9996202704720033,0.6527465584486593,0.0018335687927901745
flickr,original_1.3g_final,10013411946,4,0.7680720090866089,0.7624324560165405,0.005639553070068359,0.573760986328125,0.8166012186865268,0.5092551933794967,0.5520786643028259,0.5900231186224489,0.2064532844387755,0,0,0,0,5.276600579731809,0.9997131400895092,0.5230990753430599,0.001398822758346796
flickr,original_1.3g_final,10016382545,5,0.7128827571868896,0.7590025067329407,-0.046119749546051025,0.42047119140625,0.8433630289532293,0.6447202642421765,0.5165632963180542,0.5852798150510204,0.15407764668367346,0,0,0,0,5.2762887345996194,0.9996540574146672,0.6273317650177264,0.0016446281224489212
flickr,original_1.3g_final,10031203703,6,0.841590166091919,0.7169261574745178,0.12466400861740112,0.833770751953125,0.9720936092475354,0.830364829961257,0.4920143485069275,0.7407525510204082,0.09948979591836735,0,0,0,0,5.277024439318106,0.9997934452010239,0.8400152418279306,0.0011104722507297993
flickr,original_1.3g_final,10035917404,7,0.8182573318481445,0.7741710543632507,0.0440862774848938,0.7021331787109375,0.8458326768552071,0.7566809494277499,0.5639892816543579,0.7069913903061225,0.1520049426020408,0,0,0,0,5.276906704449333,0.9997711389654881,0.681939433971851,0.0012173736467957497
flickr,original_1.3g_final,10045181004,8,0.7633994221687317,0.7260112762451172,0.0373881459236145,0.6396942138671875,0.836653466540696,0.7161711060637346,0.5274754166603088,0.5791214923469388,0.15013153698979592,0,0,0,0,5.275671882439701,0.9995371876231328,0.6421705522040332,0.0018541463650763035
flickr,original_1.3g_final,10060697266,9,0.7772217988967896,0.6772909760475159,0.09993082284927368,0.76287841796875,0.9319250819310251,0.9037049234315824,0.4380022883415222,0.6051698022959183,0.042291135204081634,0,0,0,0,5.2740812036169125,0.9992358150828439,0.86928011404134,0.002094024559482932
flickr,original_1.3g_final,10061269855,10,0.7054218053817749,0.7021568417549133,0.0032649636268615723,0.521209716796875,0.718748585823541,0.9441604248404867,0.3734907805919647,0.5028898278061225,0.02112563775510204,0,0,0,0,5.274631764682896,0.9993401252582624,0.6964758159998831,0.0018002483993768692
flickr,original_1.3g_final,10067897816,11,0.8223742246627808,0.7900528907775879,0.03232133388519287,0.6899871826171875,0.9412226012625966,0.35251270302816695,0.6098294258117676,0.6785514987244898,0.41563695790816324,0,0,0,0,5.2769567120288885,0.9997806134810651,0.3571332926665972,0.0013253376819193363
flickr,original_1.3g_final,10069511285,12,0.8512538075447083,0.820336639881134,0.03091716766357422,0.6604232788085938,0.9600125450838952,0.7909356347381205,0.537761926651001,0.7713050063775511,0.12452168367346939,0,0,0,0,5.275696365419009,0.9995418262073411,0.8027168069650958,0.0016861394979059696
flickr,original_1.3g_final,10079676496,13,0.8364086151123047,0.7606256604194641,0.07578295469284058,0.7537078857421875,0.9693342227189962,0.6991392089043768,0.5350046753883362,0.7663624043367347,0.1530811543367347,0,0,0,0,5.275548600830542,0.9995138304933397,0.7591026527932685,0.00169140356592834
flickr,original_1.3g_final,10080652613,14,0.8112080693244934,0.7183452248573303,0.09286284446716309,0.7784881591796875,0.9705357142857143,0.8579448994787788,0.3896259367465973,0.6691446109693877,0.07364078443877552,0,0,0,0,5.274350936148831,0.9992869190374439,0.8630861423220973,0.0016490686684846878
flickr,original_1.3g_final,10106776154,15,0.6818603277206421,0.7409039735794067,-0.05904364585876465,0.38958740234375,0.7480036831856537,0.8608630693860533,0.4692973792552948,0.573600924744898,0.06253985969387756,0,0,0,0,5.277490396937683,0.9998817262728952,0.6832728927374764,0.0009726895950734615
flickr,original_1.3g_final,10109936483,16,0.8778873682022095,0.8047164678573608,0.07317090034484863,0.73895263671875,0.9993254844248222,0.4904155758177605,0.5600290894508362,0.6622887436224489,0.30506616709183676,0,0,0,0,5.275844048793456,0.9995698065344052,0.5154831567294006,0.0013564135879278183
flickr,original_1.3g_final,10110769444,17,0.7951217889785767,0.7492428421974182,0.04587894678115845,0.68182373046875,0.95826855412814,0.6587725712999943,0.5533580183982849,0.7085857780612245,0.20493861607142858,0,0,0,0,5.275502129427531,0.9995050259473964,0.6744996400287977,0.0019491873681545258
flickr,original_1.3g_final,10111706074,18,0.7440587282180786,0.7533198595046997,-0.009261131286621094,0.553009033203125,0.7715415620959769,0.6644833797281807,0.45149940252304077,0.6085578762755102,0.11473612882653061,0,0,0,0,5.276618538994777,0.9997165426800414,0.6329745749493059,0.0011813375167548656
flickr,original_1.3g_final,10119607346,19,0.7435780167579651,0.7933996915817261,-0.049821674823760986,0.5300445556640625,0.7275628087576649,0.5948078071471226,0.4980083107948303,0.6341079400510204,0.14399314413265307,0,0,0,0,5.277097146175277,0.9998072203578486,0.5694041189655951,0.0009016063995659351
flickr,original_1.3g_final,10119736773,20,0.8141911029815674,0.6934674978256226,0.12072360515594482,0.7736378205128205,0.9644582281260292,0.8856545188769596,0.3204840421676636,0.7907764668367347,0.0011160714285714285,0,0,0,0,5.276196488560885,0.9996365803334193,0.9629781869998904,0.001371479593217373
flickr,original_1.3g_final,10129791115,21,0.812919557094574,0.7195054292678833,0.09341412782669067,0.735687255859375,0.9121520794134821,0.7105050368922879,0.49107053875923157,0.5915377869897959,0.15068957270408162,0,0,0,0,5.275511933729671,0.999506883486077,0.6873584198432229,0.0015229643322527409
flickr,original_1.3g_final,10129813456,22,0.8317071199417114,0.6827523708343506,0.14895474910736084,0.88037109375,0.9909713628361773,0.777366075090924,0.5543020367622375,0.7288145727040817,0.1283282844387755,0,0,0,0,5.277603576954866,0.9999031695390026,0.8093123229562569,0.0009505837224423885
flickr,original_1.3g_final,10163352444,23,0.8190754652023315,0.7179046869277954,0.10117077827453613,0.7574310302734375,0.9587824133827252,0.8121077888519749,0.4834077060222626,0.7018694196428571,0.11226482780612244,0,0,0,0,5.276005896090826,0.999600470380839,0.8064857243567148,0.0014522578567266464
flickr,original_1.3g_final,10165890496,24,0.7456923723220825,0.7606513500213623,-0.014958977699279785,0.5507659912109375,0.729395262550621,0.6593586387434555,0.5094670057296753,0.4872448979591837,0.15886080994897958,0,0,0,0,5.273542935753474,0.9991338339971361,0.5360557338343614,0.0021538075525313616
flickr,original_1.3g_final,10173808724,25,0.8137174844741821,0.7166217565536499,0.09709572792053223,0.774078369140625,0.8788426763110307,0.870212349271186,0.42182204127311707,0.7123525191326531,0.07906170280612244,0,0,0,0,5.275633135609011,0.9995298465869501,0.790263980284052,0.001373825129121542
flickr,original_1.3g_final,10202025415,26,0.7795229554176331,0.689459502696991,0.09006345272064209,0.76971435546875,0.893295989675577,0.939458257529816,0.34383442997932434,0.6901506696428571,0.024972098214285716,0,0,0,0,5.275454316091341,0.9994959671566583,0.86358387640524,0.0015681739896535873
flickr,original_1.3g_final,10221582415,27,0.7640256881713867,0.6900467276573181,0.0739789605140686,0.7280731201171875,0.8590010839656467,0.732904584388606,0.5683366656303406,0.7003547512755102,0.1722138073979592,0,0,0,0,5.2770222314754704,0.9997930268996457,0.66682201250534,0.0015049232169985771
flickr,original_1.3g_final,10234680056,28,0.763022780418396,0.7380841970443726,0.024938583374023438,0.6330413818359375,0.8633065376680658,0.7466621546791362,0.4512774348258972,0.6478396045918368,0.05775669642857143,0,0,0,0,5.275719949341747,0.9995462944548615,0.7826325293434799,0.0015914114192128181
flickr,original_1.3g_final,10246013484,29,0.7957853078842163,0.7073625326156616,0.08842277526855469,0.7513275146484375,0.9563669258603433,0.7430686406460296,0.46727198362350464,0.6663544323979592,0.07555404974489796,0,0,0,0,5.275736576963676,0.9995494447505642,0.8345762370250932,0.0016813608817756176
flickr,original_1.3g_final,10268129763,30,0.8541765213012695,0.8156554698944092,0.03852105140686035,0.6729736328125,0.9801745852514548,0.645396053760366,0.5587154030799866,0.6969467474489796,0.20998086734693877,0,0,0,0,5.2767644769988165,0.9997441923264514,0.6724718431559502,0.0011778599582612514
flickr,original_1.3g_final,10278084464,31,0.772804856300354,0.8041941523551941,-0.03138929605484009,0.44244384765625,0.9388596714778862,0.5657248157248157,0.5728750228881836,0.7138073979591837,0.28164859693877553,0,0,0,0,5.2766610225965245,0.9997245916908133,0.5673484816665967,0.0012384387664496899
flickr,original_1.3g_final,10283938426,32,0.8316484093666077,0.7845934629440308,0.047054946422576904,0.6965179443359375,0.9925278589342503,0.48801200071190665,0.6087315082550049,0.7838608099489796,0.3352200255102041,0,0,0,0,5.276804414750597,0.9997517589964385,0.53082954215468,0.0013148984871804714
flickr,original_1.3g_final,10289643764,33,0.8134734034538269,0.7275195717811584,0.08595383167266846,0.7331085205078125,0.9628491838275494,0.6080294610857199,0.48922184109687805,0.6061264349489796,0.20509805484693877,0,0,0,0,5.274458760389791,0.9993073475896679,0.6269218381841913,0.0017500193789601326
flickr,original_1.3g_final,10304554474,34,0.8146178722381592,0.8733782768249512,-0.05876040458679199,0.397705078125,0.8594332042947922,0.6301850413732158,0.6164689064025879,0.7442402742346939,0.22092235331632654,0,0,0,0,5.275535033568766,0.9995112600183402,0.611771128499753,0.0016205045394599438
