dataset,model,readout,cIoU,AUC
flickr,original_1.3g_final,AUD,0.812,0.6356
flickr,original_1.3g_final,IMG_QUERY,0.804,0.6165999999999998
flickr,original_1.3g_final,IQR,0.804,0.6365999999999999
flickr,original_1.3g_final,OBJ_PRIOR,0.448,0.4668
flickr,original_1.3g_final,OGL,0.868,0.6592
flickr,original_1.3g_final,EXTRA_IQR_OGL,0.844,0.6534
flickr,cram_c3_stage1,AUD,0.864,0.6184000000000001
flickr,cram_c3_stage1,IMG_QUERY,0.824,0.6054
flickr,cram_c3_stage1,IQR,0.86,0.6157999999999999
flickr,cram_c3_stage1,OBJ_PRIOR,0.448,0.4668
flickr,cram_c3_stage1,OGL,0.848,0.616
flickr,cram_c3_stage1,EXTRA_IQR_OGL,0.884,0.6248
flickr,cram_c3_stage2,AUD,0.896,0.6532
flickr,cram_c3_stage2,IMG_QUERY,0.824,0.6054
flickr,cram_c3_stage2,IQR,0.884,0.6414000000000001
flickr,cram_c3_stage2,OBJ_PRIOR,0.448,0.4668
flickr,cram_c3_stage2,OGL,0.888,0.643
flickr,cram_c3_stage2,EXTRA_IQR_OGL,0.908,0.6506000000000001
flickr,short_step000,AUD,0.872,0.6236
flickr,short_step000,IMG_QUERY,0.824,0.6054
flickr,short_step000,IQR,0.864,0.6186000000000001
flickr,short_step000,OBJ_PRIOR,0.448,0.4668
flickr,short_step000,OGL,0.852,0.6214000000000001
flickr,short_step000,EXTRA_IQR_OGL,0.88,0.6285999999999999
flickr,short_step016,AUD,0.868,0.6240000000000001
flickr,short_step016,IMG_QUERY,0.824,0.6054
flickr,short_step016,IQR,0.868,0.6190000000000001
flickr,short_step016,OBJ_PRIOR,0.448,0.4668
flickr,short_step016,OGL,0.852,0.623
flickr,short_step016,EXTRA_IQR_OGL,0.884,0.6305999999999999
flickr,short_step064,AUD,0.872,0.6296000000000002
flickr,short_step064,IMG_QUERY,0.824,0.6054
flickr,short_step064,IQR,0.872,0.6232000000000002
flickr,short_step064,OBJ_PRIOR,0.448,0.4668
flickr,short_step064,OGL,0.864,0.6294
flickr,short_step064,EXTRA_IQR_OGL,0.892,0.6363999999999999
flickr,lambda025k_best,AUD,0.756,0.5825999999999999
flickr,lambda025k_best,IMG_QUERY,0.824,0.6054
flickr,lambda025k_best,IQR,0.844,0.6063999999999999
flickr,lambda025k_best,OBJ_PRIOR,0.448,0.4668
flickr,lambda025k_best,OGL,0.78,0.5972000000000001
flickr,lambda025k_best,EXTRA_IQR_OGL,0.86,0.6108
flickr,lambda025k_latest,AUD,0.388,0.4216000000000001
flickr,lambda025k_latest,IMG_QUERY,0.824,0.6054
flickr,lambda025k_latest,IQR,0.632,0.5394000000000001
flickr,lambda025k_latest,OBJ_PRIOR,0.448,0.4668
flickr,lambda025k_latest,OGL,0.572,0.5184000000000001
flickr,lambda025k_latest,EXTRA_IQR_OGL,0.612,0.5378000000000001
flickr,lambda050k_best,AUD,0.248,0.34400000000000003
flickr,lambda050k_best,IMG_QUERY,0.824,0.6054
flickr,lambda050k_best,IQR,0.472,0.4712
flickr,lambda050k_best,OBJ_PRIOR,0.448,0.4668
flickr,lambda050k_best,OGL,0.388,0.4424
flickr,lambda050k_best,EXTRA_IQR_OGL,0.436,0.45880000000000004
flickr,lambda050k_latest,AUD,0.112,0.2964
flickr,lambda050k_latest,IMG_QUERY,0.824,0.6054
flickr,lambda050k_latest,IQR,0.432,0.4664
flickr,lambda050k_latest,OBJ_PRIOR,0.448,0.4668
flickr,lambda050k_latest,OGL,0.396,0.44720000000000004
flickr,lambda050k_latest,EXTRA_IQR_OGL,0.416,0.4636
