dataset,model,sample_id,AUD,IMG_QUERY,OBJ_PRIOR,IQR,OGL,EXTRA_IQR_OGL
vggss,original_1.3g_final,-0BIyqJj9ZU_000030,0.299209068494028,0.25156669650850494,0.42272030651340997,0.299739266469668,0.34181855912565284,0.3220237886389951
vggss,original_1.3g_final,-0UuUoXQUoI_000107,0.6284455632473254,0.500818094321463,0.2959703984477235,0.5812043795620438,0.45500074378935884,0.5073203423033302
vggss,original_1.3g_final,-2-wdcN5vOw_000017,0.6180354539500095,0.5655701148937073,0.3897850673635831,0.5951922058667797,0.5247492790427409,0.5732032132279303
vggss,original_1.3g_final,-23CeprtibU_000030,0.35658715690553827,0.3180734517795311,0.3822492636051958,0.3440522053620568,0.39264516129032256,0.36067190890899353
vggss,original_1.3g_final,-2Dm0VjW8oM_000001,0.5905244122965642,0.5328180918297418,0.5322961463867105,0.5621723399542199,0.5793792781580585,0.5709410783347236
vggss,original_1.3g_final,-2sOH8XovEE_000484,0.15380407338831847,0.12690531578764627,0.20038377192982457,0.14119055896782168,0.1596767147225863,0.15026929243925502
vggss,original_1.3g_final,-3Kv4fdm7Uk_000030,0.2126767736122537,0.4332801276935355,0.2927117841930904,0.27714533666853847,0.26326253515662884,0.27593392630241426
vggss,original_1.3g_final,-4bPiXbovf0_000008,0.3683358165446654,0.49113375243876,0.7401919732010565,0.4086641823133152,0.5110013669033027,0.4617514849895649
vggss,original_1.3g_final,-5CGQGSFGyg_000060,0.2661225221993004,0.42615760713258555,0.40824329731892756,0.36020395775160857,0.35864111708879887,0.3541206659903324
vggss,original_1.3g_final,-5z9IXBJefc_000227,0.23361096184846858,0.272206463095834,0.1534697508896797,0.26163964990418975,0.22881449563584133,0.22873070682697508
vggss,original_1.3g_final,-79qo5MUYBk_000207,0.3122514042811599,0.33263403263403263,0.3021586023964145,0.3222260499201403,0.31863412590342516,0.31919000261711594
vggss,original_1.3g_final,-7TanrCbmME_000030,0.3091738146105035,0.3003360041354355,0.034813104097168764,0.30684098116626757,0.2839307741187904,0.30545528153571067
vggss,original_1.3g_final,-7sg--aJdrc_000049,0.39948591105291237,0.30182654672800935,0.09781289860933952,0.38456979688594367,0.3603053845533482,0.38742929640006346
vggss,original_1.3g_final,-7tYmeOmsRg_000058,0.12137356261208988,0.1536463603858868,0.13472811805134424,0.12910204540346146,0.12094535649139504,0.12315772549439949
vggss,original_1.3g_final,-7tYmeOmsRg_000180,0.20508646998982705,0.3071050171392957,0.11788660332045525,0.28190516392289294,0.2714427144271443,0.29121318822023046
vggss,original_1.3g_final,-86gl1hp1Aw_000105,0.5758850779888648,0.604832141887612,0.7004938772748799,0.5927665364526182,0.6669544900446973,0.6279834617553092
vggss,original_1.3g_final,-8cgbhIR_pw_000030,0.3135029911689298,0.2776282521817144,0.6745941864854662,0.2884256905609219,0.38825813283134303,0.3012789308315263
vggss,original_1.3g_final,-A3zsFeU_OI_000030,0.14834959518372431,0.1757566823899371,0.15663498768039422,0.1592193808882907,0.1402000271530072,0.14650077760497668
vggss,original_1.3g_final,-ANxUxvGASw_000010,0.06107448662574828,0.06745616604594719,0.1779895821788762,0.06416686569540642,0.10211579880907133,0.08088714938030006
vggss,original_1.3g_final,-ByoSbgzr4M_000000,0.6009911599249933,0.5500123690937577,0.27911782641100347,0.6220767888307155,0.3640525237923142,0.4776820005120765
vggss,original_1.3g_final,-CZ1LIc8aos_000020,0.31088351591365787,0.3667368613806995,0.6416702539819199,0.35919767748746373,0.4609447511113282,0.39201086062201745
vggss,original_1.3g_final,-Cr0WQoFQQs_000045,0.29859598721097264,0.29860982391102875,0.5980309423347399,0.29793333025105184,0.3849232423391673,0.33199381761978364
vggss,original_1.3g_final,-Cv3gOXEoxA_000040,0.347538742023701,0.35215752534442424,0.5089997954591942,0.35995562950637827,0.40853793408537936,0.3790130007959671
vggss,original_1.3g_final,-D64b_8YJK4_000046,0.26690251572327045,0.2581945395087079,0.36019975299361007,0.26220265678097004,0.3144100759399889,0.28889928945241033
vggss,original_1.3g_final,-E5o64ACjm0_000017,0.1834825738157851,0.20101207845454883,0.30510492632832265,0.19245962991198282,0.2206015994183933,0.20343253031018738
vggss,original_1.3g_final,-FoTxwPOz3U_000000,0.1798101265822785,0.19538261286565733,0.1630916630916631,0.18948557756214277,0.17927792648690996,0.18726097850454965
vggss,original_1.3g_final,-GOaBCyC5Js_000087,0.3565344520722095,0.34947040498442367,0.5085950254489581,0.3512430333771683,0.41767815920768486,0.37661988853823947
vggss,original_1.3g_final,-GW1J75oAKU_000304,0.5647055668776145,0.4409532685394754,0.358421768707483,0.49530635714476745,0.42691156462585034,0.4674565861347392
vggss,original_1.3g_final,-HMEhGV38GM_000216,0.16210564596781527,0.16818995571468953,0.10451552698429156,0.17641243636004153,0.14829370211919213,0.17228142835496743
vggss,original_1.3g_final,-IKnJa9U66I_000150,0.2078718038752514,0.23607032807685335,0.35690555291884196,0.21535103674063297,0.3128513091520538,0.2466573235862278
vggss,original_1.3g_final,-Igq1W20Gi8_000000,0.2834169708029197,0.37284321080270066,0.6501442433779177,0.331997327989312,0.3967747086060993,0.3601710268860062
vggss,original_1.3g_final,-JGpAlLrSD0_000458,0.7372499337084941,0.6040061132247261,0.5147253913504909,0.6914197530864198,0.7654660763431853,0.7461993243243243
vggss,original_1.3g_final,-JUBdOr8Hes_000030,0.7381515369589802,0.719821328866555,0.5608777725342142,0.7504507370877082,0.6984924623115578,0.7360183867790303
vggss,original_1.3g_final,-JUhUI_KvUI_000026,0.5154355408964716,0.44776189032212915,0.4654383548164912,0.4882582709774578,0.5111920625029958,0.5058572949946751
