dataset,state,batch,term,loss,base_norm,weighted_cram_norm,raw_cram_norm,total_norm,ratio,cosine,sum_relative_error
flickr,initial,0,base,0.000978419790044427,8.288662645665958e-05,1.1730929445181062e-05,4.692371778072425e-10,8.405498992471993e-05,0.14152982147626703,0.029533882416167508,2.6296827471460843e-08
flickr,initial,0,coarse,8.426292333751917e-05,2.9271763539263003e-05,1.1730929445181062e-05,4.692371778072425e-10,2.9106983829465468e-05,0.40075923097171956,-0.21438668174290237,2.6194910106680896e-08
flickr,initial,0,equiv,0.0008941568084992468,9.081949739146825e-05,1.1730929445181062e-05,4.692371778072425e-10,9.268475549921691e-05,0.12916752219642966,0.09605248996102132,2.6067993821700088e-08
flickr,initial,0,positive_half,0.00016813473484944552,4.8884549591647936e-05,1.1730929445181062e-05,4.692371778072425e-10,5.232535180198794e-05,0.23997212909138319,0.18364672854885755,2.6327898023490407e-08
flickr,initial,0,negative_half,-0.00023007196432445198,4.813195826300068e-05,1.1730929445181062e-05,4.692371778072425e-10,5.0188653727524704e-05,0.24372433344767308,0.057206096037954624,2.6164079604847335e-08
flickr,initial,0,base_view_a,0.000978419790044427,5.028720215491329e-05,1.1730929445181062e-05,4.692371778072425e-10,5.0324906117960986e-05,0.23327862641956304,-0.11342404410321337,2.6140231178046384e-08
flickr,initial,0,base_view_b,0.000978419790044427,8.291708937242337e-05,1.1730929445181062e-05,4.692371778072425e-10,8.487704888026132e-05,0.14147782482440277,0.0983119614608629,2.623722249121315e-08
flickr,initial,1,base,0.000975548813585192,8.073811745011506e-05,1.138634342444005e-05,4.55453736977602e-10,8.405530772950168e-05,0.14102810152187692,0.22680132958908003,2.6135985806520498e-08
flickr,initial,1,coarse,8.161362347891554e-05,2.7853004612921376e-05,1.138634342444005e-05,4.55453736977602e-10,2.792441712716582e-05,0.4088012615758436,-0.1981208215563103,2.6455645458444213e-08
flickr,initial,1,equiv,0.0008939352119341493,9.013449487929493e-05,1.138634342444005e-05,4.55453736977602e-10,9.378989236294254e-05,0.12632614671761633,0.264380159273126,2.5866096574456215e-08
flickr,initial,1,positive_half,0.00016100425273180008,5.3507325399464136e-05,1.138634342444005e-05,4.55453736977602e-10,5.87102568311965e-05,0.2127997118045837,0.3727611824144216,2.634912568335789e-08
flickr,initial,1,negative_half,-0.0002071727067232132,5.038324180584496e-05,1.138634342444005e-05,4.55453736977602e-10,4.973133756480906e-05,0.22599465648355957,-0.16988010384178803,2.648340900502666e-08
flickr,initial,1,base_view_a,0.000975548813585192,5.919198009664464e-05,1.138634342444005e-05,4.55453736977602e-10,5.924500432968109e-05,0.1923629418351811,-0.09152255930293633,2.6070539099075886e-08
flickr,initial,1,base_view_b,0.000975548813585192,9.833999725935066e-05,1.138634342444005e-05,4.55453736977602e-10,0.00010168960125029847,0.11578547632466382,0.24129463623894853,2.5633268225311715e-08
flickr,initial,2,base,0.0010162563994526863,8.049968740771119e-05,1.0583646409312106e-05,4.2334585637248427e-10,8.393990378505921e-05,0.13147437897129377,0.26625864747593236,2.56729305672498e-08
flickr,initial,2,coarse,8.542982686776668e-05,2.720473765986387e-05,1.0583646409312106e-05,4.2334585637248427e-10,2.753883615524735e-05,0.38903688547331744,-0.16275717642131848,2.626284358195584e-08
flickr,initial,2,equiv,0.000930826528929174,9.090069779680196e-05,1.0583646409312106e-05,4.2334585637248427e-10,9.445828977062317e-05,0.11643085989252391,0.28450283068624577,2.5882617866622045e-08
flickr,initial,2,positive_half,0.0001555019262013957,4.569187116341099e-05,1.0583646409312106e-05,4.2334585637248427e-10,5.11936656433656e-05,0.23163083804252801,0.43532092519756793,2.7074725881164128e-08
flickr,initial,2,negative_half,-0.00019507766410242766,4.2174991757563734e-05,1.0583646409312106e-05,4.2334585637248427e-10,4.115507149908799e-05,0.25094602199688676,-0.22067535148258247,2.6353095568811706e-08
flickr,initial,2,base_view_a,0.0010162563994526863,4.781053981933455e-05,1.0583646409312106e-05,4.2334585637248427e-10,4.815458809325234e-05,0.2213663859330048,-0.07805869343674011,2.6181304628465018e-08
