dataset,state,step,precision,group,base_norm,weighted_cram_norm,raw_cram_norm,total_norm,ratio,cosine,sum_relative_error
flickr,short,0,amp,all_student,8.286593799658127e-05,1.1730093190253577e-05,4.69203727610143e-10,8.400780122158936e-05,0.14155506440701263,0.02721608142608323,0.00036964802638482004
flickr,short,0,amp,proj3_spatial,0.0,0.0,0.0,0.0,nan,nan,0.0
flickr,short,0,amp,adapter,8.286593799658127e-05,1.1730093190253577e-05,4.69203727610143e-10,8.400780122158936e-05,0.14155506440701263,0.02721608142608323,0.00036964802638482004
flickr,short,0,amp,adapter_output_conv,8.286593799658127e-05,1.1730093190253577e-05,4.69203727610143e-10,8.400780122158936e-05,0.14155506440701263,0.02721608142608323,0.00036964802638482004
flickr,short,0,amp,K34_activation,9.277133624096003e-06,2.1921291935930358e-06,8.768516774372143e-11,9.557071844489947e-06,0.23629380392875873,0.011480656148628176,0.0002113351801688106
flickr,short,0,amp,F34_activation,5.33646140553106e-06,1.1176880923595222e-06,4.4707523694380886e-11,5.475815669024514e-06,0.20944367576631898,0.021586277992491694,0.000398768308639554
flickr,short,0,fp32,all_student,8.288662645886835e-05,1.1730929445181062e-05,4.692371778072425e-10,8.405498892139867e-05,0.14152982147249554,0.029533882105007847,3.421338952785494e-06
flickr,short,0,fp32,proj3_spatial,0.0,0.0,0.0,0.0,nan,nan,0.0
flickr,short,0,fp32,adapter,8.288662645886835e-05,1.1730929445181062e-05,4.692371778072425e-10,8.405498892139867e-05,0.14152982147249554,0.029533882105007847,3.421338952785494e-06
flickr,short,0,fp32,adapter_output_conv,8.288662645886835e-05,1.1730929445181062e-05,4.692371778072425e-10,8.405498892139867e-05,0.14152982147249554,0.029533882105007847,3.421338952785494e-06
flickr,short,0,fp32,K34_activation,9.280352961930253e-06,2.192086460672938e-06,8.768345842691752e-11,9.560379031602449e-06,0.23620722936565966,0.011567745747975014,2.5902823535652013e-08
flickr,short,0,fp32,F34_activation,5.338311524370102e-06,1.1175402372375356e-06,4.4701609489501424e-11,5.477610099184866e-06,0.20934339109582045,0.021602069875920442,5.280468669960952e-07
flickr,short,1,amp,all_student,7.966193734591666e-05,1.1375519702971645e-05,4.550207881188658e-10,8.294359212735539e-05,0.14279742725281255,0.22296680848593614,0.00042016106569753227
flickr,short,1,amp,proj3_spatial,2.4611566384735442e-06,2.2581327041227564e-07,9.032530816491025e-12,2.533738970323783e-06,0.09175087309856446,0.27979668635572463,0.004079556026005935
flickr,short,1,amp,adapter,7.962390953542566e-05,1.1373278194065326e-05,4.5493112776261305e-10,8.290488309996795e-05,0.14283747508033645,0.2229455477831715,0.0004014414797354823
flickr,short,1,amp,adapter_output_conv,7.953427779541192e-05,1.136236305580901e-05,4.544945222323604e-10,8.281305723991216e-05,0.14286120866070742,0.22302205578789078,0.00038688254217426145
flickr,short,1,amp,K34_activation,9.476876177060139e-06,2.1890193854498283e-06,8.756077541799314e-11,9.756382128081406e-06,0.23098533151130535,0.014077544389292936,0.0002114947509745728
flickr,short,1,amp,F34_activation,5.458320299454446e-06,1.1170050594315543e-06,4.468020237726217e-11,5.596403251647141e-06,0.20464263695613427,0.02286346210968894,0.0003957929485353161
flickr,short,2,amp,all_student,7.937978140279329e-05,1.0611861158694807e-05,4.2447444634779225e-10,8.278426236498371e-05,0.13368468608961662,0.26092883609655976,0.0003972108221577698
flickr,short,2,amp,proj3_spatial,4.922143576435166e-06,3.9382832854798526e-07,1.575313314191941e-11,5.05221051998284e-06,0.08001154830863612,0.2959878662017743,0.002107055645290555
flickr,short,2,amp,adapter,7.922702946702095e-05,1.0604550744800489e-05,4.241820297920195e-10,8.262995379507502e-05,0.13385016220019633,0.2609292169535072,0.0003765220828535017
flickr,short,2,amp,adapter_output_conv,7.890868631404936e-05,1.0571221429936066e-05,4.2284885719744263e-10,8.230399729552043e-05,0.13396777875459198,0.26117794498404473,0.00035988972711393195
flickr,short,2,amp,K34_activation,9.594760795428938e-06,2.0908317446260123e-06,8.36332697850405e-11,9.868854631431777e-06,0.21791390001323538,0.024009677975587885,0.0002115790177421585
flickr,short,2,amp,F34_activation,5.4801176625774556e-06,1.0483056682027265e-06,4.1932226728109064e-11,5.608138428907884e-06,0.19129254748696006,0.02790602868906829,0.00039390587743693724
flickr,short,3,amp,all_student,8.904759404712872e-05,1.053363850506753e-05,4.2134554020270116e-10,9.271927752175821e-05,0.11829223032676849,0.2966590353027712,0.00038767237380384523
flickr,short,3,amp,proj3_spatial,7.953470505064471e-06,6.523218354309099e-07,2.6092873417236397e-11,8.214943197897673e-06,0.08201725712260274,0.36652691427309436,0.001271858224546666
flickr,short,3,amp,adapter,8.869169246613407e-05,1.0513420774346537e-05,4.205368309738615e-10,9.235463785004049e-05,0.11853895761839216,0.2963828669043233,0.00037239788098316994
flickr,short,3,amp,adapter_output_conv,8.789369962921668e-05,1.0432325825174559e-05,4.172930330069824e-10,9.153516235293745e-05,0.11869253278885483,0.2969899815550731,0.0003599164836150571
flickr,short,3,amp,K34_activation,9.91276382762087e-06,2.138470673792062e-06,8.553882695168248e-11,1.0186877201435373e-05,0.21572900464282618,0.022090881164507744,0.0002117176973845068
flickr,short,3,amp,F34_activation,5.774382862967348e-06,1.079423362870311e-06,4.317693451481244e-11,5.908464341372922e-06,0.18693311276481853,0.03219143737551777,0.00038715270441772097
flickr,short,4,amp,all_student,8.289017418442967e-05,1.1576144773544409e-05,4.6304579094177633e-10,8.585861213158597e-05,0.13965641751201563,0.19116255317923744,0.00039623213769339255
flickr,short,4,amp,proj3_spatial,1.0289907004415964e-05,8.851604979051527e-07,3.540641991620611e-11,1.0634007721428176e-05,0.08602220579110012,0.35193917163872696,0.0010215767492439249
flickr,short,4,amp,adapter,8.224900479741723e-05,1.1542253623578362e-05,4.616901449431345e-10,8.51975302279516e-05,0.14033304903819105,0.1898418330747564,0.0003784009196033007
flickr,short,4,amp,adapter_output_conv,8.099291007487166e-05,1.1380471347158696e-05,4.5521885388634784e-10,8.391313651493111e-05,0.1405119452633364,0.19094165116367126,0.0003638143992712474
flickr,short,4,amp,K34_activation,9.77964914174787e-06,2.073637410172305e-06,8.29454964068922e-11,1.0042552455522e-05,0.21203597185508985,0.022472261702901536,0.000211578356272545
flickr,short,4,amp,F34_activation,5.572962153091475e-06,1.0574374364310255e-06,4.229749745724102e-11,5.701238701935847e-06,0.18974423428381545,0.027837534829255484,0.0003912790689907665
