step,base_loss,coarse_loss,equiv_loss,cram_loss,d_pos,d_neg,gap,anchor_entropy,scale,amp
0,0.0009780273539945483,8.426712884102017e-05,0.0008937602397054434,0.6931471824645996,1.3450620173216521e-08,1.840541230535564e-08,4.954792132139119e-09,5.274106025695801,65536.0,True
1,0.00097300746710971,8.168286876752973e-05,0.0008913245983421803,0.6931471824645996,1.2860589038155013e-08,1.6556763071662317e-08,3.6961735894180947e-09,5.27400016784668,65536.0,True
2,0.0010124769760295749,8.56313417898491e-05,0.000926845648791641,0.6931471824645996,1.2402209037531975e-08,1.5578034862073764e-08,3.1758240481849498e-09,5.274123668670654,65536.0,True
3,0.0010583633556962013,8.41183791635558e-05,0.0009742449619807303,0.6931471824645996,1.2289572026702444e-08,1.6310547579223567e-08,4.020976440699542e-09,5.273913383483887,65536.0,True
4,0.0010423468193039298,8.7211090431083e-05,0.0009551357361488044,0.6931471824645996,1.1609170513793288e-08,1.5141905507221054e-08,3.532736325695396e-09,5.274048328399658,65536.0,True
5,0.001019441755488515,8.751508721616119e-05,0.0009319267119280994,0.6931471824645996,1.4863873687431806e-08,1.7927540341133863e-08,3.0636655434790327e-09,5.2738847732543945,65536.0,True
6,0.0010632891207933426,8.861736569087952e-05,0.0009746717405505478,0.6931471824645996,1.5128428287880524e-08,1.8960570002946042e-08,3.832140826887098e-09,5.273935317993164,65536.0,True
7,0.0010758894495666027,8.77321872394532e-05,0.000988157233223319,0.6931471824645996,1.3093873540981349e-08,1.7768098103942975e-08,4.674225451140046e-09,5.273970127105713,65536.0,True
8,0.0010565079282969236,8.59588326420635e-05,0.0009705490665510297,0.6931471824645996,1.2275854999188596e-08,1.6367422972507484e-08,4.091566196962049e-09,5.273974418640137,65536.0,True
9,0.000973106303717941,8.701260230736807e-05,0.0008860937086865306,0.6931471824645996,1.2128932525001801e-08,1.6039548356161504e-08,3.910615831159703e-09,5.274096488952637,65536.0,True
