dataset,state,step,precision,group,base_norm,weighted_cram_norm,raw_cram_norm,total_norm,ratio,cosine,sum_relative_error
vggss,short,0,amp,all_student,9.756046075592475e-05,3.6846203532376905e-05,1.4738481412950762e-09,0.00012417234360646238,0.3776755792959831,0.6319290652652183,0.0003571965636087713
vggss,short,0,amp,proj3_spatial,0.0,0.0,0.0,0.0,nan,nan,0.0
vggss,short,0,amp,adapter,9.756046075592475e-05,3.6846203532376905e-05,1.4738481412950762e-09,0.00012417234360646238,0.3776755792959831,0.6319290652652183,0.0003571965636087713
vggss,short,0,amp,adapter_output_conv,9.756046075592475e-05,3.6846203532376905e-05,1.4738481412950762e-09,0.00012417234360646238,0.3776755792959831,0.6319290652652183,0.0003571965636087713
vggss,short,0,amp,K34_activation,9.793767972534504e-06,3.2085721695222935e-06,1.2834288678089173e-10,1.0495894714997913e-05,0.3276136598825258,0.06286615238371518,0.0002129245037847528
vggss,short,0,amp,F34_activation,5.2266338417021246e-06,1.5567548327864908e-06,6.227019331145963e-11,5.5801503924010235e-06,0.2978503717565783,0.0858405005245865,0.0003919274697788295
vggss,short,0,fp32,all_student,9.759932493135523e-05,3.6859338794106485e-05,1.4743735517642595e-09,0.0001242304888406258,0.37765977193009126,0.6322504914914303,2.2483145224987767e-06
vggss,short,0,fp32,proj3_spatial,0.0,0.0,0.0,0.0,nan,nan,0.0
vggss,short,0,fp32,adapter,9.759932493135523e-05,3.6859338794106485e-05,1.4743735517642595e-09,0.0001242304888406258,0.37765977193009126,0.6322504914914303,2.2483145224987767e-06
vggss,short,0,fp32,adapter_output_conv,9.759932493135523e-05,3.6859338794106485e-05,1.4743735517642595e-09,0.0001242304888406258,0.37765977193009126,0.6322504914914303,2.2483145224987767e-06
vggss,short,0,fp32,K34_activation,9.797216876644635e-06,3.208789582401714e-06,1.2835158329606856e-10,1.049901452154457e-05,0.3275205216749948,0.06278415178142276,2.6051146830960086e-08
vggss,short,0,fp32,F34_activation,5.228159042682304e-06,1.5569910409710746e-06,6.227964163884298e-11,5.581458156692868e-06,0.2978086604213672,0.08567403995435018,5.335891634403262e-07
vggss,short,1,amp,all_student,9.764606110386801e-05,3.4956083472976194e-05,1.3982433389190477e-09,0.00012369141513457097,0.35798764515235004,0.6654800295594622,0.0003581561319386478
vggss,short,1,amp,proj3_spatial,4.118188826639981e-06,1.1777922137645453e-06,4.711168855058181e-11,5.124743985867499e-06,0.285997622582426,0.8165065824205557,0.0020329171058166163
vggss,short,1,amp,adapter,9.755918085904813e-05,3.4936235877250355e-05,1.3974494350900142e-09,0.0001235852061416418,0.3581030054744478,0.6652891095568102,0.00034841063748173174
vggss,short,1,amp,adapter_output_conv,9.736621229340507e-05,3.4878585447163215e-05,1.3951434178865287e-09,0.00012334457946068593,0.35822062526227755,0.6650921138546149,0.00034002932119915234
vggss,short,1,amp,K34_activation,9.894567712077666e-06,3.1677902200365144e-06,1.2671160880146059e-10,1.0508235763598189e-05,0.32015448397708124,0.039652223898158506,0.00021231639863620783
vggss,short,1,amp,F34_activation,5.199780356313903e-06,1.4989438593315754e-06,5.995775437326302e-11,5.504031234616117e-06,0.2882706107982932,0.06478224634077949,0.00039255761152100747
vggss,short,2,amp,all_student,9.428713212278976e-05,3.9981137694278955e-05,1.5992455077711582e-09,0.00012392089707211025,0.42403599297316286,0.6456449703048976,0.00036421549575087615
vggss,short,2,amp,proj3_spatial,7.79297755449705e-06,2.568187319105469e-06,1.0272749276421876e-10,9.90978041895613e-06,0.3295514841594096,0.7714005126641038,0.001067001695323432
vggss,short,2,amp,adapter,9.396452939687143e-05,3.98985687114573e-05,1.595942748458292e-09,0.00012352402593505694,0.4246130850391481,0.6450843325767782,0.00035521712610677916
vggss,short,2,amp,adapter_output_conv,9.328685009070012e-05,3.9652464482705146e-05,1.586098579308206e-09,0.00012266814461844231,0.4250595281559212,0.6451194152181299,0.0003469507680383809
vggss,short,2,amp,K34_activation,9.938408583772176e-06,3.21955502808435e-06,1.28782201123374e-10,1.0575622352667276e-05,0.3239507614268713,0.042289648245267604,0.00021266110524740346
vggss,short,2,amp,F34_activation,5.292620660971628e-06,1.5057276285181028e-06,6.022910514072412e-11,5.600913137424779e-06,0.28449566386299047,0.0684621267474341,0.0003905877583144422
vggss,short,3,amp,all_student,0.0001099434000714888,3.6222964968093746e-05,1.4489185987237498e-09,0.0001356774942359302,0.32946920819749426,0.628825352822369,0.00035981846398571186
vggss,short,3,amp,proj3_spatial,1.292858855424911e-05,3.6174756641748533e-06,1.4469902656699413e-10,1.5883041399159288e-05,0.27980437686571236,0.7702502490429745,0.0007435289573991501
vggss,short,3,amp,adapter,0.00010918059725644654,3.6041879264251044e-05,1.4416751705700417e-09,0.00013474461561804044,0.33011249406883936,0.6272456806509885,0.00035154921001441183
vggss,short,3,amp,adapter_output_conv,0.00010746066519310613,3.554344767143418e-05,1.4217379068573672e-09,0.00013268435724841923,0.33075774849860484,0.6275396824133692,0.000344780753741416
vggss,short,3,amp,K34_activation,1.069187435684302e-05,3.180991999219962e-06,1.2723967996879848e-10,1.1363866945136637e-05,0.29751490646577433,0.06913524325637638,0.00021318506818096075
vggss,short,3,amp,F34_activation,5.6543584161519725e-06,1.5709177078088424e-06,6.28367083123537e-11,6.011458481676604e-06,0.27782421845092686,0.09558792254360653,0.00038245210019801414
vggss,short,4,amp,all_student,0.00011111679905466098,4.141938676078004e-05,1.6567754704312018e-09,0.0001421862639671832,0.3727553989420166,0.6686066195004908,0.00035987022778975384
vggss,short,4,amp,proj3_spatial,1.6815179043907464e-05,5.202271784034317e-06,2.080908713613727e-10,2.1191472620380048e-05,0.30937950588871205,0.7959354769606939,0.0005956338572654954
vggss,short,4,amp,adapter,0.0001098371193443967,4.1091385568317376e-05,1.6436554227326951e-09,0.00014059820464403227,0.3741120107080962,0.6663688330492655,0.0003526881245034053
vggss,short,4,amp,adapter_output_conv,0.00010700426261263783,4.0147987840265825e-05,1.605919513610633e-09,0.00013707528358152514,0.3751998926024477,0.6666444599144248,0.0003465493855266269
vggss,short,4,amp,K34_activation,1.0286599957865673e-05,3.1796031916902436e-06,1.2718412766760975e-10,1.0952230283203191e-05,0.30910147227597323,0.06156642427919476,0.00021286008864344715
vggss,short,4,amp,F34_activation,5.475829871823682e-06,1.5211848467327077e-06,6.08473938693083e-11,5.822499917361545e-06,0.27779987368856823,0.09621142542930934,0.0003850497099018577
vggss,short,5,amp,all_student,0.00010986607994252877,3.7051921441602613e-05,1.4820768576641046e-09,0.00013787475423625477,0.3372462316029166,0.68366332006801,0.0003556968147992
vggss,short,5,amp,proj3_spatial,2.037094804017729e-05,5.724171242229649e-06,2.2896684968918597e-10,2.5214780958664998e-05,0.28099680147138756,0.8063676195337506,0.0005228129793410866
vggss,short,5,amp,adapter,0.00010796101147119047,3.660708600946438e-05,1.4642834403785752e-09,0.00013554948423699073,0.33907690851185684,0.6803897178993373,0.00034848247691541504
vggss,short,5,amp,adapter_output_conv,0.00010377479342118204,3.536735558837399e-05,1.4146942235349594e-09,0.00013040874852903464,0.34080873035161313,0.6792973053908301,0.0003416141766935717
vggss,short,5,amp,K34_activation,1.0131759247059495e-05,3.198630465063164e-06,1.2794521860252655e-10,1.0810495239694444e-05,0.31570336276905625,0.061453648885628716,0.00021296437326916295
vggss,short,5,amp,F34_activation,5.378647054341083e-06,1.531570176693412e-06,6.126280706773648e-11,5.704703079115774e-06,0.28475007956829745,0.07697036748642822,0.0003891427566069185
vggss,short,6,amp,all_student,0.00010410609511600048,3.6809232060459396e-05,1.472369282418376e-09,0.0001303539551690346,0.3535742265565202,0.6262121466756612,0.0003636211365262694
vggss,short,6,amp,proj3_spatial,2.2242422922312037e-05,6.45731525866326e-06,2.582926103465304e-10,2.737098779835982e-05,0.2903152809034008,0.7407429585415032,0.0004942329314147264
vggss,short,6,amp,adapter,0.00010170227953613795,3.623841393509085e-05,1.449536557403634e-09,0.00012744796057667114,0.356318600727275,0.6222432443861386,0.00035644420059825245
vggss,short,6,amp,adapter_output_conv,9.610449260424907e-05,3.4497380500045946e-05,1.3798952200018378e-09,0.0001206551586825241,0.3589570015431382,0.6231140978122239,0.00034939126315856493
vggss,short,6,amp,K34_activation,9.743069824923226e-06,3.1019549876339982e-06,1.2407819950535992e-10,1.0416129815134453e-05,0.3183755267461035,0.0652870321118662,0.0002125516950609497
vggss,short,6,amp,F34_activation,5.2062416046267705e-06,1.5285141418443193e-06,6.114056567377277e-11,5.5482163405086256e-06,0.29359262552969756,0.08428256721644475,0.0003925778913542332
vggss,short,7,amp,all_student,0.0001035807368846099,3.7275694798987886e-05,1.4910277919595154e-09,0.00013149623873141543,0.35987091731654147,0.6698586799029916,0.0003627636110404514
vggss,short,7,amp,proj3_spatial,2.5570146043984422e-05,7.701919912906498e-06,3.0807679651625993e-10,3.2153904989194954e-05,0.3012075058021984,0.8141139271024697,0.00046356996928573885
vggss,short,7,amp,adapter,0.00010037498037284039,3.6471329183380014e-05,1.4588531673352005e-09,0.00012750445950810986,0.3633507976580236,0.662701295428019,0.00035538721266424703
vggss,short,7,amp,adapter_output_conv,9.379954562493544e-05,3.423507579910402e-05,1.3694030319641607e-09,0.00011921777403224762,0.3649812541309694,0.6605615716939004,0.0003482962770933612
vggss,short,7,amp,K34_activation,1.0091984597251329e-05,2.977982431828961e-06,1.1911929727315843e-10,1.068899894893195e-05,0.2950839255779334,0.05886278476647765,0.00021274506492500696
vggss,short,7,amp,F34_activation,5.359310883224237e-06,1.4260506267497224e-06,5.70420250699889e-11,5.666507969224295e-06,0.266088431483525,0.08854739411111155,0.0003888963832005947
vggss,short,8,amp,all_student,9.61097633456419e-05,4.8332896233418084e-05,1.933315849336723e-09,0.00013408426635561476,0.5028926776106741,0.6895107840627135,0.00035743978855986213
vggss,short,8,amp,proj3_spatial,2.6234529010088932e-05,1.1016897376758948e-05,4.4067589507035795e-10,3.5720960425398746e-05,0.4199388284242577,0.806840681026369,0.00045075657157795176
vggss,short,8,amp,adapter,9.245991616897614e-05,4.706056555652856e-05,1.8824226222611423e-09,0.00012923855257008468,0.5089834331076236,0.682513466323687,0.00034928736083980096
vggss,short,8,amp,adapter_output_conv,8.482561819867261e-05,4.350937594781487e-05,1.7403750379125948e-09,0.00011881662175213434,0.512927307478152,0.6813595546436843,0.00034263554235506634
vggss,short,8,amp,K34_activation,9.812558027517749e-06,3.207515108587524e-06,1.2830060434350097e-10,1.0465506715207351e-05,0.3268785875805841,0.046902257397234894,0.00021277970187660595
vggss,short,8,amp,F34_activation,5.223093885122342e-06,1.5232875716975835e-06,6.093150286790334e-11,5.532949237349897e-06,0.29164468516190634,0.06362458619833815,0.00039123946572126845
vggss,short,9,amp,all_student,0.00010134356602026753,3.9530584938443124e-05,1.581223397537725e-09,0.00013113638421662294,0.3900650676781737,0.6694385159687527,0.00034790613017154085
vggss,short,9,amp,proj3_spatial,2.97689797822101e-05,9.915962498202254e-06,3.9663849992809016e-10,3.7953394486058146e-05,0.3330971558564469,0.7723279985145671,0.00041761198138095266
