dataset,state,precision,group,n,valid_cosines,base_norm_mean,base_norm_median,base_norm_p25,base_norm_p75,weighted_cram_norm_mean,weighted_cram_norm_median,weighted_cram_norm_p25,weighted_cram_norm_p75,raw_cram_norm_mean,raw_cram_norm_median,raw_cram_norm_p25,raw_cram_norm_p75,total_norm_mean,total_norm_median,total_norm_p25,total_norm_p75,ratio_mean,ratio_median,ratio_p25,ratio_p75,cosine_mean,cosine_median,cosine_p25,cosine_p75,sum_relative_error_mean,sum_relative_error_median,sum_relative_error_p25,sum_relative_error_p75,negative_fraction,below_minus025,below_minus05
vggss,old25_epoch1,fp32,F34_activation,4,4,3.2893113712509473e-06,3.245771236261385e-06,3.2130224190697706e-06,3.3220601884425615e-06,2.2431547481877666e-06,2.2536436516910675e-06,2.172985098759911e-06,2.323813301118923e-06,8.972618992751064e-11,9.01457460676427e-11,8.691940395039645e-11,9.295253204475691e-11,4.150768760270692e-06,4.093703696623239e-06,4.012569508684258e-06,4.231902948209674e-06,0.6822892691480474,0.6731603163845099,0.6672317522500091,0.6882178332825483,0.09239981573164918,0.0965301338644326,0.06685718935754573,0.12207276023853605,5.254783853181144e-07,5.256325022264903e-07,5.221069525507226e-07,5.290039349938822e-07,0.0,0.0,0.0
vggss,old25_epoch1,fp32,K34_activation,4,4,8.539153280138376e-06,8.418225428596484e-06,8.325342887064539e-06,8.63203582167032e-06,5.797447548305507e-06,5.832744877740977e-06,5.711272905302023e-06,5.9189195207444605e-06,2.3189790193222026e-10,2.333097951096391e-10,2.2845091621208095e-10,2.367567808297784e-10,1.0678164810822933e-05,1.0569084111744269e-05,1.0423250239236276e-05,1.0823998683330926e-05,0.6794130007672273,0.6720680067901668,0.6639245720322997,0.6875564355250944,0.07523792550168595,0.074120565818086,0.052162297911673774,0.09719619340809818,2.658858337505913e-08,2.65858317732014e-08,2.6520529608717877e-08,2.665388553954265e-08,0.0,0.0,0.0
vggss,old25_epoch1,fp32,adapter,4,4,0.000523054714618125,0.0005231599062743,0.0005189025933299999,0.000527312027562425,0.00051745080823705,0.00051367617749835,0.00050008513444625,0.00053104185128915,2.069803232948382e-08,2.0547047099935783e-08,2.0003405377850705e-08,2.1241674051568902e-08,0.00030125879030005,0.00030825787514305,0.00027165718453565,0.00033785948090745,0.9887009949938381,0.9818320135229419,0.9636390118420608,1.006893996674719,-0.827602711472058,-0.8223220781889202,-0.8737076105621575,-0.7762171790988207,6.913771823391706e-05,6.471380569309074e-05,6.370550374898507e-05,7.014602017802272e-05,1.0,1.0,1.0
vggss,old25_epoch1,fp32,adapter_output_conv,4,4,0.00029982669741594997,0.00030242914609925,0.000293681353890025,0.00030857448962517503,0.0002766776660251,0.00027464000154635,0.000269242521510925,0.000282075146060525,1.1067106641005659e-08,1.098560006185481e-08,1.0769700860438878e-08,1.128300584242159e-08,0.000199705086093175,0.0002085723285853,0.0001839576572179,0.00022431975746057498,0.9246018475645044,0.8899282942180538,0.8809395527463634,0.9335905890361946,-0.7555441159638971,-0.7338141709514483,-0.8013790272815551,-0.6879792596337904,6.858127880730964e-06,6.066635717351984e-06,5.76296951088183e-06,7.161794087201119e-06,1.0,1.0,1.0
vggss,old25_epoch1,fp32,all_student,4,4,0.0005849209926419999,0.00057792111781925,0.000572429908430475,0.000590412202030775,0.000600816880373525,0.000596548947001,0.00057148131980275,0.000625884507571775,2.403267521494249e-08,2.386195788004152e-08,2.2859252792112192e-08,2.5035380302871818e-08,0.000345229202554525,0.00034906467197400005,0.000303037695439525,0.000391256179089,1.0264207938650056,1.031986143144882,0.9983309178982346,1.0600760191116532,-0.825648814469156,-0.8236759789096848,-0.8806835563151483,-0.7686412370636924,7.444700927843239e-05,7.178241087589827e-05,6.773381615949258e-05,7.84956039948381e-05,1.0,1.0,1.0
vggss,old25_epoch1,fp32,proj3_spatial,4,4,0.00026117194418985,0.00025352237853595,0.00024943888104845,0.00026525544167735,0.000304953065316475,0.000307327959587,0.000282567493984675,0.0003297135309188,1.2198122612660825e-08,1.2293118383481418e-08,1.1302699759389517e-08,1.3188541236752726e-08,0.0001678315467044,0.00016983046762075,0.0001403782849253,0.00019728372939985,1.1706645409279712,1.1384873287715536,1.118705807063215,1.1904460626363096,-0.8265189321528309,-0.8221896385858148,-0.867523245180474,-0.7811853255581717,9.090418491757743e-05,8.744635719675159e-05,7.881830775012384e-05,9.953223436420519e-05,1.0,1.0,1.0
vggss,old25_latest,fp32,F34_activation,4,4,3.826260804084666e-06,3.7193324953322884e-06,3.5853958644761996e-06,3.960197434940754e-06,5.382965249167215e-06,5.376605427281293e-06,5.118156118110942e-06,5.641414558337566e-06,2.1531860996668856e-10,2.150642170912517e-10,2.0472624472443765e-10,2.256565823335026e-10,6.838428592692831e-06,6.819399046798765e-06,6.732020571267065e-06,6.925807068224532e-06,1.4295364361122278,1.4378756805595534,1.2911083487472328,1.5763037679245484,0.07151692757639996,0.0598312186833666,0.0490335926147085,0.08231455364505808,5.647525935107308e-07,5.649471221974552e-07,5.596299647361062e-07,5.700697509720797e-07,0.0,0.0,0.0
vggss,old25_latest,fp32,K34_activation,4,4,2.5356139413779612e-05,2.5136076239414692e-05,2.4420521479016287e-05,2.6071694174178018e-05,2.5549287047183734e-05,2.57538008986788e-05,2.5029879453447753e-05,2.627320849241478e-05,1.0219714818873492e-09,1.0301520359471519e-09,1.00119517813791e-09,1.0509283396965912e-09,3.624645288942071e-05,3.628925000773128e-05,3.55978341643563e-05,3.6937868732795684e-05,1.00836490339143,1.008310343025816,0.9655107185799772,1.0511645278372685,0.01397840157102815,0.01746985160625475,0.00572237926937355,0.02572587390790935,2.5167611173988196e-08,2.505595251071052e-08,2.496593968792573e-08,2.525762399677299e-08,0.25,0.0,0.0
vggss,old25_latest,fp32,adapter,4,4,0.011111708301909174,0.010897077705454599,0.010775087723735624,0.01123369828362815,0.01075501167558405,0.01145941023377135,0.010463875845183376,0.011750546064172026,4.302004670233639e-07,4.583764093508564e-07,4.1855503380733796e-07,4.700218425668823e-07,0.0021411438892912,0.00187683970254975,0.0015845273764412502,0.0024334562153997003,0.9699627116450411,0.997114339794948,0.9052275191940485,1.0618495322459407,-0.9892400091424329,-0.9909221324395525,-0.9913339745883241,-0.9888281669936614,0.00010542823286249401,0.00011426108804490001,9.0404784760194e-05,0.0001292845361472,1.0,1.0,1.0
vggss,old25_latest,fp32,adapter_output_conv,4,4,0.0042100073275782,0.0041490227881729996,0.004095492356737375,0.004263537759013825,0.00401581747946955,0.0042933602896625,0.003908246225856025,0.004400931543276025,1.6063269917878467e-07,1.7173441158650258e-07,1.5632984903424399e-07,1.7603726173104327e-07,0.0008473937669801999,0.0007547332231148,0.0006842386846567,0.0009178883054383,0.956215341962384,0.9833625821020817,0.8949477205391849,1.0446302035252808,-0.9880067278558233,-0.9893055134065016,-0.9907063358885531,-0.9866059053737719,1.1239513160502542e-05,1.2201850171015595e-05,1.0035209706368306e-05,1.340615362514983e-05,1.0,1.0,1.0
