dataset,candidate,reference,readout,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,cram_c3_stage2,original_1.3g_final,AUD,cIoU,0.007367196587824738,0.0,0.0,0.0,0.0,-0.0017497091896083751,0.016867002714230323,5158
vggss,cram_c3_stage2,original_1.3g_final,AUD,AUC,0.00664986428848391,0.0,-0.04999999999999999,0.05000000000000002,0.1,0.004294300116324156,0.00915107599844901,5158
vggss,cram_c3_stage2,original_1.3g_final,OGL,cIoU,-0.0046529662659945716,0.0,0.0,0.0,0.0,-0.012989530825901513,0.0034897246994959287,5158
vggss,cram_c3_stage2,original_1.3g_final,OGL,AUC,-3.877471888328796e-05,0.0,-0.04999999999999993,0.04999999999999999,0.09999999999999992,-0.0017157813105854965,0.0016193291973633174,5158
vggss,lambda025k_best,cram_c3_stage2,AUD,cIoU,-0.055253974408685534,0.0,0.0,0.0,0.0,-0.0641721597518418,-0.04672353625436215,5158
vggss,lambda025k_best,cram_c3_stage2,AUD,AUC,-0.02154905001938736,0.0,-0.050000000000000044,0.0,0.050000000000000044,-0.02346839860411012,-0.01957153935633967,5158
vggss,lambda025k_best,cram_c3_stage2,OGL,cIoU,-0.019387359441644048,0.0,0.0,0.0,0.0,-0.026560682435052347,-0.012795657231485071,5158
vggss,lambda025k_best,cram_c3_stage2,OGL,AUC,-0.008869716944552151,0.0,-0.04999999999999993,0.0,0.04999999999999993,-0.01024621946490888,-0.007522053121364871,5158
vggss,lambda025k_latest,cram_c3_stage2,AUD,cIoU,-0.3615742535866615,0.0,-1.0,0.0,1.0,-0.3759208995734781,-0.34839084916634355,5158
vggss,lambda025k_latest,cram_c3_stage2,AUD,AUC,-0.30251066304769286,-0.30000000000000004,-0.5,-0.09999999999999998,0.4,-0.30935633966653747,-0.2955198235750291,5158
vggss,lambda025k_latest,cram_c3_stage2,OGL,cIoU,-0.1704148894920512,0.0,0.0,0.0,0.0,-0.18185343156262118,-0.15897150058162082,5158
vggss,lambda025k_latest,cram_c3_stage2,OGL,AUC,-0.07783055447848004,-0.04999999999999999,-0.14999999999999997,0.0,0.14999999999999997,-0.0815047014346646,-0.07414598681659558,5158
flickr,cram_c3_stage2,original_1.3g_final,AUD,cIoU,0.084,0.0,0.0,0.0,0.0,0.044,0.124,250
flickr,cram_c3_stage2,original_1.3g_final,AUD,AUC,0.0176,0.0,-0.050000000000000044,0.050000000000000044,0.10000000000000009,0.0057949999999999955,0.028604999999999974,250
flickr,cram_c3_stage2,original_1.3g_final,OGL,cIoU,0.02,0.0,0.0,0.0,0.0,-0.012,0.052,250
flickr,cram_c3_stage2,original_1.3g_final,OGL,AUC,-0.016200000000000003,0.0,-0.050000000000000044,0.04999999999999993,0.09999999999999998,-0.02580500000000001,-0.006600000000000001,250
flickr,lambda025k_best,cram_c3_stage2,AUD,cIoU,-0.14,0.0,0.0,0.0,0.0,-0.196,-0.088,250
flickr,lambda025k_best,cram_c3_stage2,AUD,AUC,-0.0706,-0.050000000000000044,-0.15000000000000002,0.0,0.15000000000000002,-0.08660500000000002,-0.05439500000000002,250
flickr,lambda025k_best,cram_c3_stage2,OGL,cIoU,-0.108,0.0,0.0,0.0,0.0,-0.15209999999999999,-0.068,250
flickr,lambda025k_best,cram_c3_stage2,OGL,AUC,-0.0458,-0.04999999999999993,-0.09999999999999998,0.0,0.09999999999999998,-0.055999999999999994,-0.036,250
flickr,lambda025k_latest,cram_c3_stage2,AUD,cIoU,-0.508,-1.0,-1.0,0.0,1.0,-0.572,-0.44390000000000057,250
flickr,lambda025k_latest,cram_c3_stage2,AUD,AUC,-0.2316,-0.20000000000000007,-0.4,-0.050000000000000044,0.35,-0.25839999999999996,-0.2066,250
flickr,lambda025k_latest,cram_c3_stage2,OGL,cIoU,-0.316,0.0,-1.0,0.0,1.0,-0.384,-0.256,250
flickr,lambda025k_latest,cram_c3_stage2,OGL,AUC,-0.12459999999999999,-0.09999999999999998,-0.2,-0.04999999999999993,0.15000000000000008,-0.1428,-0.10579500000000001,250
