dataset,model,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,coverage,precision,background_response,pred_area_ratio,fp_area_ratio,RemoveFP,RemoveTP,AddTP,AddFP,entropy,normalized_entropy,iou,raw_range,cIoU,AUC,swap_rho,swap_mae
vggss,original_1.3g_final,0.7979034993124157,0.7861899683628176,0.0149744018604015,0.5919623857614168,0.8677180259190166,0.4964387039945127,0.5046125020336805,0.507799509665489,0.2572118341962851,0.0,0.0,0.0,0.0,5.276241165764202,0.9996450449474344,0.422933808269458,0.0013008106032894,0.4269096549050019,0.4229740209383482,0.9754615950822624,0.0002032787160715
vggss,cram_c3_stage1,0.7309336136763552,0.7034150089771289,0.0304102544802163,0.5901137203816287,0.7577253384851914,0.5441795946042858,0.4130861269832235,0.3913831687798229,0.1796352759187234,4845.657813105855,2300.5252035672743,351.7002714230322,953.176424970919,3.8874180545553663,0.998868847167122,0.4128224559981637,0.007167431782099,0.3912369135323769,0.4132318728189221,0.9733650007712136,0.0003328395541757
vggss,cram_c3_stage2,0.7630600732678217,0.7203488923293616,0.045514206909781,0.6255593936957632,0.8109505163965264,0.5375669992972066,0.4559084708169175,0.4302837803100592,0.2007299254279067,3887.74098487786,1497.0044590926716,441.61147731678943,1053.7047305157037,5.27423893660198,0.9992656994251236,0.4297730128644223,0.0018470503255589,0.4342768514928267,0.4296238852268321,0.977938764432128,0.0002913419739343
vggss,short_step000,0.7305637703958503,0.7022879808612645,0.0312495424447975,0.5936013639656309,0.7520205079806941,0.5456460238045814,0.4041739670182176,0.3866556491216834,0.1769067763210606,4957.259790616518,2387.763474214812,338.63571151609153,927.8732066692515,5.273987020542762,0.9992179710077846,0.4120342321273628,0.0016795944027691,0.3881349360217138,0.4126308646762311,0.9730532632389204,0.0003156552556902
vggss,short_step016,0.7376513873841801,0.7088116858774806,0.0317471785645179,0.5961573505418526,0.7641551435523126,0.5389743548963541,0.4168567074735574,0.3997409034892796,0.1854545903035506,4667.561264055836,2206.9854594804187,385.5283055447848,1067.06979449399,5.27427345664862,0.9992722396480764,0.4129659053213846,0.0016475820894229,0.3931756494765413,0.4134257464133384,0.9717802375491192,0.0003116200969088
vggss,short_step064,0.7507769693934797,0.7177396361170144,0.0358551280251864,0.6066212593374274,0.7862355076812532,0.5309335810415463,0.4370083354232845,0.419392277376732,0.1977258390906042,4252.358084528887,1911.1560682435047,460.0040713454828,1267.5887941062426,5.274698717189439,0.9993528101866632,0.4164012524519029,0.0016082825994381,0.3989918573090345,0.4162950756107018,0.969687222603028,0.0003030277439393
vggss,lambda025k_best,0.737662045483075,0.7035923420619494,0.0365896157942382,0.5978643418207754,0.7763495446063451,0.5276396416879305,0.4538618058804513,0.4193790552099573,0.2013484384520578,4458.770259790616,2156.9145017448623,523.3315238464521,1655.7685149282668,5.27497573011502,0.9994052934962284,0.4079871751650881,0.0016709746652166,0.3790228770841411,0.4080748352074447,0.8201694705310213,0.0006092069670557
vggss,lambda025k_latest,0.4310172405512967,0.418999669375678,0.0128958108257777,0.5808512964092013,0.2133667480411518,0.2240927013294108,0.3519632142929633,0.150069413670858,0.0898177075090408,10521.331136099265,9858.243892981776,307.94629701434667,2122.163435440093,5.267901355848122,0.9980649712933892,0.1131804958995336,0.0051758124640398,0.0727025979061651,0.1271132221791392,0.6730092742936107,0.0013099720235913
vggss,lambda050k_best,0.6594007400553052,0.6383717829488181,0.0229311065096866,0.5657846600412331,0.6336339815118733,0.4362211938241628,0.4942809651666307,0.4336726888858006,0.2483834645359695,5373.80418766964,4159.229546335789,882.8144629701435,4930.831911593641,5.274994598561233,0.9994088683420648,0.2990140243506297,0.002000220215875,0.2076386196200077,0.3009305932531989,0.7483409354532112,0.0009125338401645
vggss,lambda050k_latest,0.350066765765692,0.3411054228400362,0.0093867258969786,0.59556807182145,0.1719100171940819,0.1586039764315784,0.3115290170410787,0.1376501168001855,0.0914574339271866,10778.617875145404,10547.276657619232,291.5535091120589,2461.7250872431173,5.253690359231713,0.9953725332669516,0.0783492805793531,0.0081810441218694,0.051958123303606,0.0950465296626599,0.9274282163124136,0.0011329549597576
