flickr C3 seed12345 epoch 1/50 batch 1/562 total=13.4038 d_pos=0.000009 d_neg=0.000009 gap=-0.000001 ETA=4:10:26
flickr C3 seed12345 epoch 1/50 batch 51/562 total=12.1856 d_pos=0.000012 d_neg=0.000013 gap=0.000000 ETA=0:12:49
flickr C3 seed12345 epoch 1/50 batch 101/562 total=11.9010 d_pos=0.000010 d_neg=0.000010 gap=0.000000 ETA=0:09:38
flickr C3 seed12345 epoch 1/50 batch 151/562 total=11.6103 d_pos=0.000003 d_neg=0.000004 gap=0.000000 ETA=0:09:24
flickr C3 seed12345 epoch 1/50 batch 201/562 total=11.6245 d_pos=0.000003 d_neg=0.000004 gap=0.000000 ETA=0:10:20
flickr C3 seed12345 epoch 1/50 batch 251/562 total=11.3476 d_pos=0.000006 d_neg=0.000006 gap=-0.000000 ETA=0:08:43
flickr C3 seed12345 epoch 1/50 batch 301/562 total=11.2894 d_pos=0.000004 d_neg=0.000004 gap=0.000000 ETA=0:08:41
flickr C3 seed12345 epoch 1/50 batch 351/562 total=11.0536 d_pos=0.000003 d_neg=0.000003 gap=-0.000000 ETA=0:07:40
flickr C3 seed12345 epoch 1/50 batch 401/562 total=11.1534 d_pos=0.000003 d_neg=0.000004 gap=0.000000 ETA=0:05:27
flickr C3 seed12345 epoch 1/50 batch 451/562 total=11.1192 d_pos=0.000004 d_neg=0.000004 gap=-0.000000 ETA=0:03:33
flickr C3 seed12345 epoch 1/50 batch 501/562 total=10.7873 d_pos=0.000003 d_neg=0.000003 gap=0.000000 ETA=0:01:51
flickr C3 seed12345 epoch 1/50 batch 551/562 total=10.8857 d_pos=0.000003 d_neg=0.000003 gap=0.000000 ETA=0:00:19
flickr C3 seed12345 epoch 1/50 batch 562/562 total=11.2811 d_pos=0.000003 d_neg=0.000003 gap=0.000000 ETA=0:00:00
{"epoch": 1, "learning_rate": 5e-05, "epoch_seconds": 978.8730866909027, "gradient_l2_mean": 13.475437926404501, "parameter_l2": 199.34537944740822, "info_loss": 10.186021239732083, "recon_loss": 5.697857093132264, "div_loss": 0.04128109711533896, "a2v_loss": 5.554516751447626e-06, "v2a_loss": 9.891464134312349e-06, "original_match_loss": 1.544598083478296e-05, "d_pos": 5.5545167486155695e-06, "d_neg": 5.602769324080285e-06, "g_match": 4.8252581716733615e-08, "cram_loss": 0.693147152344103, "weighted_cram_loss": 0.693147152344103, "total_loss": 11.45462673329798, "AUD_cIoU": 0.692, "AUD_AUC": 0.5720000000000001, "IQR_cIoU": 0.692, "IQR_AUC": 0.5718}
flickr C3 seed12345 epoch 2/50 batch 1/562 total=10.6874 d_pos=0.000003 d_neg=0.000003 gap=0.000000 ETA=0:43:26
flickr C3 seed12345 epoch 2/50 batch 51/562 total=11.0767 d_pos=0.000006 d_neg=0.000006 gap=0.000000 ETA=0:09:06
flickr C3 seed12345 epoch 2/50 batch 101/562 total=10.7424 d_pos=0.000005 d_neg=0.000005 gap=0.000000 ETA=0:07:56
flickr C3 seed12345 epoch 2/50 batch 151/562 total=10.9090 d_pos=0.000004 d_neg=0.000004 gap=0.000000 ETA=0:07:00
flickr C3 seed12345 epoch 2/50 batch 201/562 total=10.5299 d_pos=0.000005 d_neg=0.000005 gap=0.000000 ETA=0:06:06
flickr C3 seed12345 epoch 2/50 batch 251/562 total=10.6166 d_pos=0.000005 d_neg=0.000005 gap=0.000000 ETA=0:05:14
flickr C3 seed12345 epoch 2/50 batch 301/562 total=10.6486 d_pos=0.000004 d_neg=0.000004 gap=0.000000 ETA=0:04:23
flickr C3 seed12345 epoch 2/50 batch 351/562 total=10.6758 d_pos=0.000004 d_neg=0.000004 gap=0.000000 ETA=0:03:32
flickr C3 seed12345 epoch 2/50 batch 401/562 total=10.5012 d_pos=0.000006 d_neg=0.000007 gap=0.000001 ETA=0:02:42
flickr C3 seed12345 epoch 2/50 batch 451/562 total=10.8728 d_pos=0.000006 d_neg=0.000006 gap=0.000000 ETA=0:01:51
flickr C3 seed12345 epoch 2/50 batch 501/562 total=10.5567 d_pos=0.000006 d_neg=0.000006 gap=0.000000 ETA=0:01:01
flickr C3 seed12345 epoch 2/50 batch 551/562 total=10.7417 d_pos=0.000006 d_neg=0.000006 gap=0.000000 ETA=0:00:11
flickr C3 seed12345 epoch 2/50 batch 562/562 total=10.7137 d_pos=0.000006 d_neg=0.000006 gap=0.000001 ETA=0:00:00
