epoch,learning_rate,epoch_seconds,gradient_l2_mean,parameter_l2,info_loss,recon_loss,div_loss,a2v_loss,v2a_loss,original_match_loss,d_pos,d_neg,g_match,cram_loss,weighted_cram_loss,total_loss,AUD_cIoU,AUD_AUC,IQR_cIoU,IQR_AUC
1,5e-05,1018.7204611301422,16.282178082821932,199.36492408344145,9.564302782146957,5.908201385647376,0.04004173485058429,1.6348094885906126e-05,1.4932840928637246e-05,3.128093583548036e-05,1.634809481065434e-05,1.9712467038998736e-05,3.3643722260243867e-06,0.6931454920047543,0.6931454920047543,10.855400689556081,0.35963551764249707,0.391285381930981,0.3668088406359054,0.39540519581233047
2,5e-05,572.2445743083954,28.370506464669578,199.74033682740782,8.231372377626412,4.816156417025366,0.0008637320405216987,2.389865589959487e-05,1.101590406778025e-05,3.491455996332933e-05,2.3898655825152245e-05,4.262050450479138e-05,1.872184853075388e-05,0.6931378168991876,0.6931378168991876,9.40970360935795,0.36506397828615744,0.3945133772780147,0.36758433501357113,0.3968204730515704
3,5e-05,573.6895639896393,32.32722110936073,200.06516709300453,7.467020403023716,4.47757297902769,0.0011475705214381694,3.204863010570626e-05,2.6120126185528e-05,5.816875616743294e-05,3.20486301089429e-05,5.7376191923991376e-05,2.5327561984971864e-05,0.6931345141443069,0.6931345141443069,8.61384385675722,0.3670027142303218,0.3990694067468011,0.3732066692516479,0.40207444746025595
4,5e-05,573.57475233078,34.1899573913418,200.36977237913928,6.9121744895745,4.275711775674514,0.001535099431842539,3.866960996739339e-05,4.535870386488086e-05,8.402831394231987e-05,3.8669609999759755e-05,6.885199297205637e-05,3.0182382985243152e-05,0.693132087323165,0.693132087323165,8.041434100514206,0.3576967816983327,0.3975281116711904,0.36041101202016285,0.4002811167119038
5,5e-05,573.807963848114,31.334084698951568,200.65800677665595,6.4447246615996985,4.128293952059491,0.0018275822301517866,4.65198097386177e-05,7.241758525442913e-05,0.00011893739497686365,4.651980986160987e-05,8.338860908189284e-05,3.6868799469503945e-05,0.6931287454328503,0.6931287454328503,7.562759306082946,0.3458704924389298,0.3972857696781699,0.3522683210546724,0.39928266770065923
6,5e-05,574.8763439655304,28.790376082098305,200.9214490768165,6.035527924201666,3.9829492908355606,0.002057368045563402,4.972439712730445e-05,8.524985055389874e-05,0.0001349742475646843,4.972439705609846e-05,9.139535095819415e-05,4.1670954206339464e-05,0.6931263430050684,0.6931263430050684,7.140652357895603,0.3735944164404808,0.4061651803024429,0.3741760372237301,0.4075804575416829
7,5e-05,574.924890756607,36.71119459357973,201.17851172726495,5.663056588257759,3.879790229729486,0.002182303457206042,5.509989403895213e-05,0.0001224706588039863,0.00017757055266168684,5.5099894064845225e-05,0.00010174166343735823,4.6641769524634894e-05,0.6931238588065015,0.6931238588065015,6.762134756481944,0.3912369135323769,0.4132318728189221,0.39278790228770843,0.41396859247770457
8,5e-05,576.441668510437,38.58260917200064,201.43011267879473,5.316460665434705,3.78183717490091,0.0023437510679552194,6.088207285293814e-05,0.0001606121735663478,0.00022149424646459884,6.088207285293814e-05,0.00011237043638492427,5.148836366145157e-05,0.6931214327277662,0.6931214327277662,6.410149603976049,0.3414113997673517,0.39399961225281116,0.3449011244668476,0.3965005816207832
9,5e-05,573.5897047519684,37.1577716510026,201.67737364551934,4.995712359180654,3.6922065965645676,0.002766934601305006,6.339290919258993e-05,0.00020169695311636512,0.00026508986244489375,6.339290888187289e-05,0.00011932910218811262,5.5936193247980295e-05,0.6931192116593127,0.6931192116593127,6.084837901634678,0.33927879022877083,0.397111283443195,0.3404420317952695,0.39810003877471895
10,5e-05,603.5382587909698,42.50643973047636,201.92189525391754,4.676548937461554,3.6143892986494452,0.002523036251089857,6.716369828081888e-05,0.00021104952836764672,0.00027821322718574713,6.716369817077325e-05,0.00012881203485539704,6.164833668462379e-05,0.6931163566816744,0.6931163566816744,5.759177852779945,0.3677782086079876,0.4039453276463746,0.37184955409073284,0.4060585498255138
